Species,TVK,DAY,MONTH,YEAR,DAY2,MONTH2,YEAR2
Aeshna affinis,NHMSYS0020546806,,,2010,,,
Aeshna caerulea,NBNSYS0000005623,,,,,,
Aeshna cyanea,NBNSYS0000005626,,,,,,
Aeshna grandis,NBNSYS0000005625,,,,,,
Aeshna juncea,NBNSYS0000005624,,,,,,
Aeshna mixta,NBNSYS0000005627,,,1939,,,
Anaciaeschna isoceles,NHMSYS0021009091,,,,,,
Anax imperator,NBNSYS0000005630,,,,,,
Anax junius,NHMSYS0000344168,,,,,,1800
Anax parthenope,NHMSYS0000344169,,,1996,,,
Brachytron pratense,NBNSYS0000005622,,,1901,,,
Calopteryx splendens,NBNSYS0000005617,,,,,,
Calopteryx virgo,NBNSYS0000005616,,,1965,,,
Ceriagrion tenellum,NBNSYS0000005611,,,1965,,,
Chalcolestes viridis,NHMSYS0021009068,,,1979,,,
Coenagrion armatum,NBNSYS0000005608,,,1905,,,1957
Coenagrion hastulatum,NBNSYS0000005607,,,1914,,,
Coenagrion lunulatum,NBNSYS0000005609,,,,,,1800
Coenagrion mercuriale,NBNSYS0000005603,,,1949,,,
Coenagrion puella,NBNSYS0000005606,,,,,,
Coenagrion pulchellum,NBNSYS0000005605,,,1965,,,
Coenagrion scitulum,NBNSYS0000005604,,,1946,,,
Cordulegaster boltonii,NBNSYS0000005621,,,1953,,,
Cordulia aenea,NBNSYS0000005632,,,,,,
Crocothemis erythraea,NBNSYS0000005643,,,,,,1800
Crocothemis servilia,NHMSYS0021123706,,,,,,1800
Enallagma cyathigerum,NBNSYS0000005602,,,,,,
Erythromma najas,NBNSYS0000005610,,,,,,
Erythromma viridulum,NHMSYS0000344177,,,1999,,,
Gomphus flavipes,NBNSYS0000005619,,,,,,1800
Gomphus vulgatissimus,NBNSYS0000005620,,,1951,,,
Hemianax ephippiger,NBNSYS0000005631,,,1903,,,
Ischnura elegans,NHMSYS0000344179,,,,,,
Ischnura genei,NHMSYS0000532361,,,,,,1800
Ischnura pumilio,NBNSYS0000005601,,,,,,
Ischnura senegalensis,NHMSYS0021123700,,,,,,1800
Lestes barbarus,NBNSYS0000005612,,,2002,,,
Lestes dryas,NBNSYS0000005614,,,,,,
Lestes sponsa,NBNSYS0000005613,,,,,,
Leucorrhinia dubia,NHMSYS0020546892,,,1914,,,
Leucorrhinia pectoralis,NHMSYS0000532531,,,,,,1800
Libellula depressa,NBNSYS0000005637,,,1947,,,
Libellula fulva,NBNSYS0000005638,,,1965,,,
Libellula quadrimaculata,NBNSYS0000005639,,,,,,
Orthetrum brunneum,NHMSYS0000344182,,,,,,1800
Orthetrum cancellatum,NBNSYS0000005641,,,,,,
Orthetrum coerulescens,NBNSYS0000005640,,,1955,,,
Oxygastra curtisii,NBNSYS0000005636,,,,,,1800
Pantala flavescens,NBNSYS0000005642,,,,,,1800
Platycnemis pennipes,NBNSYS0000005598,,,,,,
Pyrrhosoma nymphula,NBNSYS0000005599,,,,,,
Somatochlora arctica,NBNSYS0000005635,,,,,,
Somatochlora flavomaculata,NHMSYS0000532481,,,,,,1800
Somatochlora metallica,NHMSYS0020546972,,,,,,
Sympecma fusca,NBNSYS0000005618,,,,,,1800
Sympetrum danae,NBNSYS0000005651,,,1941,,,
Sympetrum flaveolum,NBNSYS0000005649,,,,,,1800
Sympetrum fonscolombii,NHMSYS0000344188,,,,,,
Sympetrum meridionale,NBNSYS0000005648,,,,,,1800
Sympetrum pedemontanum,NHMSYS0000344190,,,,,,1800
Sympetrum sanguineum,NBNSYS0000005650,,,1965,,,
Sympetrum striolatum,NBNSYS0000005645,,,,,,
Sympetrum vulgatum,NBNSYS0000005644,,,,,,1800
