Species,TVK,DAY,MONTH,DAY2,MONTH2
Aeshna affinis,NHMSYS0020546806,26,6,26,8
Aeshna caerulea,NBNSYS0000005623,20,5,11,8
Aeshna cyanea,NBNSYS0000005626,21,6,12,10
Aeshna grandis,NBNSYS0000005625,22,6,15,9
Aeshna juncea,NBNSYS0000005624,22,6,5,10
Aeshna mixta,NBNSYS0000005627,21,7,19,10
Anaciaeschna isoceles,NHMSYS0021009091,19,5,24,7
Anax imperator,NBNSYS0000005630,25,5,27,8
Anax parthenope,NHMSYS0000344169,9,6,26,8
Brachytron pratense,NBNSYS0000005622,27,4,27,6
Calopteryx splendens,NBNSYS0000005617,6,5,23,8
Calopteryx virgo,NBNSYS0000005616,27,4,9,8
Ceriagrion tenellum,NBNSYS0000005611,6,6,31,8
Chalcolestes viridis,NHMSYS0021009068,16,7,22,10
Coenagrion hastulatum,NBNSYS0000005607,8,5,12,8
Coenagrion mercuriale,NBNSYS0000005603,27,5,6,8
Coenagrion puella,NBNSYS0000005606,3,5,8,8
Coenagrion pulchellum,NBNSYS0000005605,26,4,24,7
Cordulegaster boltonii,NBNSYS0000005621,28,5,3,9
Cordulia aenea,NBNSYS0000005632,27,4,18,7
Enallagma cyathigerum,NBNSYS0000005602,10,5,8,9
Erythromma najas,NBNSYS0000005610,30,4,22,8
Erythromma viridulum,NHMSYS0000344177,28,6,9,9
Gomphus vulgatissimus,NBNSYS0000005620,3,5,23,6
Hemianax ephippiger,NBNSYS0000005631,10,4,4,1
Ischnura elegans,NHMSYS0000344179,8,5,29,8
Ischnura pumilio,NBNSYS0000005601,18,5,20,8
Lestes barbarus,NBNSYS0000005612,4,6,26,9
Lestes dryas,NBNSYS0000005614,3,6,20,8
Lestes sponsa,NBNSYS0000005613,18,6,19,9
Leucorrhinia dubia,NHMSYS0020546892,1,5,18,7
Libellula depressa,NBNSYS0000005637,30,4,28,7
Libellula fulva,NBNSYS0000005638,8,5,18,7
Libellula quadrimaculata,NBNSYS0000005639,5,5,31,7
Orthetrum cancellatum,NBNSYS0000005641,25,5,18,8
Orthetrum coerulescens,NBNSYS0000005640,30,5,28,8
Platycnemis pennipes,NBNSYS0000005598,12,5,16,8
Pyrrhosoma nymphula,NBNSYS0000005599,16,4,28,7
Somatochlora arctica,NBNSYS0000005635,19,5,13,8
Somatochlora metallica,NHMSYS0020546972,26,5,19,8
Sympetrum danae,NBNSYS0000005651,2,7,10,10
Sympetrum fonscolombii,NHMSYS0000344188,8,5,19,9
Sympetrum sanguineum,NBNSYS0000005650,22,6,26,9
Sympetrum striolatum,NBNSYS0000005645,28,6,25,10
