"TVK","GRIDREF"
"NBNSYS0000005623","NX48"
"NBNSYS0000005623","NO27"
"NBNSYS0000005623","NN54"
"NBNSYS0000005623","NN45"
"NBNSYS0000005623","NN36"
"NBNSYS0000005623","NN34"
"NBNSYS0000005623","NN25"
"NBNSYS0000005623","NN24"
"NBNSYS0000005623","NN19"
"NBNSYS0000005623","NN18"
"NBNSYS0000005623","NN09"
"NBNSYS0000005623","NN08"
"NBNSYS0000005623","NH63"
"NBNSYS0000005623","NH44"
"NBNSYS0000005623","NH43"
"NBNSYS0000005623","NH33"
"NBNSYS0000005623","NH32"
"NBNSYS0000005623","NH31"
"NBNSYS0000005623","NH22"
"NBNSYS0000005623","NH21"
"NBNSYS0000005623","NH18"
"NBNSYS0000005623","NH17"
"NBNSYS0000005623","NH12"
"NBNSYS0000005623","NH11"
"NBNSYS0000005623","NH10"
"NBNSYS0000005623","NH06"
"NBNSYS0000005623","NH05"
"NBNSYS0000005623","NG98"
"NBNSYS0000005623","NG97"
"NBNSYS0000005623","NG96"
"NBNSYS0000005623","NG95"
"NBNSYS0000005623","NG94"
"NBNSYS0000005623","NG88"
"NBNSYS0000005623","NG87"
"NBNSYS0000005623","NG42"
"NBNSYS0000005623","NC53"
"NBNSYS0000005623","NC52"
"NBNSYS0000005623","NC23"
"NBNSYS0000005623","NC13"
"NBNSYS0000005626","TV59"
"NBNSYS0000005626","TR37"
"NBNSYS0000005626","TR36"
"NBNSYS0000005626","TR35"
"NBNSYS0000005626","TR34"
"NBNSYS0000005626","TR26"
"NBNSYS0000005626","TR25"
"NBNSYS0000005626","TR24"
"NBNSYS0000005626","TR23"
"NBNSYS0000005626","TR16"
"NBNSYS0000005626","TR15"
"NBNSYS0000005626","TR14"
"NBNSYS0000005626","TR06"
"NBNSYS0000005626","TR05"
"NBNSYS0000005626","TR04"
"NBNSYS0000005626","TR03"
"NBNSYS0000005626","TR02"
"NBNSYS0000005626","TR01"
"NBNSYS0000005626","TQ99"
"NBNSYS0000005626","TQ98"
"NBNSYS0000005626","TQ96"
"NBNSYS0000005626","TQ95"
