"tvk","start_day","start_month","end_day","end_month"
"NBNSYS0000007374","01","04","31","10"
"NHMSYS0001720410","01","04","31","12"
"NHMSYS0001720409","01","06","30","09"
"NBNSYS0000007193","01","04","30","09"
"NHMSYS0001720084","01","04","31","10"
"NHMSYS0001719662","01","05","30","09"
"NBNSYS0000007276","01","03","30","09"
"NBNSYS0000007275","01","04","30","09"
"NBNSYS0000007190","01","04","30","09"
"NBNSYS0000007151","01","06","31","08"
"NBNSYS0000007189","01","05","30","09"
"NHMSYS0001719339","01","04","30","09"
"NHMSYS0001719338","01","04","30","09"
"NHMSYS0001719332","01","03","31","10"
"NHMSYS0001719330","01","02","30","09"
"NHMSYS0001719328","01","05","30","09"
"NHMSYS0001719327","01","04","31","12"
"NHMSYS0001719326","01","04","31","10"
"NHMSYS0001719325","01","04","30","09"
"NHMSYS0001719291","01","02","31","10"
"NHMSYS0001719107","01","05","31","10"
"NHMSYS0001719102","01","03","30","09"
"NHMSYS0001719101","01","04","30","09"
"NBNSYS0000007186","01","05","31","10"
"NHMSYS0001718800","01","05","31","10"
"NHMSYS0001718728","01","04","31","10"
"NHMSYS0001718726","01","03","31","10"
"NHMSYS0001718360","01","05","31","08"
"NBNSYS0100003351","01","03","31","10"
"NBNSYS0100003350","01","03","31","10"
"NHMSYS0001718357","01","04","31","10"
"NHMSYS0001718355","01","03","30","09"
"NHMSYS0001718354","01","03","31","08"
"NHMSYS0001718353","01","04","31","08"
"NBNSYS0100003342","01","05","31","08"
"NHMSYS0001718352","01","04","31","10"
"NBNSYS0100003340","01","04","31","10"
"NHMSYS0001718349","01","03","31","10"
"NHMSYS0001718348","01","05","30","09"
"NHMSYS0001718164","01","05","31","12"
"NHMSYS0001718039","01","04","31","10"
"NBNSYS0000007488","01","03","31","07"
"NBNSYS0000007416","01","03","30","11"
"NHMSYS0001717913","01","03","30","11"
"NHMSYS0001717787","01","05","31","08"
"NHMSYS0001717776","01","05","30","09"
"NHMSYS0001717604","01","03","31","10"
"NBNSYS0000007124","01","03","31","10"
"NBNSYS0000007122","01","02","30","11"
"NHMSYS0001717530","01","04","30","09"
"NHMSYS0001717528","01","04","30","09"
"NHMSYS0001717516","01","03","31","08"
"NHMSYS0001717504","01","02","31","07"
"NBNSYS0000007144","01","05","31","08"
"NBNSYS0000007143","01","04","31","08"
"NHMSYS0001717333","01","04","31","10"
"NBNSYS0100001950","01","03","31","10"
"NHMSYS0001717147","01","04","31","08"
"NBNSYS0100001928","01","04","31","10"
"NBNSYS0100001927","01","03","30","11"
"NBNSYS0000007206","01","04","30","09"
"NHMSYS0001716747","01","04","31","10"
"NHMSYS0001716596","01","05","30","09"
"NBNSYS0000007436","01","05","30","09"
