organism_key,taxon,stage,code
NBNORG0000009824,Anasimyia contracta,mature,3
NBNORG0000009825,Anasimyia interpuncta,mature,4
NBNORG0000009826,Anasimyia lineata,mature,2
NBNORG0000009827,Anasimyia lunulata,mature,4
NBNORG0000009828,Anasimyia transfuga,mature,4
NBNORG0000009670,Baccha elongata,mature,1
NBNORG0000009879,Blera fallax,mature,1
NBNORG0000009804,Brachyopa bicolor,mature,4
NBNORG0000009805,Brachyopa insensilis,mature,2
NBNORG0000009806,Brachyopa pilosa,mature,3
NBNORG0000009807,Brachyopa scutellaris,mature,3
NBNORG0000041294,Brachypalpoides lentus,mature,2
NBNORG0000009880,Brachypalpus laphriformis,mature,2
NBNORG0000009881,Caliprobola speciosa,mature,2
NBNORG0000009767,Callicera aurata,mature,2
NBNORG0000009768,Callicera rufa,mature,2
NBNORG0000009769,Callicera spinolae,mature,2
NBNORG0000009883,Chalcosyrphus eunotus,mature,3
NBNORG0000009882,Chalcosyrphus nemorum,mature,3
NBNORG0000026761,Cheilosia ahenea,mature,5
NBNORG0000009770,Cheilosia albipila,mature,2
NBNORG0000009771,Cheilosia albitarsis,mature,3
NBNORG0000009772,Cheilosia antiqua,mature,3
NBNORG0000009773,Cheilosia barbata,mature,3
NBNORG0000009774,Cheilosia bergenstammi,mature,3
NBNORG0000108410,Cheilosia caerulescens,mature,6
NBNORG0000009775,Cheilosia carbonaria,mature,3
NBNORG0000009776,Cheilosia chrysocoma,mature,3
NBNORG0000009777,Cheilosia cynocephala,mature,4
NBNORG0000008955,Cheilosia fraterna,mature,3
NBNORG0000009778,Cheilosia griseiventris,mature,4
NBNORG0000009779,Cheilosia grossa,mature,2
NBNORG0000009780,Cheilosia illustrata,mature,1
NBNORG0000009781,Cheilosia impressa,mature,3
NBNORG0000041464,Cheilosia lasiopa,mature,3
NBNORG0000041465,Cheilosia latifrons,mature,4
NBNORG0000009782,Cheilosia longula,mature,3
NBNORG0000009783,Cheilosia mutabilis,mature,4
NBNORG0000009784,Cheilosia nebulosa,mature,3
NBNORG0000009785,Cheilosia nigripes,mature,3
NBNORG0000009786,Cheilosia pagana,mature,3
NBNORG0000009787,Cheilosia proxima,mature,3
NBNORG0000025179,Cheilosia psilophthalma,mature,5
NBNORG0000009788,Cheilosia pubera,mature,4
NBNORG0000041466,Cheilosia ranunculi,mature,3
NBNORG0000009789,Cheilosia sahlbergi,mature,4
NBNORG0000009790,Cheilosia scutellata,mature,3
NBNORG0000009791,Cheilosia semifasciata,mature,5
NBNORG0000009792,Cheilosia soror,mature,3
NBNORG0000041467,Cheilosia urbana,mature,3
NBNORG0000023137,Cheilosia uviformis,mature,5
NBNORG0000009793,Cheilosia variabilis,mature,2
NBNORG0000009794,Cheilosia velutina,mature,3
NBNORG0000009795,Cheilosia vernalis,mature,3
NBNORG0000041468,Cheilosia vicina,mature,3
NBNORG0000009796,Cheilosia vulpina,mature,3
NBNORG0000026764,Chrysogaster cemiteriorum,mature,3
NBNORG0000009808,Chrysogaster solstitialis,mature,2
NBNORG0000009809,Chrysogaster virescens,mature,3
NBNORG0000009698,Chrysotoxum arcuatum,mature,2
NBNORG0000009699,Chrysotoxum bicinctum,mature,1
NBNORG0000009700,Chrysotoxum cautum,mature,2
NBNORG0000009701,Chrysotoxum elegans,mature,3
NBNORG0000009702,Chrysotoxum festivum,mature,2
NBNORG0000009703,Chrysotoxum octomaculatum,mature,4
NBNORG0000009704,Chrysotoxum vernale,mature,4
NBNORG0000009705,Chrysotoxum verralli,mature,3
NBNORG0000009884,Criorhina asilica,mature,2
NBNORG0000009885,Criorhina berberina,mature,2
NBNORG0000009886,Criorhina floccosa,mature,2
NBNORG0000009887,Criorhina ranunculi,mature,2
NBNORG0000009706,Dasysyrphus albostriatus,mature,2
NBNORG0000009707,Dasysyrphus friuliensis,mature,4
NBNORG0000041743,Dasysyrphus pinastri,mature,3
NBNORG0000009709,Dasysyrphus tricinctus,mature,2
NBNORG0000009710,Dasysyrphus venustus sensu lato,mature,2
NBNORG0000009711,Didea alneti,mature,5
NBNORG0000009712,Didea fasciata,mature,3
NBNORG0000009713,Didea intermedia,mature,4
NBNORG0000026828,Doros profuges,mature,2
NBNORG0000009714,Epistrophe diaphana,mature,2
NBNORG0000009715,Epistrophe eligans,mature,1
NBNORG0000009716,Epistrophe grossulariae,mature,2
NBNORG0000023217,Epistrophe melanostoma,mature,4
NBNORG0000009717,Epistrophe nitidicollis,mature,3
NBNORG0000023206,Epistrophe ochrostoma,mature,5
NBNORG0000009719,Episyrphus balteatus,mature,1
NBNORG0000041930,Eriozona erratica,mature,4
NBNORG0000009720,Eriozona syrphoides,mature,2
NBNORG0000009829,Eristalinus aeneus,mature,2
NBNORG0000009830,Eristalinus sepulchralis,mature,2
NBNORG0000009831,Eristalis abusiva,mature,3
NBNORG0000009832,Eristalis arbustorum,mature,2
NBNORG0000009833,Eristalis cryptarum,mature,2
NBNORG0000009834,Eristalis horticola,mature,3
NBNORG0000009835,Eristalis intricaria,mature,1
NBNORG0000041931,Eristalis nemorum,mature,2
NBNORG0000009836,Eristalis pertinax,mature,1
NBNORG0000009837,Eristalis rupium,mature,3
NBNORG0000041932,Eristalis similis,mature,4
NBNORG0000009838,Eristalis tenax,mature,1
NBNORG0000045800,Eumerus funeralis,mature,3
NBNORG0000009848,Eumerus ornatus,mature,3
NBNORG0000009849,Eumerus sabulonum,mature,3
NBNORG0000009850,Eumerus strigatus,mature,3
NBNORG0000045689,Eupeodes bucculatus,mature,4
NBNORG0000009740,Eupeodes corollae,mature,2
NBNORG0000108411,Eupeodes goeldlini,mature,6
NBNORG0000041956,Lapposyrphus lapponicus,mature,4
NBNORG0000041957,Eupeodes latifasciatus,mature,3
NBNORG0000041958,Eupeodes lundbecki,mature,5
NBNORG0000009744,Eupeodes luniger,mature,2
NBNORG0000041959,Eupeodes nielseni,mature,4
NBNORG0000041960,Eupeodes nitens,mature,4
NBNORG0000009799,Ferdinandea cuprea,mature,1
NBNORG0000009800,Ferdinandea ruficornis,mature,4
NBNORG0000009810,Hammerschmidtia ferruginea,mature,2
NBNORG0000025144,Helophilus affinis,mature,5
NBNORG0000009839,Helophilus groenlandicus,mature,5
NBNORG0000009840,Helophilus hybridus,mature,2
NBNORG0000009841,Helophilus pendulus,mature,2
NBNORG0000009842,Helophilus trivittatus,mature,2
NBNORG0000042147,Heringia brevidens,mature,4
NBNORG0000009856,Heringia heringi,mature,3
NBNORG0000042148,Heringia latitarsis,mature,3
NBNORG0000042149,Heringia pubescens,mature,3
NBNORG0000045721,Heringia senilis,mature,5
NBNORG0000042150,Heringia verrucula,mature,4
NBNORG0000042151,Heringia vitripennis,mature,4
NBNORG0000009811,Lejogaster metallina,mature,3
NBNORG0000026915,Lejogaster tarsata,mature,3
NBNORG0000042277,Lejops vittatus,mature,2
NBNORG0000009721,Leucozona glaucia,mature,1
NBNORG0000009722,Leucozona laternaria,mature,1
NBNORG0000009723,Leucozona lucorum,mature,1
NBNORG0000009843,Mallota cimbiciformis,mature,2
NBNORG0000009725,Melangyna arctica,mature,4
NBNORG0000009726,Melangyna barbifrons,mature,4
NBNORG0000009733,Melangyna cincta,mature,3
NBNORG0000009727,Melangyna compositarum,mature,4
NBNORG0000009728,Melangyna ericarum,mature,4
NBNORG0000009729,Melangyna labiatarum,mature,4
NBNORG0000009730,Melangyna lasiophthalma,mature,3
NBNORG0000009731,Melangyna quadrimaculata,mature,3
NBNORG0000009732,Melangyna umbellatarum,mature,3
NBNORG0000042459,Melanogaster aerosa,mature,4
NBNORG0000042460,Melanogaster hirtella,mature,3
NBNORG0000009672,Melanostoma certum,mature,4
NBNORG0000009673,Melanostoma mellinum,mature,2
NBNORG0000009674,Melanostoma scalare,mature,2
NBNORG0000042462,Meligramma euchromum,mature,3
NBNORG0000042463,Meligramma guttatum,mature,4
NBNORG0000042464,Meligramma trianguliferum,mature,4
NBNORG0000009736,Meliscaeva auricollis,mature,2
NBNORG0000009737,Meliscaeva cinctella,mature,2
NBNORG0000009851,Merodon equestris,mature,1
NBNORG0000042517,Microdon analis,mature,3
NBNORG0000009897,Microdon devius,mature,3
NBNORG0000009898,Microdon mutabilis sens.lat.,mature,5
NBNORG0000045723,Microdon myrmicae,mature,3
NBNORG0000009844,Myathropa florea,mature,1
NBNORG0000042582,Myolepta dubia,mature,3
NBNORG0000009812,Myolepta potens,mature,5
NBNORG0000009813,Neoascia geniculata,mature,4
NBNORG0000009814,Neoascia interrupta,mature,3
NBNORG0000009815,Neoascia meticulosa,mature,3
NBNORG0000009816,Neoascia obliqua,mature,3
NBNORG0000009817,Neoascia podagrica,mature,3
NBNORG0000009818,Neoascia tenur,mature,3
NBNORG0000009819,Orthonevra brevicornis,mature,3
NBNORG0000009820,Orthonevra geniculata,mature,3
NBNORG0000108412,Orthonevra intermedia,mature,6
NBNORG0000009821,Orthonevra nobilis,mature,2
NBNORG0000009697,Paragus albifrons,mature,4
NBNORG0000025180,Paragus constrictus,mature,5
NBNORG0000009695,Paragus haemorrhous,mature,3
NBNORG0000009696,Paragus tibialis,mature,4
NBNORG0000009746,Parasyrphus annulatus,mature,3
NBNORG0000042771,Parasyrphus lineola,mature,3
NBNORG0000042772,Parasyrphus malinellus,mature,4
NBNORG0000009747,Parasyrphus nigritarsis,mature,4
NBNORG0000009748,Parasyrphus punctulatus,mature,3
NBNORG0000009749,Parasyrphus vittiger,mature,3
NBNORG0000009845,Parhelophilus consimilis,mature,3
NBNORG0000009846,Parhelophilus frutetorum,mature,3
NBNORG0000009847,Parhelophilus versicolor,mature,3
NBNORG0000009853,Pelecocera caledonica,mature,5
NBNORG0000009854,Pelecocera scaevoides,mature,3
NBNORG0000009855,Pelecocera tricincta,mature,2
NBNORG0000009862,Pipiza austriaca,mature,3
NBNORG0000009864,Pipiza fasciata,mature,3
NBNORG0000045790,Pipiza festiva,mature,5
NBNORG0000009865,Pipiza lugubris,mature,4
NBNORG0000009866,Pipiza luteitarsis,mature,2
NBNORG0000009867,Pipiza noctiluca,mature,3
NBNORG0000009863,Pipiza notata,mature,4
NBNORG0000009868,Pipizella maculipennis,mature,4
NBNORG0000045360,Pipizella viduata,mature,3
NBNORG0000009869,Pipizella virens,mature,3
NBNORG0000009678,Platycheirus albimanus,mature,2
NBNORG0000009676,Platycheirus ambiguus,mature,3
NBNORG0000009677,Platycheirus amplus,mature,4
NBNORG0000009679,Platycheirus angustatus,mature,3
NBNORG0000045789,Platycheirus aurolateralis,mature,4
NBNORG0000045362,Platycheirus clypeatus,mature,3
NBNORG0000009681,Platycheirus discimanus,mature,3
NBNORG0000023164,Platycheirus europaeus,mature,3
NBNORG0000009682,Platycheirus fulviventris,mature,3
NBNORG0000042965,Platycheirus granditarsus,mature,1
NBNORG0000009683,Platycheirus immarginatus,mature,4
NBNORG0000009684,Platycheirus manicatus,mature,2
NBNORG0000009685,Platycheirus melanopsis,mature,4
NBNORG0000009693,Platycheirus nielseni,mature,3
NBNORG0000023204,Platycheirus occultus,mature,3
NBNORG0000023205,Platycheirus peltatus,mature,3
NBNORG0000009687,Platycheirus perpallidus,mature,3
NBNORG0000009688,Platycheirus podagratus,mature,3
NBNORG0000023147,Platycheirus ramsarensis,mature,3
NBNORG0000042966,Platycheirus rosarum,mature,1
NBNORG0000009689,Platycheirus scambus,mature,3
NBNORG0000009690,Platycheirus scutatus,mature,3
NBNORG0000042967,Platycheirus splendidus,mature,4
NBNORG0000009691,Platycheirus sticticus,mature,4
NBNORG0000009692,Platycheirus tarsalis,mature,2
NBNORG0000009888,Pocota personata,mature,2
NBNORG0000009801,Portevinia maculata,mature,1
NBNORG0000009852,Psilota anthracina,mature,3
NBNORG0000009802,Rhingia campestris,mature,1
NBNORG0000009803,Rhingia rostrata,mature,3
NBNORG0000043145,Riponnensia splendens,mature,2
NBNORG0000009750,Scaeva albomaculata,mature,5
NBNORG0000009751,Scaeva mecogramma,mature,5
NBNORG0000009752,Scaeva pyrastri,mature,1
NBNORG0000009753,Scaeva selenitica,mature,2
NBNORG0000009872,Sericomyia lappona,mature,2
NBNORG0000009873,Sericomyia silentis,mature,1
NBNORG0000041140,Sericomyia superbiens,mature,1
NBNORG0000023241,Sphaerophoria bankowskae,mature,4
NBNORG0000009755,Sphaerophoria batava,mature,4
NBNORG0000009754,Sphaerophoria fatarum,mature,3
NBNORG0000027086,Sphaerophoria interrupta,mature,3
NBNORG0000009756,Sphaerophoria loewi,mature,4
NBNORG0000027087,Sphaerophoria philanthus,mature,3
NBNORG0000009762,Sphaerophoria potentillae,mature,4
NBNORG0000009757,Sphaerophoria rueppellii,mature,3
NBNORG0000009758,Sphaerophoria scripta,mature,2
NBNORG0000009759,Sphaerophoria taeniata,mature,3
NBNORG0000009760,Sphaerophoria virgata,mature,4
NBNORG0000009822,Sphegina clunipes,mature,3
NBNORG0000027089,Sphegina elegans,mature,3
NBNORG0000023143,Sphegina sibirica,mature,3
NBNORG0000009823,Sphegina verecunda,mature,3
NBNORG0000009889,Syritta pipiens,mature,1
NBNORG0000043399,Syrphus rectus,mature,5
NBNORG0000009763,Syrphus ribesii,mature,3
NBNORG0000045364,Syrphus torvus,mature,3
NBNORG0000009764,Syrphus vitripennis,mature,3
NBNORG0000009870,Trichopsomyia flavitarsis,mature,2
NBNORG0000108413,Trichopsomyia lucida,mature,6
NBNORG0000009871,Triglyphus primus,mature,3
NBNORG0000009890,Tropidia scita,mature,2
NBNORG0000009874,Volucella bombylans,mature,1
NBNORG0000009875,Volucella inanis,mature,2
NBNORG0000009876,Volucella inflata,mature,2
NBNORG0000009877,Volucella pellucens,mature,1
NBNORG0000009878,Volucella zonaria,mature,2
NBNORG0000009694,Xanthandrus comtus,mature,2
NBNORG0000009765,Xanthogramma citrofasciatum,mature,2
NBNORG0000009766,Xanthogramma pedissequum sensu lato,mature,2
NBNORG0000009891,Xylota abiens,mature,3
NBNORG0000009892,Xylota florum,mature,3
NBNORG0000045722,Xylota jakutorum,mature,2
NBNORG0000009893,Xylota segnis,mature,1
NBNORG0000009894,Xylota sylvarum,mature,2
NBNORG0000009895,Xylota tarda,mature,4
NBNORG0000009896,Xylota xanthocnema,mature,4
