"organism_key","taxon","stage","code"
"NBNORG0000018508","Buckleria paludum","mature",4
"NBNORG0000041011","Agdistis meridionalis","mature",3
"NBNORG0000041952","Hellinsia carphodactyla","mature",3
"NBNORG0000041953","Hellinsia tephradactyla","mature",3
"NBNORG0000042135","Hellinsia chrysocomae","mature",3
"NBNORG0000042136","Hellinsia osteodactylus","mature",3
"NBNORG0000042489","Merrifieldia baliodactylus","mature",3
"NBNORG0000042490","Merrifieldia tridactyla","mature",3
"NBNORG0000042709","Hellinsia lienigianus","mature",3
"NBNORG0000043331","Stenoptilia gallobritannidactyla","mature",5
"NBNORG0000043332","Stenoptilia islandicus","mature",3
"NBNORG0000043333","Stenoptilia millieridactyla","mature",3
"NBNORG0000057289","Adaina microdactyla","mature",3
"NBNORG0000057315","Agdistis bennetii","mature",3
"NBNORG0000057425","Alucita hexadactyla","mature",1
"NBNORG0000057428","Amblyptilia acanthadactyla","mature",3
"NBNORG0000057429","Amblyptilia punctidactyla","mature",3
"NBNORG0000057488","Cnaemidophorus rhododactyla","mature",2
"NBNORG0000057640","Capperia britanniodactylus","mature",3
"NBNORG0000058035","Emmelina monodactyla","mature",2
"NBNORG0000058461","Marasmarcha lunaedactyla","mature",2
"NBNORG0000058474","Merrifieldia leucodactyla","mature",3
"NBNORG0000058613","Oidaematophorus lithodactyla","mature",3
"NBNORG0000058648","Oxyptilus distans","mature",3
"NBNORG0000058649","Oxyptilus laetus","mature",4
"NBNORG0000058650","Oxyptilus parvidactyla","mature",3
"NBNORG0000058651","Oxyptilus pilosellae","mature",4
"NBNORG0000058820","Platyptilia calodactyla","mature",3
"NBNORG0000058821","Platyptilia gonodactyla","mature",3
"NBNORG0000058822","Platyptilia isodactylus","mature",3
"NBNORG0000058823","Gillmeria ochrodactyla","mature",3
"NBNORG0000058824","Gillmeria pallidactyla","mature",3
"NBNORG0000058857","Pselnophorus heterodactyla","mature",3
"NBNORG0000058876","Porrittia galactodactyla","mature",2
"NBNORG0000058877","Pterophorus pentadactyla","mature",1
"NBNORG0000058878","Wheeleria spilodactylus","mature",2
"NBNORG0000059021","Stenoptilia bipunctidactyla","mature",3
"NBNORG0000059022","Stenoptilia pneumonanthes","mature",4
"NBNORG0000059023","Stenoptilia pterodactyla","mature",3
"NBNORG0000059024","Stenoptilia zophodactylus","mature",2
"NBNORG0000099287","Stenoptilia annadactyla","mature",4
"NBNORG0000102984","Emmelina argoteles","mature",4
"NBNORG0000108491","Stenoptilia scabiodactylus","mature",4
