code,text
1,"Critical species, difficult to identify"
2,"Very restricted geographically, difficult to identify"
3,"Very rare migrant"
4,"Very rare resident species"
5,"Recently discovered species"
6,"Recently rediscovered species"
7,"Species is probably extinct"
