"organism_key","taxon","code"
"NBNORG0000018508","Buckleria paludum",1
"NBNORG0000042135","Hellinsia chrysocomae",2
"NBNORG0000042490","Merrifieldia tridactyla",2
"NBNORG0000043331","Stenoptilia gallobritannidactyla",3
"NBNORG0000043332","Stenoptilia islandicus",4
"NBNORG0000058649","Oxyptilus laetus",3
"NBNORG0000058651","Oxyptilus pilosellae",4
"NBNORG0000059022","Stenoptilia pneumonanthes",7
"NBNORG0000099287","Stenoptilia annadactyla",5
"NBNORG0000102984","Emmelina argoteles",2
"NBNORG0000108491","Stenoptilia scabiodactylus",6
