"taxon","tvk","start_day","start_month","end_day","end_month","stage"
"Scythris fuscoaenea","NHMSYS0000504165","01","06","31","08","Adult"
"Argyresthia semifusca","NHMSYS0000501387","21","06","30","09","Adult"
"Glyphipterix forsterella","NHMSYS0000502734","01","05","31","07","Adult"
"Elachista pomerana","NHMSYS0000502324","01","04","30","09","Adult"
"Trifurcula subnitidella","NHMSYS0021142138","01","05","07","09","Adult"
"Phycitodes maritima","NHMSYS0000503748","01","05","07","09","Adult"
"Adscita geryon geryon","NHMSYS0021143419","21","04","07","08","Adult"
"Xestia alpicola","NHMSYS0000523349","21","06","15","08","Adult"
"Phalonidia curvistrigana","NHMSYS0000503705","01","07","31","08","Adult"
"Eriopsela quadrana","NHMSYS0021143241","21","04","07","06","Adult"
"Aphelia viburnana","NHMSYS0021143025","01","06","30","09","Adult"
"Dysstroma truncata truncata","NHMSYS0021143993","01","05","30","11","Adult"
"Gandaritis pyraliata","NHMSYS0021143990","01","06","07","09","Adult"
"Coleophora lixella","NHMSYS0000501893","01","06","31","08","Adult"
"Agriopis leucophaearia","NHMSYS0021144221","07","04","15","12","Adult"
"Cyclophora ruficiliaria","NHMSYS0020758190","15","04","21","09","Adult"
"Micropterix aureatella","NHMSYS0000503230","01","05","07","07","Adult"
"Etiella zinckenella","NHMSYS0000502507","21","07","31","10","Adult"
"Stephensia brunnichella","NHMSYS0000504321","01","05","30","09","Adult"
"Scoparia subfusca","NHMSYS0000504121","15","05","07","09","Adult"
"Phyllonorycter cerasicolella","NHMSYS0000503764","01","05","31","08","Adult"
"Mesoleuca albicillata","NBNSYS0000005828","01","05","07","09","Adult"
"Noctua interjecta","NHMSYS0000521898","15","06","15","10","Adult"
"Pediasia contaminella","NHMSYS0000503657","15","06","21","10","Adult"
"Cucullia asteris","NHMSYS0021144523","07","05","07","09","Adult"
"Lithophane leautieri hesperica","NHMSYS0021144735","15","09","30","11","Adult"
"Apamea crenata","NBNSYS0000006425","01","05","31","08","Adult"
"Athetis hospes","NHMSYS0021144590","01","06","31","10","Adult"
"Deltote bankiana","NBNSYS0000006519","01","06","31","07","Adult"
"Camptogramma bilineata","NHMSYS0000517593","07","05","30","09","Adult"
"Plusia putnami gracilis","NHMSYS0021144481","07","06","15","09","Adult"
"Eudarcia richardsoni","NHMSYS0000502546","01","06","31","07","Adult"
"Grapholita caecana","NHMSYS0021143366","01","05","31","07","Adult"
"Carsia sororiata","NHMSYS0000517633","01","06","21","09","Adult"
"Carpatolechia proximella","NBNSYS0100002201","21","04","31","07","Adult"
"Phyllonorycter staintoniella","NBNSYS0100004625","01","04","30","09","Adult"
"Habrosyne pyritoides","NBNSYS0000005725","01","05","31","10","Adult"
"Catocala sponsa","NHMSYS0000501673","15","07","15","10","Adult"
