organism_key,taxon,km100,km10,coord_system
NBNORG0000029265,Acrosorium ciliolatum,HU,56,OSGB
NBNORG0000029265,Acrosorium ciliolatum,HY,63 64 74,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NA,91 92,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NB,00 01 10 13 14 20 54 90,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NC,14 25 46,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NF,09 60 70 71 81 82 84 96,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NG,19 20 30 40 70 87,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NL,57 58 79 83 84 93 94 95,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NM,04 05 14 15 19 23 24 25 26 29 34 35 38 39 41 43 45 46 47 48 49 52 62 66 67 70 73 79,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NR,15 24 26 39 56 67 69 78 79,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NS,00 15,OSGB
NBNORG0000029265,Acrosorium ciliolatum,NU,05,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SC,16,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SH,12 13 22 23 24 27 29 31 32 36 37 41 57 68,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SM,40 50 62 70 72 73 80 81 82 83 90,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SR,89 99,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SS,09 10 14 19 48,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SV,80 81 90 91,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SW,33 43 54 61 62 71 72 81 82 83 97,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SX,08 09 15 19 25 44 45 54 63 64 73 84 85 94,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SY,18 28,OSGB
NBNORG0000029265,Acrosorium ciliolatum,SZ,19,OSGB
NBNORG0000029265,Acrosorium ciliolatum,TF,84,OSGB
NBNORG0000029265,Acrosorium ciliolatum,TG,04 24,OSGB
NBNORG0000029266,Acrothrix gracilis,HU,36 37,OSGB
NBNORG0000029266,Acrothrix gracilis,HY,41,OSGB
NBNORG0000029266,Acrothrix gracilis,HZ,27,OSGB
NBNORG0000029266,Acrothrix gracilis,NB,01,OSGB
NBNORG0000029266,Acrothrix gracilis,NF,82,OSGB
NBNORG0000029266,Acrothrix gracilis,NM,55 71 89,OSGB
NBNORG0000029266,Acrothrix gracilis,NR,26,OSGB
NBNORG0000029266,Acrothrix gracilis,SC,16 26 27,OSGB
NBNORG0000029266,Acrothrix gracilis,SW,83,OSGB
NBNORG0000029311,Ahnfeltia plicata,HU,15 16 27 31 32 33 34 35 36 37 42 44 49 54 56 59,OSGB
NBNORG0000029311,Ahnfeltia plicata,HY,20 21 22 31 32 40 41 43 50 51 52 53 63 64 74,OSGB
NBNORG0000029311,Ahnfeltia plicata,HZ,27,OSGB
NBNORG0000029311,Ahnfeltia plicata,NA,92,OSGB
NBNORG0000029311,Ahnfeltia plicata,NB,01 03 13 14 24 35 42 43 45 53 54,OSGB
NBNORG0000029311,Ahnfeltia plicata,NC,15 24 25 36 45 46 76 90 91,OSGB
NBNORG0000029311,Ahnfeltia plicata,ND,01 23 48 49 59,OSGB
NBNORG0000029311,Ahnfeltia plicata,NF,66 70 73 75 84 86 87 96 98,OSGB
NBNORG0000029311,Ahnfeltia plicata,NG,19 29 33 72 77 82 83 85 87 88 93,OSGB
NBNORG0000029311,Ahnfeltia plicata,NH,75 76 86 88 89 98,OSGB
NBNORG0000029311,Ahnfeltia plicata,NJ,16 36 46 76 86 90 96,OSGB
NBNORG0000029311,Ahnfeltia plicata,NK,14,OSGB
NBNORG0000029311,Ahnfeltia plicata,NL,69,OSGB
NBNORG0000029311,Ahnfeltia plicata,NM,04 22 25 35 42 45 46 47 48 49 52 55 67 68 71 77 78 82 83,OSGB
NBNORG0000029311,Ahnfeltia plicata,NN,07 10,OSGB
NBNORG0000029311,Ahnfeltia plicata,NO,40 43 51 53 60 64 76 86 88,OSGB
NBNORG0000029311,Ahnfeltia plicata,NR,15 25 26 27 34 37 38 39 45 46 47 57 58 60 62 67 68 70 77 78 85 87 97,OSGB
NBNORG0000029311,Ahnfeltia plicata,NS,14 15 18,OSGB
NBNORG0000029311,Ahnfeltia plicata,NT,27 28 29 37 49 58 67 68 69 77 95 96,OSGB
NBNORG0000029311,Ahnfeltia plicata,NU,04 05 06 13 14 20 21 22 23,OSGB
NBNORG0000029311,Ahnfeltia plicata,NW,95 97,OSGB
NBNORG0000029311,Ahnfeltia plicata,NX,04 06 07 08 09 13 43 54 55 64 74 91 94,OSGB
NBNORG0000029311,Ahnfeltia plicata,NZ,36 37 39 46 72 90 91,OSGB
NBNORG0000029311,Ahnfeltia plicata,SC,16 26 27 37 47 48,OSGB
NBNORG0000029311,Ahnfeltia plicata,SD,08,OSGB
NBNORG0000029311,Ahnfeltia plicata,SH,12 13 22 24 27 28 29 32 34 36 37 39 41 46 49 50 51 52 57 61 68 78,OSGB
NBNORG0000029311,Ahnfeltia plicata,SM,70 72 73 80 81 83 93,OSGB
NBNORG0000029311,Ahnfeltia plicata,SN,03 10 35 46 56 57 58 68,OSGB
NBNORG0000029311,Ahnfeltia plicata,SR,89,OSGB
NBNORG0000029311,Ahnfeltia plicata,SS,09 14 19 20 21 22 32 38 43 44 48 54 58 64 68 69,OSGB
NBNORG0000029311,Ahnfeltia plicata,SV,80 81 90 91,OSGB
NBNORG0000029311,Ahnfeltia plicata,SW,32 33 42 43 44 52 53 54 61 64 71 72 75 76 81 82 83 86 87 93 94 97,OSGB
NBNORG0000029311,Ahnfeltia plicata,SX,04 05 15 19 25 35 36 44 45 54 63 64 73 83 85 86 95 96 97,OSGB
NBNORG0000029311,Ahnfeltia plicata,SY,07 08 18 28 39 49 66 67 78 87 88 97,OSGB
NBNORG0000029311,Ahnfeltia plicata,SZ,07 08 28 38 47 49 58 68 69 79 89 99,OSGB
NBNORG0000029311,Ahnfeltia plicata,TA,09 18 27,OSGB
NBNORG0000029311,Ahnfeltia plicata,TF,84,OSGB
NBNORG0000029311,Ahnfeltia plicata,TG,24,OSGB
NBNORG0000029311,Ahnfeltia plicata,TL,90,OSGB
NBNORG0000029311,Ahnfeltia plicata,TM,01 11,OSGB
NBNORG0000029311,Ahnfeltia plicata,TQ,30 40,OSGB
NBNORG0000029311,Ahnfeltia plicata,TR,23 34 36 37 47,OSGB
NBNORG0000029311,Ahnfeltia plicata,TV,49 59 69,OSGB
NBNORG0000029313,Alaria esculenta,HP,50 51 60 61 62,OSGB
NBNORG0000029313,Alaria esculenta,HT,93 94,OSGB
NBNORG0000029313,Alaria esculenta,HU,15 16 24 27 28 30 31 32 33 34 37 38 42 43 44 45 46 47 48 49 53 54 55 56 58 59 67 68 69,OSGB
NBNORG0000029313,Alaria esculenta,HW,63 83,OSGB
NBNORG0000029313,Alaria esculenta,HY,10 20 21 22 30 32 33 40 41 42 43 44 45 50 51 52 53 55 63 64 73 74,OSGB
NBNORG0000029313,Alaria esculenta,HZ,16 17 26 27,OSGB
NBNORG0000029313,Alaria esculenta,NA,00 10 92,OSGB
NBNORG0000029313,Alaria esculenta,NB,01 03 13 14 32 34 35 42 43 45 53 54 56 90,OSGB
NBNORG0000029313,Alaria esculenta,NC,13 14 15 16 25 27 36 37 45 46 76 90 91,OSGB
NBNORG0000029313,Alaria esculenta,ND,01 06 07 12 13 19 27 34 35 36 37 39 47 48 49 59,OSGB
NBNORG0000029313,Alaria esculenta,NF,09 19 60 66 70 73 75 77 82 84,OSGB
NBNORG0000029313,Alaria esculenta,NG,13 14 15 20 23 24 25 29 30 31 33 35 37 47 49 51 53 60 71 72 76 77 79 81 82 85 88 89,OSGB
NBNORG0000029313,Alaria esculenta,NH,09 87 89 98,OSGB
NBNORG0000029313,Alaria esculenta,NJ,16 17 46 56 66 76 86 90 96,OSGB
NBNORG0000029313,Alaria esculenta,NK,14,OSGB
NBNORG0000029313,Alaria esculenta,NL,57 58 69 93,OSGB
NBNORG0000029313,Alaria esculenta,NM,04 25 32 35 39 41 43 44 45 46 47 48 52 55 57 67 68 69 70 71 72 74 77 78 81 83,OSGB
NBNORG0000029313,Alaria esculenta,NN,14,OSGB
NBNORG0000029313,Alaria esculenta,NO,50 51 60 64 74 76 86 87 88,OSGB
NBNORG0000029313,Alaria esculenta,NR,15 16 24 25 26 27 34 37 38 39 44 45 46 47 56 57 58 59 60 62 63 67 68 69 70 71 72 76 77 78 82 83 84 85 86 92 95 96 98,OSGB
NBNORG0000029313,Alaria esculenta,NS,00 02 05 10 14 15 16 21 27 28,OSGB
NBNORG0000029313,Alaria esculenta,NT,28 29 39 49 58 67 68 69 77 86 87 95 96 97,OSGB
NBNORG0000029313,Alaria esculenta,NU,04 05 06 13 14 20 21 22 23,OSGB
NBNORG0000029313,Alaria esculenta,NW,95 97,OSGB
NBNORG0000029313,Alaria esculenta,NX,03 04 06 07 08 09 13 18 19 33 43 44 64 74,OSGB
NBNORG0000029313,Alaria esculenta,NZ,29 35 36 37 38 39 46 90 91,OSGB
NBNORG0000029313,Alaria esculenta,SC,16 17 26 27 28 37 47 48 49,OSGB
NBNORG0000029313,Alaria esculenta,SH,12 13 22 23 24 27 28 29 32 36 37 39 46 49 68,OSGB
