"organism_key","taxon","code"
"NBNORG0000029265","Acrosorium ciliolatum",3
"NBNORG0000029266","Acrothrix gracilis",4
"NBNORG0000029524","Arthrocladia villosa",3
"NBNORG0000029540","Asperococcus scaber",4
"NBNORG0000029565","Acrochaetium battersianum",1
"NBNORG0000029566","Colaconema caespitosum",1
"NBNORG0000029569","Colaconema daviesii",1
"NBNORG0000029571","Colaconema endophyticum",1
"NBNORG0000029572","Acrochaetium endozoicum",1
"NBNORG0000029574","Acrochaetium parvulum",1
"NBNORG0000029575","Rhodochorton purpureum",3
"NBNORG0000029576","Acrochaetium rosulatum",1
"NBNORG0000029577","Acrochaetium sanctae-mariae",1
"NBNORG0000029578","Acrochaetium secundatum",1
"NBNORG0000029640","Blastophysa rhizopus",1
"NBNORG0000029654","Bonnemaisonia hamifera",1
"NBNORG0000029657","Bostrychia scorpioides",3
"NBNORG0000029717","Calliblepharis ciliata",3
"NBNORG0000029732","Callophyllis laciniata",3
"NBNORG0000029808","Ceramium diaphanum",4
"NBNORG0000029810","Ceramium gaditanum",1
"NBNORG0000029811","Ceramium virgatum",3
"NBNORG0000029812","Ceramium secundatum",3
"NBNORG0000029813","Ceramium shuttleworthianum",1
"NBNORG0000029837","Chaetomorpha linum",3
"NBNORG0000029862","Chondracanthus acicularis",3
"NBNORG0000029863","Chondracanthus teedei",4
"NBNORG0000029873","Halosiphon tomentosus",3
"NBNORG0000029889","Chylocladia verticillata",3
"NBNORG0000029912","Cladophora dalmatica",3
"NBNORG0000029913","Cladophora hutchinsiae",3
"NBNORG0000029914","Cladophora laetevirens",3
"NBNORG0000029915","Cladophora lehmanniana",3
"NBNORG0000029916","Cladophora liniformis",3
"NBNORG0000029917","Cladophora pellucida",3
"NBNORG0000029918","Cladophora pygmaea",3
"NBNORG0000029920","Cladophora sericea",3
"NBNORG0000029950","Codium tomentosum",3
"NBNORG0000029951","Codium vermilara",3
"NBNORG0000029959","Compsothamnion gracillimum",3
"NBNORG0000029963","Corallina officinalis",3
"NBNORG0000029979","Corynophlaea crispa",1
"NBNORG0000030020","Cruoria pellita",3
"NBNORG0000030022","Cryptopleura ramosa",3
"NBNORG0000030057","Petrospongium berkeleyi",3
"NBNORG0000030064","Cystoclonium purpureum",3
"NBNORG0000030065","Cystoseira nodicaulis",4
"NBNORG0000030066","Cystoseira tamariscifolia",3
"NBNORG0000030069","Dasya hutchinsiae",3
"NBNORG0000030070","Dasya ocellata",4
"NBNORG0000030085","Derbesia marina",3
"NBNORG0000030087","Titanoderma pustulatum",1
"NBNORG0000030113","Dictyosiphon foeniculaceus",3
"NBNORG0000030188","Dudresnaya verticillata",3
"NBNORG0000030218","Ectocarpus fasciculatus",1
"NBNORG0000030219","Ectocarpus siliculosus",1
"NBNORG0000030227","Elachista fucicola",1
"NBNORG0000030262","Ulva flexuosa",3
"NBNORG0000030263","Ulva ralfsii",5
"NBNORG0000030265","Epicladia flustrae",1
"NBNORG0000030266","Ulvella wittrockii",2
"NBNORG0000030279","Erythrodermis traillii",3
"NBNORG0000030281","Erythrotrichia welwitschii",1
"NBNORG0000030411","Fucus ceranoides",3
"NBNORG0000030413","Fucus distichus",3
"NBNORG0000030415","Fucus spiralis",3
"NBNORG0000030416","Furcellaria lumbricalis",3
"NBNORG0000030453","Gastroclonium ovatum",3
"NBNORG0000030454","Gastroclonium reflexum",3
"NBNORG0000030463","Gelidium spinosum",3
"NBNORG0000030464","Gelidium pulchellum",3
"NBNORG0000030465","Gelidium pusillum",3
"NBNORG0000030506","Gonimophyllum buffhamii",4
"NBNORG0000030524","Griffithsia corallinoides",3
"NBNORG0000030525","Griffithsia devoniensis",3
"NBNORG0000030536","Halarachnion ligulatum",3
"NBNORG0000030563","Halopteris filicina",3
"NBNORG0000030564","Halothrix lumbricalis",1
"NBNORG0000030565","Halurus equisetifolius",3
"NBNORG0000030604","Phycocelis foecunda",1
"NBNORG0000030635","Hildenbrandia rubra",1
"NBNORG0000030655","Holmsella pachyderma",1
"NBNORG0000030779","Laminaria hyperborea",3
"NBNORG0000030781","Laminariocolax tomentosoides",1
"NBNORG0000030899","Lithophyllum fasciculatum",4
"NBNORG0000030900","Lithophyllum incrustans",1
"NBNORG0000030901","Lithophyllum orbiculatum",1
"NBNORG0000030902","Lithothamnion glaciale",3
"NBNORG0000030904","Lithothamnion sonderi",1
"NBNORG0000030905","Litosiphon laminariae",1
"NBNORG0000030929","Lomentaria clavellosa",3
"NBNORG0000031036","Mastocarpus stellatus",3
"NBNORG0000031059","Membranoptera alata",3
"NBNORG0000031079","Microcladia glandulosa",3
"NBNORG0000031100","Microspongium globosum",1
"NBNORG0000031104","Mikrosyphar polysiphoniae",1
"NBNORG0000031131","Monostroma grevillei",3
"NBNORG0000031160","Myrionema corunnae",1
"NBNORG0000031161","Myrionema papillosum",1
"NBNORG0000031162","Myrionema strangulans",3
"NBNORG0000031184","Naccaria wiggii",3
"NBNORG0000031201","Neevea repens",1
"NBNORG0000031203","Nemalion helminthoides",3
"NBNORG0000031259","Nitophyllum punctatum",3
"NBNORG0000031398","Osmundea pinnatifida",3
"NBNORG0000031409","Padina pavonica",4
"NBNORG0000031519","Petalonia filiformis",3
"NBNORG0000031520","Petalonia zosterifolia",3
"NBNORG0000031526","Petroderma maculiforme",3
"NBNORG0000031586","Phycodrys rubens",3
"NBNORG0000031598","Phymatolithon laevigatum",3
"NBNORG0000031603","Pylaiella littoralis",3
"NBNORG0000031630","Plagiospora gracilis",4
"NBNORG0000031647","Plumaria plumosa",3
"NBNORG0000031652","Pneophyllum myriocarpum",1
"NBNORG0000031653","Pneophyllum fragile",1
"NBNORG0000031665","Pogotrichum filiforme",1
"NBNORG0000031724","Polysiphonia brodiei",3
"NBNORG0000031725","Polysiphonia elongata",1
"NBNORG0000031726","Neosiphonia elongella",3
"NBNORG0000031728","Polysiphonia fibrata",3
"NBNORG0000031729","Polysiphonia fibrillosa",3
"NBNORG0000031735","Polysiphonia stricta",1
"NBNORG0000031762","Prasiola stipitata",3
"NBNORG0000031815","Pseudendoclonium submarinum",1
"NBNORG0000031836","Pterosiphonia parasitica",3
"NBNORG0000031837","Ptilothamnion pluma",3
"NBNORG0000031841","Punctaria latifolia",3
"NBNORG0000031858","Radicilingua thysanorhizans",3
"NBNORG0000031886","Rhodophyllis divaricata",3
"NBNORG0000031887","Rhodophysema elegans",1
"NBNORG0000031888","Rhodymenia holmesii",3
"NBNORG0000031930","Saccorhiza polyschides",3
"NBNORG0000031948","Scagelothamnion pusillum",3
"NBNORG0000031971","Scinaia furcellata",3
"NBNORG0000032014","Seirospora interrupta",3
"NBNORG0000032085","Spermatochnus paradoxus",4
"NBNORG0000032087","Spermothamnion repens",3
"NBNORG0000032088","Sphaceloderma caespitulum",3
"NBNORG0000032089","Battersia mirabilis",4
"NBNORG0000032090","Battersia plumigera",4
"NBNORG0000032091","Chaetopteris plumosa",4
"NBNORG0000032092","Sphacelaria plumula",1
"NBNORG0000032093","Protohalopteris radicans",1
"NBNORG0000032094","Sphacelaria rigidula",1
"NBNORG0000032095","Sphacelaria tribuloides",4
"NBNORG0000032115","Sphondylothamnion multifidum",3
"NBNORG0000032146","Acrosiphonia arcta",1
"NBNORG0000032147","Spongonema tomentosum",1
"NBNORG0000032151","Spyridia filamentosa",1
"NBNORG0000032169","Stictyosiphon soriferus",4
"NBNORG0000032170","Stictyosiphon tortilis",1
"NBNORG0000032180","Streblonema parasiticum",1
"NBNORG0000032311","Tilopteris mertensii",4
"NBNORG0000032415","Ulonema rhizophorum",1
"NBNORG0000032416","Ulothrix flacca",3
"NBNORG0000032418","Ulothrix subflaccida",3
"NBNORG0000032420","Ulva fenestrata",3
"NBNORG0000032422","Ulva rigida",3
"NBNORG0000032431","Urospora penicilliformis",3
"NBNORG0000032463","Pilinia rimosa",4
"NBNORG0000032474","Zanardinia typus",4
"NBNORG0000032651","Aglaothamnion feldmanniae",4
"NBNORG0000032911","Antithamnion villosum",3
"NBNORG0000032913","Antithamnionella ternifolia",5
"NBNORG0000033156","Acrochaetium alariae",7
"NBNORG0000033157","Colaconema asparagopsis",1
"NBNORG0000033159","Colaconema bonnemaisoniae",1
"NBNORG0000033162","Acrochaetium brebneri",1
"NBNORG0000033170","Colaconema infestans",1
"NBNORG0000033175","Acrochaetium lorrain-smithiae",1
"NBNORG0000033178","Acrochaetium microscopicum",1
"NBNORG0000033185","Acrochaetium savianum",1
"NBNORG0000033186","Acrochaetium scapae",1
"NBNORG0000033187","Acrochaetium seiriolanum",1
"NBNORG0000033188","Acrochaetium sparsum",1
"NBNORG0000033496","Buffhamia speciosa",4
"NBNORG0000033824","Characium marinum",3
"NBNORG0000033860","Chlorochytrium dermatocolax",4
"NBNORG0000033899","Choreocolax polysiphoniae",1
"NBNORG0000033974","Cladophora coelothrix",4
"NBNORG0000033975","Cladophora globulina",3
"NBNORG0000033977","Cladophora prolifera",3
"NBNORG0000033984","Cladosiphon contortus",7
"NBNORG0000034592","Chordaria flagelliformis",3
"NBNORG0000034601","Dictyosiphon ekmanii",4
"NBNORG0000034605","Dictyota spiralis",3
"NBNORG0000034898","Streblonema infestans",1
"NBNORG0000034967","Epicladia perforans",1
"NBNORG0000034969","Ulvella viridis",2
"NBNORG0000035030","Erythrocladia irregularis",1
"NBNORG0000035034","Sahlingia subintegra",3
"NBNORG0000035131","Eugomontia sacculata",3
"NBNORG0000035370","Gelidium crinale",3
"NBNORG0000035460","Laminariocolax aecidioides",1
"NBNORG0000035651","Haplospora globosa",4
"NBNORG0000035694","Hecatonema terminale",1
"NBNORG0000035847","Hincksia granulosa",1
"NBNORG0000036120","Kuetzingiella battersii",4
"NBNORG0000036334","Leptophytum bornetii",4
"NBNORG0000036485","Lithothamnion lemoineae",4
"NBNORG0000036936","Microcoryne ocellata",4
"NBNORG0000037000","Mikrosyphar porphyrae",1
"NBNORG0000037068","Protomonostroma undulatum",4
"NBNORG0000037138","Myriactula chordae",4
"NBNORG0000037139","Myriactula haydenii",1
"NBNORG0000037140","Myriactula stellulata",1
"NBNORG0000037145","Myrionema liechtensternii",1
"NBNORG0000037146","Myrionema magnusii",1
"NBNORG0000038078","Phaeostroma pustulosum",1
"NBNORG0000038449","Porphyra umbilicalis",3
"NBNORG0000038452","Porphyra purpurea",3
"NBNORG0000038473","Prasiola crispa",3
"NBNORG0000038615","Pseudendoclonium dynamenae",1
"NBNORG0000038670","Pseudopringsheimia confluens",4
"NBNORG0000038671","Pseudendoclonium fucicola",3
"NBNORG0000038718","Pterothamnion crispum",3
"NBNORG0000038879","Rhodella violacea",4
"NBNORG0000039323","Sorapion kjellmanii",4
"NBNORG0000039324","Sorapion simulans",4
"NBNORG0000039327","Botrytella micromora",4
"NBNORG0000039345","Sphacelorbus nanus",1
"NBNORG0000039346","Battersia racemosa",4
"NBNORG0000039502","Stictyosiphon adriaticus",3
"NBNORG0000039516","Stragularia spongiocarpa",4
"NBNORG0000039518","Streblonema breve",4
"NBNORG0000039520","Punctaria tenuissima",3
"NBNORG0000039521","Streblonema fasciculatum",4
"NBNORG0000039523","Streblonema intestinum",4
"NBNORG0000039525","Streblonema myriocladiae",1
"NBNORG0000039526","Myriotrichia claviformis",1
"NBNORG0000039527","Microspongium stilophorae",4
"NBNORG0000039528","Strepsithalia buffhamiana",4
"NBNORG0000039565","Stylonema cornu-cervi",4
"NBNORG0000039589","Symphyocarpus strangulans",4
"NBNORG0000039666","Tellamia contorta",1
"NBNORG0000040127","Ulothrix implexa",3
"NBNORG0000040129","Ulva linza",3
"NBNORG0000040131","Ulva gigantea",1
"NBNORG0000040132","Ulva pseudocurvata",3
"NBNORG0000040139","Ulvella setchellii",3
"NBNORG0000040254","Wittrockiella amphibia",4
"NBNORG0000040647","Porphyra linearis",3
"NBNORG0000040650","Asparagopsis armata",1
"NBNORG0000040651","Gelidium corneum",4
"NBNORG0000040652","Cryptonemia lomation",4
"NBNORG0000040653","Pikea californica",3
"NBNORG0000040655","Lophosiphonia reptabunda",4
"NBNORG0000040657","Punctaria plantaginea",3
"NBNORG0000040658","Undaria pinnatifida",3
"NBNORG0000040659","Sargassum muticum",3
"NBNORG0000040660","Rhizoclonium tortuosum",3
"NBNORG0000052839","Aglaothamnion tenuissimum",3
"NBNORG0000052841","Ceramium cimbricum",3
"NBNORG0000052842","Ceramium deslongchampsii",3
"NBNORG0000052844","Chaetomorpha litorea",3
"NBNORG0000052845","Chondria capillaris",3
"NBNORG0000052851","Compsonema minutum",1
"NBNORG0000052853","Cystoseira foeniculacea",4
"NBNORG0000052854","Cystoseira humilis subsp. myriophylloides",4
"NBNORG0000052857","Elachista flaccida",1
