"organism_key","taxon","stage","code"
"NBNORG0000011305","Cymus aurescens","mature",3
"NBNORG0000011307","Physatocheila smreczynskii","mature",3
"NBNORG0000091557","Coreus marginatus","mature",1
"NBNORG0000091558","Empicoris vagabundus","mature",2
"NBNORG0000091559","Harpocera thoracica","mature",1
"NBNORG0000091561","Heterogaster urticae","mature",1
"NBNORG0000091562","Liocoris tripustulatus","mature",1
"NBNORG0000091563","Loricula pselaphiformis","mature",3
"NBNORG0000091564","Palomena prasina","mature",1
"NBNORG0000091565","Podops inuncta","mature",1
"NBNORG0000091568","Stenotus binotatus","mature",1
"NBNORG0000091572","Zicrona caerulea","mature",1
"NBNORG0000094725","Acalypta brunnea","mature",3
"NBNORG0000094726","Acalypta carinata","mature",3
"NBNORG0000094727","Acalypta nigrina","mature",3
"NBNORG0000094728","Acalypta parvula","mature",3
"NBNORG0000094729","Acalypta platycheila","mature",3
"NBNORG0000094731","Acanthosoma haemorrhoidale","mature",1
"NBNORG0000094735","Acetropis (Acetropis) gimmerthalii","mature",2
"NBNORG0000094737","Acompocoris alpinus","mature",4
"NBNORG0000094738","Acompocoris pygmaeus","mature",4
"NBNORG0000094740","Acompus pallipes","mature",3
"NBNORG0000094741","Acompus rufipes","mature",3
"NBNORG0000094743","Adelphocoris lineolatus","mature",1
"NBNORG0000094744","Adelphocoris seticornis","mature",1
"NBNORG0000094745","Adelphocoris ticinensis","mature",1
"NBNORG0000094747","Adomerus biguttatus","mature",1
"NBNORG0000094749","Aelia acuminata","mature",1
"NBNORG0000094755","Agnocoris reclairei","mature",2
"NBNORG0000094758","Agramma (Agramma) laetum","mature",2
"NBNORG0000094760","Alloeotomus gothicus","mature",2
"NBNORG0000094762","Alydus calcaratus","mature",1
"NBNORG0000094764","Amblytylus brevicollis","mature",4
"NBNORG0000094765","Amblytylus delicatus","mature",4
"NBNORG0000094766","Amblytylus nasutus","mature",4
"NBNORG0000094770","Aneurus (Aneurodes) avenius","mature",3
"NBNORG0000094772","Aneurus (Aneurus) laevis","mature",3
"NBNORG0000094777","Anthocoris amplicollis","mature",3
"NBNORG0000094778","Anthocoris butleri","mature",3
"NBNORG0000094779","Anthocoris confusus","mature",3
"NBNORG0000094780","Anthocoris gallarum-ulmi","mature",3
"NBNORG0000094781","Anthocoris limbatus","mature",3
"NBNORG0000094782","Anthocoris minki subsp. minki","mature",3
"NBNORG0000094783","Anthocoris nemoralis","mature",3
"NBNORG0000094784","Anthocoris nemorum","mature",2
"NBNORG0000094785","Anthocoris pilosus","mature",3
"NBNORG0000094786","Anthocoris sarothamni","mature",3
"NBNORG0000094787","Anthocoris simulans","mature",3
"NBNORG0000094788","Anthocoris visci","mature",3
"NBNORG0000094791","Aphanus rolandri","mature",1
"NBNORG0000094799","Aradus aterrimus","mature",3
"NBNORG0000094800","Aradus betulae","mature",2
"NBNORG0000094801","Aradus cinnamomeus","mature",2
"NBNORG0000094802","Aradus corticalis","mature",3
"NBNORG0000094803","Aradus depressus","mature",2
"NBNORG0000094806","Arenocoris falleni","mature",2
"NBNORG0000094807","Arenocoris waltlii","mature",2
"NBNORG0000094813","Asciodema obsoleta","mature",3
"NBNORG0000094816","Atractotomus magnicornis","mature",4
"NBNORG0000094817","Atractotomus mali","mature",3
"NBNORG0000094818","Atractotomus parvulus","mature",4
"NBNORG0000094820","Bathysolen nubilus","mature",2
"NBNORG0000094822","Beosus maritimus","mature",2
"NBNORG0000094829","Berytinus (Berytinus) clavipes","mature",3
"NBNORG0000094830","Berytinus (Berytinus) crassipes","mature",2
"NBNORG0000094831","Berytinus (Berytinus) hirticornis","mature",2
"NBNORG0000094832","Berytinus (Berytinus) minor","mature",3
