organism_key,taxon,code
NBNORG0000011292,Agenioideus cinctellus,mature,3
NBNORG0000072027,Agenioideus sericeus,mature,5
NBNORG0000072030,Ammophila sabulosa,mature,2
NBNORG0000072032,Ancistrocerus antilope,mature,5
NBNORG0000072039,Ancistrocerus claripennis,mature,5
NBNORG0000072033,Ancistrocerus gazella,mature,3
NBNORG0000072034,Ancistrocerus nigricornis,mature,3
NBNORG0000011296,Ancistrocerus oviventris,mature,3
NBNORG0000072037,Ancistrocerus parietinus,mature,3
NBNORG0000129914,Ancistrocerus parietum,mature,3
NBNORG0000072040,Ancistrocerus scoticus,mature,3
NBNORG0000072041,Ancistrocerus trifasciatus,mature,3
NBNORG0000072092,Andrena alfkenella,mature,3
NBNORG0000072120,Andrena angustior,mature,3
NBNORG0000072046,Andrena apicata,mature,3
NBNORG0000072079,Andrena argentata,mature,3
NBNORG0000072080,Andrena barbilabris,mature,3
NBNORG0000072068,Andrena bicolor,mature,3
NBNORG0000072109,Andrena bimaculata,mature,3
NBNORG0000072073,Andrena bucephala,mature,3
NBNORG0000072104,Andrena chrysosceles,mature,3
NBNORG0000072084,Andrena cineraria,mature,1
NBNORG0000072047,Andrena clarkella,mature,2
NBNORG0000072107,Andrena coitana,mature,3
NBNORG0000072122,Andrena congruens,mature,3
NBNORG0000072062,Andrena denticulata,mature,3
NBNORG0000072123,Andrena dorsata,mature,3
NBNORG0000072093,Andrena falsifica,mature,3
NBNORG0000072074,Andrena ferox,mature,4
NBNORG0000072133,Andrena flavipes,mature,2
NBNORG0000072116,Andrena florea,mature,3
NBNORG0000072094,Andrena floricola,mature,5
NBNORG0000072048,Andrena fucata,mature,3
NBNORG0000072049,Andrena fulva,mature,1
NBNORG0000072060,Andrena fulvago,mature,3
NBNORG0000072063,Andrena fuscipes,mature,3
NBNORG0000072134,Andrena gravida,mature,3
NBNORG0000072131,Andrena haemorrhoa,mature,1
NBNORG0000072056,Andrena hattorfiana,mature,3
NBNORG0000072050,Andrena helvola,mature,3
NBNORG0000072058,Andrena humilis,mature,3
NBNORG0000072071,Andrena labialis,mature,3
NBNORG0000072114,Andrena labiata,mature,2
NBNORG0000072051,Andrena lapponica,mature,3
NBNORG0000072126,Andrena lathyri,mature,5
NBNORG0000072124,Andrena lepida,mature,5
NBNORG0000072082,Andrena marginata,mature,3
NBNORG0000072095,Andrena minutula,mature,3
NBNORG0000072096,Andrena minutuloides,mature,3
NBNORG0000072097,Andrena nana,mature,5
NBNORG0000072098,Andrena nanula,mature,5
NBNORG0000072064,Andrena nigriceps,mature,3
NBNORG0000072085,Andrena nigroaenea,mature,3
NBNORG0000072110,Andrena nigrospina,mature,5
NBNORG0000072088,Andrena nitida,mature,2
NBNORG0000072105,Andrena nitidiuscula,mature,3
NBNORG0000072099,Andrena niveata,mature,3
NBNORG0000072127,Andrena ovatula,mature,3
NBNORG0000072111,Andrena pilipes,mature,3
NBNORG0000106717,Andrena pilipes sensu lato,mature,6
NBNORG0000072117,Andrena polita,mature,5
NBNORG0000072052,Andrena praecox,mature,3
NBNORG0000072100,Andrena proxima sensu lato,mature,3
NBNORG0000072075,Andrena rosae,mature,5
NBNORG0000072069,Andrena ruficrus,mature,3
NBNORG0000072076,Andrena scotica,mature,3
NBNORG0000072101,Andrena semilaevis,mature,3
NBNORG0000072128,Andrena similis,mature,3
NBNORG0000072065,Andrena simillima,mature,3
NBNORG0000072102,Andrena subopaca,mature,3
NBNORG0000072053,Andrena synadelpha,mature,4
NBNORG0000072118,Andrena tarsata,mature,3
NBNORG0000072089,Andrena thoracica,mature,3
NBNORG0000072112,Andrena tibialis,mature,3
NBNORG0000072066,Andrena tridentata,mature,5
NBNORG0000072077,Andrena trimmerana,mature,3
NBNORG0000072090,Andrena vaga,mature,5
NBNORG0000072054,Andrena varians,mature,3
NBNORG0000072129,Andrena wilkella,mature,3
NBNORG0000072136,Anergates atratulus,mature,5
NBNORG0000072139,Anoplius caviventris,mature,3
NBNORG0000072140,Anoplius concinnus,mature,3
NBNORG0000072143,Anoplius infuscatus,mature,3
NBNORG0000072141,Anoplius nigerrimus,mature,3
NBNORG0000072144,Anoplius viaticus,mature,2
NBNORG0000072146,Anteon arcuatum,mature,4
NBNORG0000072147,Anteon brachycerum,mature,4
NBNORG0000072148,Anteon ephippiger,mature,4
NBNORG0000041095,Anteon exiguum,mature,4
NBNORG0000072149,Anteon faciale,mature,4
NBNORG0000072150,Anteon flavicorne,mature,4
NBNORG0000072151,Anteon fulviventre,mature,4
NBNORG0000072152,Anteon gaullei,mature,4
NBNORG0000072153,Anteon infectum,mature,4
NBNORG0000105414,Anteon jurineanum sensu lato,mature,4
NBNORG0000072154,Anteon pubicorne,mature,4
NBNORG0000072155,Anteon reticulatum,mature,4
NBNORG0000072156,Anteon scapulare,mature,4
NBNORG0000072157,Anteon tripartitum,mature,4
NBNORG0000072161,Anthidium manicatum,mature,1
NBNORG0000072172,Anthophora bimaculata,mature,3
NBNORG0000072168,Anthophora furcata,mature,3
NBNORG0000072166,Anthophora plumipes,mature,2
NBNORG0000072170,Anthophora quadrimaculata,mature,3
NBNORG0000072174,Anthophora retusa,mature,3
NBNORG0000072179,Aphelopus atratus,mature,4
NBNORG0000072180,Aphelopus camus,mature,4
NBNORG0000072181,Aphelopus melaleucus,mature,4
NBNORG0000072182,Aphelopus nigriceps,mature,4
NBNORG0000041119,Aphelopus querceus,mature,4
NBNORG0000072183,Aphelopus serratus,mature,4
NBNORG0000072185,Apis mellifera,mature,1
NBNORG0000011294,Aporus unicolor,mature,3
NBNORG0000072191,Arachnospila anceps,mature,3
NBNORG0000072192,Arachnospila consobrina,mature,4
NBNORG0000072196,Arachnospila minutula,mature,3
NBNORG0000072199,Arachnospila rufa,mature,5
NBNORG0000072197,Arachnospila spissa,mature,3
NBNORG0000072193,Arachnospila trivialis,mature,3
NBNORG0000072194,Arachnospila wesmaeli,mature,3
NBNORG0000072201,Argogorytes fargeii,mature,3
NBNORG0000072202,Argogorytes mystaceus,mature,3
NBNORG0000072204,Astata boops,mature,2
NBNORG0000011289,Auplopus carbonarius,mature,3
NBNORG0000072211,Bethylus boops,mature,4
NBNORG0000072212,Bethylus cephalotes,mature,4
NBNORG0000072213,Bethylus dendrophilus,mature,4
NBNORG0000072214,Bethylus fuscicornis,mature,4
NBNORG0000072238,Bombus barbutellus,mature,3
NBNORG0000072239,Bombus bohemicus,mature,3
NBNORG0000072240,Bombus campestris,mature,3
NBNORG0000072218,Bombus cryptarum,mature,5
NBNORG0000072225,Bombus cullumanus,mature,5
NBNORG0000072259,Bombus distinguendus,mature,3
NBNORG0000072229,Bombus hortorum,mature,3
NBNORG0000104246,Bombus humilis,mature,3
NBNORG0000072247,Bombus hypnorum,mature,1
NBNORG0000072248,Bombus jonellus,mature,3
NBNORG0000072236,Bombus lapidarius,mature,1
NBNORG0000072219,Bombus lucorum,mature,5
NBNORG0000106718,Bombus lucorum sensu lato,mature,6
NBNORG0000072220,Bombus magnus,mature,5
NBNORG0000072253,Bombus monticola,mature,2
NBNORG0000104248,Bombus muscorum,mature,3
NBNORG0000104256,Bombus pascuorum,mature,2
NBNORG0000072257,Bombus pomorum,mature,5
NBNORG0000072255,Bombus pratorum,mature,3
NBNORG0000104261,Bombus ruderarius,mature,3
NBNORG0000072232,Bombus ruderatus,mature,4
NBNORG0000072243,Bombus rupestris,mature,2
NBNORG0000072227,Bombus soroeensis,mature,4
NBNORG0000072260,Bombus subterraneus,mature,4
NBNORG0000104262,Bombus sylvarum,mature,3
NBNORG0000072244,Bombus sylvestris,mature,3
NBNORG0000072221,Bombus terrestris,mature,1
NBNORG0000072245,Bombus vestalis,mature,3
NBNORG0000011290,Caliadurgus fasciatellus,mature,3
NBNORG0000072264,Cardiocondyla britteni,mature,5
NBNORG0000072266,Cephalonomia formiciformis,mature,4
NBNORG0000072267,Cephalonomia gallicola,mature,4
NBNORG0000072268,Cephalonomia hammi,mature,4
NBNORG0000072269,Cephalonomia tarsalis,mature,4
NBNORG0000072270,Cephalonomia waterstoni,mature,4
NBNORG0000072273,Ceratina cyanea,mature,2
NBNORG0000072275,Cerceris arenaria,mature,3
NBNORG0000072276,Cerceris quadricincta,mature,3
NBNORG0000072277,Cerceris quinquefasciata,mature,3
NBNORG0000072278,Cerceris ruficornis,mature,3
NBNORG0000072279,Cerceris rybyensis,mature,3
NBNORG0000072280,Cerceris sabulosa,mature,5
NBNORG0000072282,Ceropales maculata,mature,3
NBNORG0000072283,Ceropales variegata,mature,3
NBNORG0000072289,Chelostoma campanularum,mature,2
NBNORG0000072290,Chelostoma florisomne,mature,2
NBNORG0000072293,Chrysis angustula,mature,3
NBNORG0000072295,Chrysis fulgida,mature,3
NBNORG0000072296,Chrysis gracillima,mature,3
NBNORG0000072297,Chrysis ignita,mature,4
NBNORG0000106719,Chrysis ignita sensu lato,mature,6
NBNORG0000072298,Chrysis illigeri,mature,3
NBNORG0000072299,Chrysis impressa,mature,4
NBNORG0000072300,Chrysis longula,mature,5
NBNORG0000072301,Chrysis mediata,mature,4
NBNORG0000072302,Chrysis pseudobrevitarsis,mature,5
NBNORG0000072303,Chrysis ruddii,mature,4
NBNORG0000072305,Chrysis schencki,mature,5
NBNORG0000072304,Chrysis vanlithi,mature,4
NBNORG0000072306,Chrysis viridula,mature,2
NBNORG0000072308,Chrysura hirsuta,mature,4
NBNORG0000072309,Chrysura radians,mature,3
NBNORG0000072311,Cleptes nitidulus,mature,3
NBNORG0000072312,Cleptes semiauratus,mature,3
NBNORG0000072316,Coelioxys afra,mature,5
NBNORG0000072319,Coelioxys conoidea,mature,3
NBNORG0000072325,Coelioxys conoidea sensu lato,mature,6
NBNORG0000072320,Coelioxys elongata,mature,3
NBNORG0000072321,Coelioxys inermis,mature,3
NBNORG0000072322,Coelioxys mandibularis,mature,3
NBNORG0000072323,Coelioxys quadridentata,mature,3
NBNORG0000072324,Coelioxys rufescens,mature,3
NBNORG0000072337,Colletes cunicularius,mature,3
NBNORG0000072328,Colletes daviesanus,mature,3
NBNORG0000072329,Colletes floralis,mature,3
NBNORG0000072330,Colletes fodiens,mature,3
NBNORG0000072331,Colletes halophilus,mature,3
NBNORG0000072332,Colletes hederae,mature,2
NBNORG0000072333,Colletes marginatus,mature,3
NBNORG0000072334,Colletes similis,mature,3
NBNORG0000072335,Colletes succinctus,mature,3
NBNORG0000072340,Crabro cribrarius,mature,3
NBNORG0000072341,Crabro peltarius,mature,3
NBNORG0000072342,Crabro scutellatus,mature,3
NBNORG0000072346,Crematogaster scutellaris,mature,5
NBNORG0000072354,Crossocerus annulipes,mature,3
NBNORG0000072376,Crossocerus binotatus,mature,3
NBNORG0000072355,Crossocerus capitosus,mature,3
NBNORG0000072356,Crossocerus cetratus,mature,3
NBNORG0000072349,Crossocerus congener,mature,3
NBNORG0000072377,Crossocerus dimidiatus,mature,3
NBNORG0000072363,Crossocerus distinguendus,mature,3
NBNORG0000072364,Crossocerus elongatulus,mature,3
NBNORG0000072367,Crossocerus exiguus,mature,3
NBNORG0000072357,Crossocerus leucostomus,mature,3
NBNORG0000072358,Crossocerus megacephalus,mature,3
NBNORG0000072359,Crossocerus nigritus,mature,3
NBNORG0000072368,Crossocerus ovalis,mature,3
NBNORG0000072369,Crossocerus palmipes,mature,3
NBNORG0000072350,Crossocerus podagricus,mature,3
NBNORG0000072379,Crossocerus quadrimaculatus,mature,2
NBNORG0000072360,Crossocerus styrius,mature,3
NBNORG0000072371,Crossocerus tarsatus,mature,3
NBNORG0000072352,Crossocerus vagabundus,mature,3
NBNORG0000072370,Crossocerus varus,mature,3
NBNORG0000072361,Crossocerus walkeri,mature,3
NBNORG0000072374,Crossocerus wesmaeli,mature,3
NBNORG0000072382,Cryptocheilus notatus,mature,3
NBNORG0000072384,Dasypoda hirtipes,mature,1
NBNORG0000041817,Didineis lunicornis,mature,3
NBNORG0000072387,Dinetus pictus,mature,5
NBNORG0000072389,Diodontus insidiosus,mature,3
NBNORG0000072390,Diodontus luperus,mature,3
NBNORG0000072391,Diodontus minutus,mature,3
NBNORG0000072392,Diodontus tristis,mature,3
NBNORG0000072395,Dipogon bifasciatus,mature,3
NBNORG0000072396,Dipogon subintermedius,mature,3
NBNORG0000072397,Dipogon variegatus,mature,3
NBNORG0000072401,Dolichovespula media,mature,2
NBNORG0000072403,Dolichovespula norwegica,mature,3
NBNORG0000072404,Dolichovespula saxonica,mature,3
NBNORG0000072405,Dolichovespula sylvestris,mature,2
NBNORG0000072408,Dryinus collaris,mature,4
NBNORG0000072409,Dryinus niger,mature,4
NBNORG0000041850,Dryudella pinguis,mature,3
NBNORG0000072412,Dufourea halictula,mature,5
NBNORG0000011304,Dufourea minuta,mature,5
NBNORG0000072420,Ectemnius borealis,mature,3
NBNORG0000072415,Ectemnius cavifrons,mature,3
NBNORG0000072426,Ectemnius cephalotes,mature,3
NBNORG0000072423,Ectemnius continuus,mature,3
NBNORG0000072421,Ectemnius dives,mature,3
NBNORG0000072416,Ectemnius lapidarius,mature,3
NBNORG0000072427,Ectemnius lituratus,mature,3
NBNORG0000072424,Ectemnius rubicola,mature,3
NBNORG0000072417,Ectemnius ruficornis,mature,3
NBNORG0000072418,Ectemnius sexcinctus,mature,3
NBNORG0000072430,Elampus panzeri,mature,3
NBNORG0000072432,Embolemus ruddii,mature,4
NBNORG0000072434,Entomognathus brevis,mature,3
NBNORG0000072436,Epeolus cruciger,mature,3
NBNORG0000072437,Epeolus variegatus,mature,3
NBNORG0000106720,Episyron gallicum,mature,5
NBNORG0000072439,Episyron rufipes,mature,2
NBNORG0000072442,Epyris bilineatus,mature,4
NBNORG0000072444,Epyris niger,mature,4
NBNORG0000072448,Eucera longicornis,mature,3
NBNORG0000072449,Eucera nigrescens,mature,5
NBNORG0000072451,Eumenes coarctatus,mature,5
NBNORG0000072451,Eumenes coarctatus,mature,2
NBNORG0000072455,Euodynerus quadrifasciatus,mature,3
NBNORG0000011293,Evagetes crassicornis,mature,3
NBNORG0000072457,Evagetes dubius,mature,3
NBNORG0000072458,Evagetes pectinipes,mature,3
NBNORG0000072461,Formica aquilonia,mature,4
NBNORG0000072462,Formica cunicularia,mature,3
NBNORG0000072463,Formica exsecta,mature,3
NBNORG0000072464,Formica fusca,mature,3
NBNORG0000072465,Formica lemani,mature,3
NBNORG0000072466,Formica lugubris,mature,3
NBNORG0000072467,Formica picea [Genus inferred],mature,3
NBNORG0000072468,Formica pratensis,mature,5
NBNORG0000072469,Formica rufa,mature,3
NBNORG0000072470,Formica rufibarbis,mature,5
NBNORG0000072471,Formica sanguinea,mature,2
NBNORG0000072474,Formicoxenus nitidulus,mature,3
NBNORG0000097492,Gonatopus albosignatus,mature,4
NBNORG0000072477,Gonatopus bicolor,mature,4
NBNORG0000072478,Gonatopus clavipes,mature,4
NBNORG0000072480,Gonatopus distinguendus,mature,4
NBNORG0000042064,Gonatopus formicicolus,mature,4
NBNORG0000072481,Gonatopus helleni,mature,4
NBNORG0000072482,Gonatopus lunatus,mature,4
NBNORG0000072483,Gonatopus pedestris,mature,4
NBNORG0000072484,Gonatopus striatus,mature,4
NBNORG0000072486,Goniozus claripennis,mature,4
NBNORG0000072488,Gorytes laticinctus,mature,3
NBNORG0000072489,Gorytes quadrifasciatus,mature,3
NBNORG0000011295,Gymnomerus laevipes,mature,3
NBNORG0000072499,Halictus confusus,mature,4
NBNORG0000072493,Halictus eurygnathus,mature,4
NBNORG0000072494,Halictus maculatus,mature,5
NBNORG0000072496,Halictus rubicundus,mature,3
NBNORG0000072501,Halictus subauratus,mature,5
NBNORG0000072502,Halictus tumulorum,mature,2
NBNORG0000072504,Haplogonatopus oratorius,mature,4
NBNORG0000072506,Harpactus tumidus,mature,3
NBNORG0000072508,Hedychridium ardens,mature,3
NBNORG0000072509,Hedychridium coriaceum,mature,3
NBNORG0000072510,Hedychridium cupreum,mature,3
NBNORG0000072511,Hedychridium roseum,mature,2
NBNORG0000072513,Hedychrum niemelai,mature,4
NBNORG0000072515,Hedychrum rutilans,mature,5
NBNORG0000106721,Heriades rubicola,mature,5
NBNORG0000072517,Heriades truncorum,mature,3
NBNORG0000072519,Holepyris glabratus,mature,4
NBNORG0000072520,Holepyris sylvanidis,mature,4
NBNORG0000072524,Homonotus sanguinolentus,mature,3
NBNORG0000072528,Hoplitis claviventris,mature,3
NBNORG0000072529,Hoplitis leucomelana,mature,5
NBNORG0000072541,Hylaeus annularis,mature,3
NBNORG0000072545,Hylaeus brevicornis,mature,3
NBNORG0000072536,Hylaeus communis,mature,2
NBNORG0000072546,Hylaeus confusus,mature,3
NBNORG0000072534,Hylaeus cornutus,mature,2
NBNORG0000072540,Hylaeus dilatatus [Genus inferred],mature,3
NBNORG0000072551,Hylaeus hyalinatus,mature,3
NBNORG0000072547,Hylaeus incongruus,mature,3
NBNORG0000072548,Hylaeus pectoralis,mature,3
NBNORG0000072543,Hylaeus pictipes,mature,3
NBNORG0000072538,Hylaeus punctulatissimus,mature,5
NBNORG0000072549,Hylaeus signatus,mature,3
NBNORG0000072553,Hypoponera punctatissima,mature,4
NBNORG0000097493,Laelius femoralis,mature,4
NBNORG0000072565,Lasioglossum albipes,mature,3
NBNORG0000072566,Lasioglossum angusticeps,mature,4
NBNORG0000072567,Lasioglossum brevicorne,mature,3
NBNORG0000072568,Lasioglossum calceatum,mature,3
NBNORG0000072558,Lasioglossum cupromicans,mature,3
NBNORG0000072569,Lasioglossum fratellum,mature,3
NBNORG0000072570,Lasioglossum fulvicorne,mature,3
NBNORG0000072571,Lasioglossum laeve,mature,5
NBNORG0000072587,Lasioglossum laevigatum,mature,3
NBNORG0000072572,Lasioglossum laticeps,mature,3
NBNORG0000072588,Lasioglossum lativentre,mature,3
NBNORG0000072561,Lasioglossum leucopus,mature,3
NBNORG0000072589,Lasioglossum leucozonium,mature,3
NBNORG0000072575,Lasioglossum malachurum,mature,3
NBNORG0000072576,Lasioglossum minutissimum,mature,3
NBNORG0000072562,Lasioglossum morio,mature,3
NBNORG0000072577,Lasioglossum nitidiusculum,mature,3
NBNORG0000072578,Lasioglossum parvulum,mature,3
NBNORG0000072579,Lasioglossum pauperatum,mature,3
NBNORG0000072580,Lasioglossum pauxillum,mature,3
NBNORG0000072590,Lasioglossum prasinum,mature,3
NBNORG0000072581,Lasioglossum punctatissimum,mature,3
NBNORG0000072582,Lasioglossum puncticolle,mature,3
NBNORG0000072591,Lasioglossum quadrinotatum,mature,4
NBNORG0000072583,Lasioglossum rufitarse,mature,3
NBNORG0000072584,Lasioglossum semilucens,mature,3
NBNORG0000072592,Lasioglossum sexnotatum,mature,4
NBNORG0000106723,Lasioglossum sexstrigatum,mature,5
NBNORG0000072563,Lasioglossum smeathmanellum,mature,3
NBNORG0000072585,Lasioglossum villosulum,mature,3
NBNORG0000072593,Lasioglossum xanthopus,mature,3
NBNORG0000072594,Lasioglossum zonulum,mature,3
NBNORG0000072015,Lasius alienus,mature,4
NBNORG0000072597,Lasius brunneus,mature,3
NBNORG0000072598,Lasius emarginatus,mature,3
NBNORG0000072599,Lasius flavus,mature,3
NBNORG0000072600,Lasius fuliginosus,mature,3
NBNORG0000072601,Lasius meridionalis,mature,4
NBNORG0000072602,Lasius mixtus,mature,3
NBNORG0000106724,Lasius neglectus,mature,5
NBNORG0000072017,Lasius niger,mature,4
NBNORG0000042268,Lasius platythorax,mature,4
NBNORG0000042269,Lasius psammophilus,mature,4
NBNORG0000042270,Lasius sabularum,mature,5
NBNORG0000072603,Lasius umbratus,mature,4
NBNORG0000072605,Leptothorax acervorum,mature,3
NBNORG0000072610,Lestiphorus bicinctus,mature,3
NBNORG0000072612,Lindenius albilabris,mature,3
NBNORG0000072613,Lindenius panzeri,mature,3
NBNORG0000072614,Lindenius pygmaeus,mature,5
NBNORG0000042320,Linepithema humile,mature,4
NBNORG0000106726,Linepithema iniquum,mature,4
NBNORG0000072618,Lonchodryinus ruficornis,mature,4
NBNORG0000072620,Macropis europaea,mature,1
NBNORG0000072629,Megachile centuncularis,mature,3
NBNORG0000072635,Megachile circumcincta,mature,3
NBNORG0000072287,Megachile ericetorum,mature,5
NBNORG0000072630,Megachile lapponica,mature,5
NBNORG0000072627,Megachile leachella,mature,2
NBNORG0000072631,Megachile ligniseca,mature,3
NBNORG0000072636,Megachile maritima,mature,3
NBNORG0000072632,Megachile versicolor,mature,3
NBNORG0000072623,Megachile willughbiella,mature,3
NBNORG0000072638,Melecta albifrons,mature,3
NBNORG0000072639,Melecta luctuosa,mature,5
NBNORG0000072641,Melitta dimidiata,mature,3
NBNORG0000072642,Melitta haemorrhoidalis,mature,3
NBNORG0000072643,Melitta leporina,mature,3
NBNORG0000072644,Melitta tricincta,mature,3
NBNORG0000072647,Mellinus arvensis,mature,1
NBNORG0000072648,Mellinus crabroneus,mature,5
NBNORG0000072650,Methocha articulata,mature,3
NBNORG0000072653,Microdynerus exilis,mature,2
NBNORG0000072655,Mimesa bicolor,mature,5
NBNORG0000072656,Mimesa bruxellensis,mature,3
NBNORG0000042535,Mimesa equestris,mature,3
NBNORG0000072657,Mimesa lutaria,mature,3
NBNORG0000072659,Mimumesa atratina,mature,3
NBNORG0000042539,Mimumesa dahlbomi,mature,3
NBNORG0000072660,Mimumesa littoralis,mature,3
NBNORG0000042540,Mimumesa spooneri,mature,3
NBNORG0000072661,Mimumesa unicolor,mature,3
NBNORG0000072663,Miscophus ater,mature,3
NBNORG0000072664,Miscophus bicolor,mature,3
NBNORG0000011297,Miscophus concolor,mature,3
NBNORG0000042553,Monomorium floricola,mature,4
NBNORG0000072666,Monomorium pharaonis,mature,4
NBNORG0000072668,Monosapyga clavicornis,mature,3
NBNORG0000072670,Mutilla europaea,mature,1
NBNORG0000072673,Myrmecina graminicola,mature,3
NBNORG0000072675,Myrmica hirsuta,mature,4
NBNORG0000072676,Myrmica karavajevi,mature,4
NBNORG0000072677,Myrmica lobicornis,mature,4
NBNORG0000099217,Myrmica lonae,mature,5
NBNORG0000072678,Myrmica ruginodis,mature,3
NBNORG0000072679,Myrmica sabuleti,mature,4
NBNORG0000072680,Myrmica scabrinodis,mature,4
NBNORG0000072681,Myrmica schencki,mature,4
NBNORG0000072682,Myrmica specioides,mature,4
NBNORG0000072683,Myrmica sulcinodis,mature,3
NBNORG0000072684,Myrmica vandeli,mature,5
NBNORG0000072687,Myrmosa atra,mature,3
NBNORG0000072692,Mystrophorus formicaeformis,mature,5
NBNORG0000072694,Nitela borealis,mature,3
NBNORG0000072695,Nitela lucens,mature,3
NBNORG0000072697,Nomada argentata,mature,3
NBNORG0000072698,Nomada armata,mature,3
NBNORG0000072699,Nomada baccata,mature,3
NBNORG0000072700,Nomada conjungens,mature,3
NBNORG0000072701,Nomada errans,mature,5
NBNORG0000072702,Nomada fabriciana,mature,2
NBNORG0000072703,Nomada ferruginata,mature,3
NBNORG0000072704,Nomada flava,mature,3
NBNORG0000072705,Nomada flavoguttata,mature,3
NBNORG0000072706,Nomada flavopicta,mature,3
NBNORG0000072707,Nomada fucata,mature,1
NBNORG0000072708,Nomada fulvicornis,mature,3
NBNORG0000026969,Nomada goodeniana,mature,3
NBNORG0000072711,Nomada guttulata,mature,4
NBNORG0000072712,Nomada hirtipes,mature,3
NBNORG0000072713,Nomada integra,mature,3
NBNORG0000072714,Nomada lathburiana,mature,3
NBNORG0000072715,Nomada leucophthalma,mature,3
NBNORG0000072716,Nomada marshamella,mature,3
NBNORG0000072717,Nomada obtusifrons,mature,3
