tvk,code,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000875554,1,allow,NHMSYS0000875554,NBNORG0000072259,Bombus distinguendus
NHMSYS0000875592,1,allow,NHMSYS0000875592,NBNORG0000072260,Bombus subterraneus
NHMSYS0000875631,2,allow,NHMSYS0000875631,NBNORG0000072276,Cerceris quadricincta
NHMSYS0000875632,2,,NHMSYS0000875632,NBNORG0000072277,Cerceris quinquefasciata
NHMSYS0000875635,1,allow,NHMSYS0000875635,NBNORG0000072280,Cerceris sabulosa
NHMSYS0000875637,1,allow,NHMSYS0000875637,NBNORG0000072282,Ceropales maculata
NHMSYS0000875638,1,allow,NHMSYS0000875638,NBNORG0000072283,Ceropales variegata
NBNSYS0000173000,1,allow,NBNSYS0000173000,NBNORG0000072287,Megachile ericetorum
NHMSYS0000875658,1,,NHMSYS0000875658,NBNORG0000072295,Chrysis fulgida
NHMSYS0000875659,1,allow,NHMSYS0000875659,NBNORG0000072296,Chrysis gracillima
NHMSYS0000875662,1,allow,NHMSYS0000875662,NBNORG0000072298,Chrysis illigeri
NHMSYS0000875664,1,allow,NHMSYS0000875664,NBNORG0000072300,Chrysis longula
NHMSYS0000875667,1,allow,NHMSYS0000875667,NBNORG0000072302,Chrysis pseudobrevitarsis
NHMSYS0000875668,1,allow,NHMSYS0000875668,NBNORG0000072303,Chrysis ruddii
NHMSYS0000875670,1,allow,NHMSYS0000875670,NBNORG0000072305,Chrysis schencki
NHMSYS0000875676,1,allow,NHMSYS0000875676,NBNORG0000072308,Chrysura hirsuta
NHMSYS0000875679,1,allow,NHMSYS0000875679,NBNORG0000072309,Chrysura radians
NHMSYS0000875681,1,allow,NHMSYS0000875681,NBNORG0000072311,Cleptes nitidulus
NHMSYS0000875683,1,allow,NHMSYS0000875683,NBNORG0000072312,Cleptes semiauratus
NHMSYS0000875697,1,allow,NHMSYS0000875697,NBNORG0000072316,Coelioxys afra
NHMSYS0000875701,1,allow,NHMSYS0000875701,NBNORG0000072321,Coelioxys inermis
NHMSYS0000875702,1,allow,NHMSYS0000875702,NBNORG0000072322,Coelioxys mandibularis
NHMSYS0000875703,1,allow,NHMSYS0000875703,NBNORG0000072323,Coelioxys quadridentata
NHMSYS0000875704,1,allow,NHMSYS0000875704,NBNORG0000072324,Coelioxys rufescens
NHMSYS0000875724,1,allow,NHMSYS0000875724,NBNORG0000072329,Colletes floralis
NHMSYS0000875726,1,allow,NHMSYS0000875726,NBNORG0000072331,Colletes halophilus
NHMSYS0000875727,1,allow,NHMSYS0000875727,NBNORG0000072333,Colletes marginatus
NHMSYS0000875722,2,allow,NHMSYS0000875722,NBNORG0000072337,Colletes cunicularius
NHMSYS0000875735,1,allow,NHMSYS0000875735,NBNORG0000072342,Crabro scutellatus
NHMSYS0000875782,1,allow,NHMSYS0000875782,NBNORG0000072349,Crossocerus congener
NHMSYS0000875806,1,allow,NHMSYS0000875806,NBNORG0000072352,Crossocerus vagabundus
NHMSYS0000875791,1,allow,NHMSYS0000875791,NBNORG0000072357,Crossocerus leucostomus
NHMSYS0000875804,1,allow,NHMSYS0000875804,NBNORG0000072360,Crossocerus styrius
