tvk,start_day,start_month,end_day,end_month,stage,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000875217,1,3,31,8,mature,allow,NHMSYS0000875217,NBNORG0000072050,Andrena helvola
NHMSYS0000875224,1,3,31,8,mature,allow,NHMSYS0000875224,NBNORG0000072051,Andrena lapponica
NHMSYS0000875257,1,3,31,7,mature,allow,NHMSYS0000875257,NBNORG0000072052,Andrena praecox
NHMSYS0000875280,1,3,30,9,mature,allow,NHMSYS0000875280,NBNORG0000072053,Andrena synadelpha
NHMSYS0000875287,1,3,31,7,mature,allow,NHMSYS0000875287,NBNORG0000072054,Andrena varians
NHMSYS0000875216,1,6,30,9,mature,allow,NHMSYS0000875216,NBNORG0000072056,Andrena hattorfiana
NHMSYS0000875218,1,4,31,8,mature,allow,NHMSYS0000875218,NBNORG0000072058,Andrena humilis
NHMSYS0000875208,1,4,31,12,mature,allow,NHMSYS0000875208,NBNORG0000072060,Andrena fulvago
NHMSYS0000875192,1,6,30,9,mature,allow,NHMSYS0000875192,NBNORG0000072062,Andrena denticulata
NHMSYS0000875212,1,4,30,11,mature,allow,NHMSYS0000875212,NBNORG0000072063,Andrena fuscipes
NHMSYS0000875241,1,6,31,8,mature,allow,NHMSYS0000875241,NBNORG0000072064,Andrena nigriceps
NHMSYS0000875274,1,6,30,9,mature,allow,NHMSYS0000875274,NBNORG0000072065,Andrena simillima
NHMSYS0000875284,1,7,31,8,mature,allow,NHMSYS0000875284,NBNORG0000072066,Andrena tridentata
NHMSYS0000875171,1,2,30,9,mature,allow,NHMSYS0000875171,NBNORG0000072068,Andrena bicolor
NHMSYS0000875264,1,3,30,6,mature,allow,NHMSYS0000875264,NBNORG0000072069,Andrena ruficrus
NHMSYS0000875221,1,3,31,8,mature,allow,NHMSYS0000875221,NBNORG0000072071,Andrena labialis
NHMSYS0000875173,1,3,30,6,mature,allow,NHMSYS0000875173,NBNORG0000072073,Andrena bucephala
NHMSYS0000875201,1,4,30,6,mature,,NHMSYS0000875201,NBNORG0000072074,Andrena ferox
NHMSYS0000875262,1,4,31,8,mature,allow,NHMSYS0000875262,NBNORG0000072075,Andrena rosae
NHMSYS0020936534,1,2,30,11,mature,allow,NHMSYS0000875268,NBNORG0000072076,Andrena scotica
