code,organism_key,taxon
6,NBNORG0000006865,Brachypodium pinnatum s.l.
6,NBNORG0000006881,Nothofagus obliqua x alpina = N. x dodecaphleps
3,NBNORG0000007057,Lycopodiella inundata
3,NBNORG0000007058,Lycopodium annotinum
2,NBNORG0000007059,Lycopodium clavatum
2,NBNORG0000007060,Diphasiastrum alpinum
2,NBNORG0000007061,Isoetes lacustris
3,NBNORG0000007062,Isoetes echinospora
3,NBNORG0000007063,Isoetes histrix
3,NBNORG0000007064,Equisetum hyemale
3,NBNORG0000007065,Equisetum ramosissimum
2,NBNORG0000007066,Equisetum fluviatile
2,NBNORG0000007067,Equisetum palustre
2,NBNORG0000007068,Equisetum sylvaticum
3,NBNORG0000007069,Equisetum pratense
1,NBNORG0000007070,Equisetum arvense
2,NBNORG0000007071,Equisetum telmateia
2,NBNORG0000007072,Osmunda regalis
4,NBNORG0000007073,Trichomanes speciosum
3,NBNORG0000007074,Hymenophyllum wilsonii
1,NBNORG0000007075,Pteridium aquilinum
3,NBNORG0000007076,Anogramma leptophylla
2,NBNORG0000007077,Adiantum capillus-veneris
4,NBNORG0000007078,Onoclea sensibilis
2,NBNORG0000007079,Blechnum spicant
6,NBNORG0000007080,Phyllitis scolopendrium
2,NBNORG0000007082,Asplenium adiantum-nigrum
3,NBNORG0000007083,Asplenium onopteris
3,NBNORG0000007084,Asplenium obovatum
6,NBNORG0000007085,Asplenium fontanum
2,NBNORG0000007086,Asplenium marinum
2,NBNORG0000007087,Asplenium trichomanes
2,NBNORG0000007088,Asplenium ruta-muraria
3,NBNORG0000007089,Asplenium septentrionale
2,NBNORG0000007090,Athyrium filix-femina
3,NBNORG0000007091,Athyrium distentifolium
6,NBNORG0000007092,Athyrium flexile
2,NBNORG0000007093,Cystopteris fragilis
3,NBNORG0000007094,Cystopteris montana
3,NBNORG0000007095,Woodsia alpina
2,NBNORG0000007097,Dryopteris oreades
3,NBNORG0000007098,Dryopteris aemula
2,NBNORG0000007099,Polystichum aculeatum
3,NBNORG0000007100,Polystichum lonchitis
3,NBNORG0000007101,Thelypteris palustris
2,NBNORG0000007102,Gymnocarpium dryopteris
2,NBNORG0000007103,Gymnocarpium robertianum
3,NBNORG0000007104,Polypodium cambricum
2,NBNORG0000007105,Polypodium vulgare
2,NBNORG0000007106,Polypodium interjectum
3,NBNORG0000007107,Pilularia globulifera
2,NBNORG0000007108,Azolla filiculoides
2,NBNORG0000007109,Botrychium lunaria
2,NBNORG0000007111,Ophioglossum vulgatum
3,NBNORG0000007112,Ophioglossum lusitanicum
2,NBNORG0000007113,Baldellia ranunculoides
3,NBNORG0000007114,Luronium natans
2,NBNORG0000007115,Alisma plantago-aquatica
2,NBNORG0000007116,Alisma lanceolatum
3,NBNORG0000007117,Alisma gramineum
2,NBNORG0000007118,Sagittaria sagittifolia
3,NBNORG0000007119,Sagittaria latifolia
4,NBNORG0000007120,Sagittaria rigida
2,NBNORG0000007121,Butomus umbellatus
2,NBNORG0000007122,Hydrocharis morsus-ranae
2,NBNORG0000007123,Stratiotes aloides
3,NBNORG0000007124,Vallisneria spiralis
3,NBNORG0000007125,Scheuchzeria palustris
2,NBNORG0000007126,Triglochin palustre
6,NBNORG0000007127,Triglochin maritimum
2,NBNORG0000007128,Zostera (Zostera) marina
2,NBNORG0000007129,Potamogeton natans
3,NBNORG0000007130,Potamogeton coloratus
2,NBNORG0000007131,Potamogeton lucens
3,NBNORG0000007132,Potamogeton gramineus
3,NBNORG0000007133,Potamogeton praelongus
2,NBNORG0000007134,Potamogeton perfoliatus
4,NBNORG0000007135,Potamogeton epihydrus
3,NBNORG0000007136,Potamogeton friesii
3,NBNORG0000007137,Potamogeton rutilus
3,NBNORG0000007138,Potamogeton pusillus
3,NBNORG0000007139,Potamogeton berchtoldii
3,NBNORG0000007140,Potamogeton compressus
3,NBNORG0000007141,Potamogeton acutifolius
2,NBNORG0000007142,Potamogeton crispus
3,NBNORG0000007143,Potamogeton filiformis
2,NBNORG0000007144,Potamogeton pectinatus
2,NBNORG0000007145,Groenlandia densa
3,NBNORG0000007146,Ruppia cirrhosa
3,NBNORG0000007147,Ruppia maritima
2,NBNORG0000007148,Zannichellia palustris
3,NBNORG0000007149,Najas marina
2,NBNORG0000007150,Eriocaulon aquaticum
6,NBNORG0000007151,Simethis planifolia
3,NBNORG0000007152,Hemerocallis fulva
3,NBNORG0000007153,Hemerocallis lilioasphodelus
2,NBNORG0000007154,Convallaria majalis
3,NBNORG0000007155,Polygonatum verticillatum
3,NBNORG0000007156,Polygonatum multiflorum
6,NBNORG0000007157,Asparagus officinalis
2,NBNORG0000007158,Ruscus aculeatus
2,NBNORG0000007159,Lilium martagon
3,NBNORG0000007160,Lilium pyrenaicum
2,NBNORG0000007161,Fritillaria meleagris
2,NBNORG0000007162,Tulipa sylvestris
6,NBNORG0000007163,Ornithogalum angustifolium
2,NBNORG0000007164,Ornithogalum nutans
2,NBNORG0000007165,Ornithogalum pyrenaicum
3,NBNORG0000007166,Scilla autumnalis
2,NBNORG0000007167,Scilla siberica
1,NBNORG0000007168,Hyacinthoides non-scripta
2,NBNORG0000007169,Muscari neglectum
2,NBNORG0000007170,Colchicum autumnale
2,NBNORG0000007171,Paris quadrifolia
2,NBNORG0000007172,Allium scorodoprasum
3,NBNORG0000007173,Allium sphaerocephalon
2,NBNORG0000007174,Allium vineale
2,NBNORG0000007175,Allium oleraceum
2,NBNORG0000007176,Allium carinatum
2,NBNORG0000007177,Allium schoenoprasum
2,NBNORG0000007178,Allium roseum
2,NBNORG0000007179,Allium triquetrum
2,NBNORG0000007180,Allium ursinum
3,NBNORG0000007181,Nothoscordum borbonicum
3,NBNORG0000007182,Pontederia cordata
2,NBNORG0000007183,Juncus squarrosus
2,NBNORG0000007184,Juncus tenuis
2,NBNORG0000007185,Juncus compressus
2,NBNORG0000007186,Juncus gerardii
2,NBNORG0000007187,Juncus trifidus
3,NBNORG0000007188,Juncus ambiguus
3,NBNORG0000007189,Juncus foliosus
2,NBNORG0000007190,Juncus inflexus
2,NBNORG0000007191,Juncus effusus
2,NBNORG0000007192,Juncus conglomeratus
3,NBNORG0000007193,Juncus filiformis
3,NBNORG0000007194,Juncus balticus
2,NBNORG0000007195,Juncus maritimus
2,NBNORG0000007196,Juncus acutus
3,NBNORG0000007197,Juncus capitatus
2,NBNORG0000007198,Juncus subnodulosus
3,NBNORG0000007199,Juncus acutiflorus
2,NBNORG0000007200,Juncus articulatus
3,NBNORG0000007201,Juncus alpinoarticulatus
2,NBNORG0000007202,Juncus bulbosus
3,NBNORG0000007202,Juncus bulbosus
3,NBNORG0000007203,Juncus biglumis
3,NBNORG0000007204,Juncus triglumis
2,NBNORG0000007205,Luzula pilosa
6,NBNORG0000007206,Luzula nivea
2,NBNORG0000007207,Luzula spicata
3,NBNORG0000007208,Luzula arcuata
2,NBNORG0000007209,Luzula campestris
2,NBNORG0000007210,Luzula multiflora
6,NBNORG0000007211,Luzula pallescens
2,NBNORG0000007212,Allium cepa
2,NBNORG0000007213,Allium porrum
3,NBNORG0000007214,Leucojum vernum
2,NBNORG0000007215,Leucojum aestivum
1,NBNORG0000007216,Galanthus nivalis
6,NBNORG0000007217,Narcissus pseudonarcissus subsp. pseudonarcissus
6,NBNORG0000007218,Narcissus pseudonarcissus subsp. major
6,NBNORG0000007219,Narcissus poeticus subsp. poeticus
3,NBNORG0000007220,Sisyrinchium bermudiana
3,NBNORG0000007222,Iris spuria
3,NBNORG0000007223,Iris versicolor
2,NBNORG0000007224,Iris foetidissima
2,NBNORG0000007225,Iris pseudacorus
2,NBNORG0000007226,Iris germanica
2,NBNORG0000007227,Crocus vernus
6,NBNORG0000007228,Crocus sativus
6,NBNORG0000007229,Crocus flavus
3,NBNORG0000007230,Romulea columnae
3,NBNORG0000007231,Gladiolus communis
3,NBNORG0000007232,Cypripedium calceolus
