"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NHMSYS0001593547","01","01","1935",,,
"NBNSYS0000180030","30","09","1979","31","01","1982"
"NBNSYS0000179885","01","01","1957","31","01","1957"
