organism_key,taxon,code
NBNORG0000075943,Abrothallus bertianus,2
NBNORG0000075944,Abrothallus caerulescens,2
NBNORG0000000005,Abrothallus cetrariae,2
NBNORG0000075945,Abrothallus cladoniae,2
NBNORG0000013975,Abrothallus microspermus,2
NBNORG0000075781,Abrothallus prodiens,2
NBNORG0000075947,Abrothallus usneae,2
NBNORG0000000006,Abrothallus welwitschii,2
NBNORG0000075949,Absconditella annexa,4
NBNORG0000075950,Absconditella celata,4
NBNORG0000075951,Absconditella delutula,3
NBNORG0000075952,Absconditella lignicola,4
NBNORG0000075953,Absconditella pauxilla,4
NBNORG0000075954,Absconditella sphagnorum,4
NBNORG0000075955,Absconditella trivialis,4
NBNORG0000075965,Acarospora admissa,5
NBNORG0000000023,Acarospora anomala,5
NBNORG0000015208,Acarospora badiofusca,4
NBNORG0000075968,Acarospora cervina,2
NBNORG0000015209,Acarospora glaucocarpa,2
NBNORG0000015211,Acarospora impressula,2
NBNORG0000075969,Acarospora macrospora subsp. macrospora,4
NBNORG0000000026,Acarospora macrospora subsp. murorum,5
NBNORG0000000513,Acarospora moenium,2
NBNORG0000015213,Acarospora muddii,3
NBNORG0000123293,Acarospora privigna,3
NBNORG0000075972,Acarospora sinopica,2
NBNORG0000015215,Acarospora subrufula,4
NBNORG0000075974,Acarospora veronensis,4
NBNORG0000013808,Acolium inquinans,1
NBNORG0000013809,Acolium marcianum,4
NBNORG0000013811,Acolium sessile,2
NBNORG0000075993,Acremonium lichenicola,5
NBNORG0000075995,Acremonium rhabdosporum,5
NBNORG0000016143,Acrocordia cavata,4
NBNORG0000076002,Acrocordia conoidea,2
NBNORG0000076003,Acrocordia gemmata,2
NBNORG0000016144,Acrocordia macrospora,3
NBNORG0000016145,Acrocordia salweyi,2
NBNORG0000016343,Adelococcus alpestris,4
NBNORG0000076016,Adelococcus interlatens,4
NBNORG0000015509,Adelolecia pilati,3
NBNORG0000016562,Agonimia allobata,4
NBNORG0000108493,Agonimia flabelliformis,4
NBNORG0000000149,Agonimia gelatinosa,4
NBNORG0000076212,Agonimia globulifera,4
NBNORG0000016549,Agonimia octospora,4
NBNORG0000091161,Agonimia opuntiella,4
NBNORG0000000150,Agonimia repleta,4
NBNORG0000016550,Agonimia tristicula,1
NBNORG0000015217,Agyrium rufum,1
NBNORG0000076231,Ainoa mooreana,3
NBNORG0000015218,Alectoria nigricans,1
NBNORG0000076249,Alectoria sarmentosa subsp. sarmentosa,2
NBNORG0000015221,Alectoria sarmentosa subsp. vexillifera,2
NBNORG0000015222,Allantoparmelia alpicola,2
NBNORG0000015769,Alyxoria culmigena,3
NBNORG0000082056,Alyxoria mougeotii,3
NBNORG0000015772,Alyxoria ochrocheila,3
NBNORG0000015773,Alyxoria paraxanthodes,4
NBNORG0000015779,Alyxoria subelevata,4
NBNORG0000015770,Alyxoria varia,3
NBNORG0000024937,Alyxoria xerica,3
