"tvk","value_code","taxon"
"NHMSYS0000080176","3","Rhinolophus ferrumequinum"
"NHMSYS0000080177","3","Rhinolophus hipposideros"
"NHMSYS0000080183","5","Myotis mystacinus"
"NHMSYS0000528026","5","Myotis brandtii"
"NHMSYS0000080184","4","Myotis nattereri"
"NHMSYS0000528024","4","Myotis bechsteinii"
"NHMSYS0000080182","4","Myotis myotis"
"NHMSYS0000528028","4","Myotis daubentonii"
"NHMSYS0020636762","5","Myotis alcathoe"
"NHMSYS0000528008","4","Eptesicus serotinus"
"NHMSYS0000080186","3","Nyctalus noctula"
"NHMSYS0000080185","4","Nyctalus leisleri"
"NHMSYS0020001355","3","Pipistrellus pipistrellus sensu stricto"
"NBNSYS0100004720","3","Pipistrellus pygmaeus"
"NHMSYS0000080187","3","Pipistrellus nathusii"
"NHMSYS0000080178","3","Barbastella barbastellus"
"NBNSYS0000005102","5","Plecotus auritus"
"NBNSYS0000005103","5","Plecotus austriacus"
"NHMSYS0000528029","5","Myotis lucifugus"
"NHMSYS0000528006","5","Eptesicus fuscus"
"NHMSYS0000528007","5","Eptesicus nilssonii"
"NHMSYS0020774291","5","Lasiurus (Lasiurus) cinereus"
"NBNSYS0000005095","5","Vespertilio murinus"
"NHMSYS0000377112","5","Pipistrellus kuhlii"
"NHMSYS0020774288","5","Hypsugo savii"
"NBNSYS0000137324","1","Rhinolophus"
"NBNSYS0000136578","1","Pipistrellus"
"NBNSYS0000136687","3","Plecotus"
"NBNSYS0000040730","3","Myotis"
