"tvk","start_day","start_month","end_day","end_month"
"NHMSYS0000504676","01","05","30","06"
"NHMSYS0000504665","01","04","31","05"
"NHMSYS0020973895","01","06","30","09"
"NBNSYS0100005809","01","06","31","07"
"NHMSYS0000504468","01","05","30","09"
"NHMSYS0000504466","01","05","31","07"
"NHMSYS0000504465","01","06","31","08"
"NHMSYS0000504464","01","06","31","08"
"NHMSYS0000504463","01","05","31","07"
"NHMSYS0000504462","01","06","31","07"
"NHMSYS0000504435","01","06","30","09"
"NHMSYS0000504434","01","06","31","08"
"NHMSYS0000504433","01","06","31","07"
"NHMSYS0000504432","01","06","31","08"
"NHMSYS0000504431","01","02","30","06"
"NHMSYS0000504430","01","06","31","07"
"NHMSYS0000504429","01","06","31","07"
"NHMSYS0000504428","01","07","31","07"
"NHMSYS0001703664","01","06","30","06"
"NHMSYS0000504307","01","08","30","09"
"NHMSYS0000504255","01","06","31","08"
"NHMSYS0000504158","01","06","30","09"
"NHMSYS0000504156","01","06","31","07"
"NHMSYS0000504154","01","06","31","08"
"NHMSYS0000504153","01","06","31","07"
"NHMSYS0000521368","01","06","30","09"
"NHMSYS0000504149","01","06","30","09"
"NBNSYS0000005366","01","06","30","06"
"NHMSYS0000504148","01","05","30","09"
"NHMSYS0000504147","01","05","31","08"
"NHMSYS0000504146","01","06","31","08"
"NHMSYS0000504145","01","05","30","06"
"NHMSYS0000504143","01","06","31","08"
"NHMSYS0000504142","01","03","30","11"
"NHMSYS0000504141","01","04","30","06"
"NHMSYS0000504140","01","04","30","09"
"NHMSYS0000504139","01","06","31","08"
"NHMSYS0000504138","01","04","30","09"
"NHMSYS0000504027","01","07","31","08"
"NHMSYS0000504026","01","06","31","08"
"NHMSYS0000503982","01","06","30","09"
"NHMSYS0000503958","01","07","30","09"
"NHMSYS0000503954","01","05","30","06"
"NBNSYS0100004937","01","05","31","07"
"NHMSYS0000503930","01","06","31","07"
"NHMSYS0000503929","01","06","31","07"
"NBNSYS0000026301","01","05","30","06"
"NBNSYS0000005367","01","05","30","06"
"NHMSYS0000503848","01","08","31","07"
"NBNSYS0100004596","01","06","30","09"
"NHMSYS0000503699","01","06","31","08"
"NHMSYS0000503592","01","06","31","08"
"NHMSYS0000503405","01","06","30","09"
"NHMSYS0000503404","01","05","31","10"
"NHMSYS0000503367","01","06","31","08"
"NHMSYS0000503366","01","07","31","08"
"NHMSYS0000503364","01","04","31","08"
"NHMSYS0000503283","01","06","31","07"
"NHMSYS0000503282","01","06","31","07"
"NHMSYS0000503281","01","05","31","08"
"NHMSYS0000503279","01","06","30","09"
"NHMSYS0000503278","01","06","31","07"
"NBNSYS0000005341","01","05","31","07"
"NHMSYS0000503276","01","06","31","08"
"NHMSYS0000503275","01","06","31","08"
"NHMSYS0000503274","01","06","31","08"
"NHMSYS0000503273","01","06","31","08"
"NHMSYS0000503272","01","06","31","08"
"NBNSYS0000026233","01","07","31","08"
"NHMSYS0000503271","01","06","31","08"
"NHMSYS0000503270","01","06","31","08"
"NHMSYS0000503247","01","07","30","09"
"NHMSYS0000503246","01","07","31","08"
"NHMSYS0000503226","01","07","31","08"
"NHMSYS0000503225","01","06","31","07"
"NBNSYS0000026227","01","05","30","06"
"NHMSYS0000503224","01","06","31","08"
"NHMSYS0000503222","01","06","31","07"
"NHMSYS0000503221","01","06","31","08"
"NHMSYS0000503210","01","06","31","07"
"NHMSYS0000502959","01","07","31","08"
"NHMSYS0000502903","01","07","30","09"
"NBNSYS0100003380","01","06","30","09"
"NBNSYS0100003379","01","07","31","08"
"NHMSYS0000502746","01","06","30","06"
"NHMSYS0000502714","01","06","31","08"
"NHMSYS0000502713","01","06","31","08"
"NHMSYS0000502712","01","07","31","08"
"NHMSYS0000502710","01","06","31","08"
"NBNSYS0100003245","01","08","31","08"
"NHMSYS0000502709","01","07","31","08"
"NHMSYS0000502708","01","06","31","08"
"NHMSYS0000502707","01","06","31","08"
"NHMSYS0000502706","01","08","30","09"
"NHMSYS0000502705","01","07","30","09"
"NHMSYS0000502677","01","06","31","08"
"NHMSYS0000502577","01","06","31","08"
"NHMSYS0000502576","01","05","31","07"
"NHMSYS0000502573","01","05","30","09"
"NHMSYS0000502572","01","07","31","08"
"NHMSYS0000502155","01","05","30","06"
"NHMSYS0000502154","01","06","31","08"
"NHMSYS0000502153","01","06","31","07"
"NHMSYS0000502151","01","05","30","06"
"NBNSYS0100002796","01","07","31","08"
"NBNSYS0100002536","01","07","31","07"
"NHMSYS0000501782","01","05","31","10"
"NHMSYS0000501780","01","05","31","10"
"NHMSYS0000501754","01","07","31","08"
"NHMSYS0000501753","01","07","31","08"
"NHMSYS0000501659","01","07","31","08"
"NHMSYS0000501658","01","06","30","09"
"NHMSYS0000501657","01","07","30","09"
"NHMSYS0000501655","01","07","31","08"
"NHMSYS0000501654","01","06","30","09"
"NHMSYS0000501653","01","07","31","08"
"NHMSYS0000501651","01","08","31","05"
"NHMSYS0000501650","01","07","31","08"
"NHMSYS0000501649","01","07","31","08"
"NHMSYS0000501648","01","07","31","08"
"NBNSYS0100002206","01","08","31","08"
"NHMSYS0000501647","01","07","30","09"
"NHMSYS0000501646","01","06","31","08"
"NBNSYS0100002201","01","05","31","07"
"NBNSYS0100002200","01","05","31","07"
"NBNSYS0100002199","01","06","31","08"
"NBNSYS0100002198","01","07","30","04"
"NBNSYS0100002197","01","06","31","08"
"NHMSYS0000501560","01","05","31","08"
"NHMSYS0000501559","01","06","31","08"
"NHMSYS0000501558","01","06","31","08"
"NHMSYS0000501557","01","06","31","08"
"NHMSYS0000501555","01","06","31","07"
"NHMSYS0000501553","01","07","31","08"
"NHMSYS0000501551","01","06","31","08"
"NHMSYS0000501550","01","06","30","09"
"NHMSYS0000501549","01","05","31","08"
"NHMSYS0000501548","01","06","31","07"
"NHMSYS0000501547","01","05","31","08"
"NHMSYS0000501546","01","05","31","08"
"NHMSYS0000501524","01","06","31","07"
"NHMSYS0000501522","01","06","31","08"
"NHMSYS0000501425","01","05","31","07"
"NHMSYS0000501424","01","06","31","07"
"NHMSYS0000501423","01","06","31","08"
"NHMSYS0000501403","01","04","30","09"
"NHMSYS0000501401","01","06","31","07"
"NHMSYS0000501400","01","07","31","08"
"NHMSYS0000501399","01","05","31","08"
"NHMSYS0000501348","01","07","31","07"
"NHMSYS0000501164","01","05","30","09"
"NHMSYS0000501141","01","07","31","08"
"NHMSYS0000501235","01","06","31","08"
"NHMSYS0000501234","01","06","30","09"
"NHMSYS0000501227","01","06","31","08"
"NHMSYS0000501225","01","07","30","09"
"NHMSYS0000501224","01","07","30","09"
"NBNSYS0100001488","01","06","31","07"
"NBNSYS0100001410","01","07","31","08"
"NHMSYS0000500952","01","06","31","08"
