"tvk","start_day","start_month","end_day","end_month"
"NHMSYS0000504626","01","08","31","10"
"NBNSYS0100005950","01","02","30","11"
"NHMSYS0000504624","01","01","31","12"
"NHMSYS0000504515","01","06","30","09"
"NHMSYS0000504514","01","06","30","09"
"NHMSYS0000504513","01","05","31","10"
"NHMSYS0000504486","01","07","31","10"
"NHMSYS0021297309","01","05","30","09"
"NHMSYS0000504085","01","06","31","08"
"NHMSYS0000504084","01","06","31","07"
"NHMSYS0000522857","01","06","30","09"
"NHMSYS0000504013","01","04","31","08"
"NHMSYS0000503906","01","06","31","10"
"NHMSYS0000516660","01","04","31","10"
"NHMSYS0020825965","01","06","30","09"
"NHMSYS0021143616","01","04","30","09"
"NHMSYS0000503893","01","01","31","12"
"NBNSYS0000005539","01","05","31","08"
"NHMSYS0000503832","01","03","31","10"
"NHMSYS0000516630","01","03","31","10"
"NHMSYS0000503827","01","03","31","10"
"NHMSYS0000516485","01","06","31","08"
"NHMSYS0000523344","01","02","30","11"
"NBNSYS0000005514","01","05","31","08"
"NHMSYS0021143464","01","05","30","09"
"NHMSYS0000516575","01","01","31","12"
"NHMSYS0000516570","01","01","31","12"
"NHMSYS0000503191","01","05","30","09"
"NHMSYS0000503190","01","05","30","09"
"NHMSYS0000522017","01","06","31","08"
"NHMSYS0000521977","01","05","31","10"
"NHMSYS0000516465","01","03","30","11"
"NHMSYS0000516450","01","07","31","08"
"NBNSYS0100003750","01","06","31","10"
"NHMSYS0000516430","01","04","30","09"
"NHMSYS0020978559","01","04","30","09"
"NHMSYS0000503020","01","04","31","10"
"NHMSYS0000502994","01","01","31","12"
"NBNSYS0100003607","01","05","31","10"
"NHMSYS0000502952","01","05","30","09"
"NHMSYS0000520428","01","06","30","09"
"NHMSYS0000515916","01","07","31","08"
"NHMSYS0000502853","01","07","30","09"
"NHMSYS0000502800","01","04","31","07"
"NHMSYS0000516380","01","01","30","11"
"NHMSYS0021002801","01","06","30","09"
"NHMSYS0000516340","01","05","31","08"
"NHMSYS0000550499","01","04","31","08"
"NHMSYS0000519788","01","06","31","08"
"NHMSYS0000519783","01","07","30","09"
"NHMSYS0000502090","01","07","31","10"
"NHMSYS0000502047","01","06","31","07"
"NHMSYS0000502045","01","04","30","09"
"NHMSYS0020825929","01","07","30","09"
"NHMSYS0000501954","01","05","31","10"
"NHMSYS0000501953","01","03","30","11"
"NHMSYS0021143487","01","05","31","10"
"NHMSYS0000519078","01","06","31","08"
"NHMSYS0000519083","01","04","31","10"
"NHMSYS0000516260","01","03","31","10"
"NHMSYS0000501644","01","05","31","07"
"NHMSYS0000501598","01","03","31","07"
"NBNSYS0100002143","01","01","31","12"
"NHMSYS0021143547","01","05","30","09"
"NHMSYS0000501513","01","04","30","09"
"NHMSYS0000516231","01","05","30","09"
"NHMSYS0021143605","01","04","30","09"
"NHMSYS0000501356","01","06","30","09"
"NHMSYS0021143558","01","06","30","09"
"NHMSYS0000501166","01","04","30","09"
"NHMSYS0000501147","01","05","31","08"
"NHMSYS0000501120","01","06","31","08"
"NHMSYS0000501116","01","06","31","08"
"NHMSYS0000516186","01","03","31","07"
"NHMSYS0000501034","01","01","31","12"
"NHMSYS0021143568","01","01","31","12"
