"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNSYS0000005142","01","01","1990",,,
"NBNSYS0000005148","01","01","1945",,,
"NHMSYS0000080171","01","01","1940",,,
"NBNSYS0000005144","01","01","1800",,,
"NBNSYS0000005183","01","01","1952",,,
"NBNSYS0000040193","01","01","1920","31","12","1937"
"NHMSYS0000080204","01","01","1893",,,
"NHMSYS0020774297","01","01","1929",,,
"NHMSYS0000332764","01","01","1876",,,
"NHMSYS0000080215","01","01","1902",,,
"NHMSYS0000080217","01","01","1929","31","12","1989"
"NBNSYS0000005107","01","05","2009",,,
