"tvk","start_day","start_month","end_day","end_month"
"NBNSYS0000029885","01","02","31","10"
"NBNSYS0100005892","01","05","31","07"
"NBNSYS0000029883","01","05","31","10"
"NBNSYS0000029857","01","06","31","08"
"NBNSYS0000029859","01","06","31","07"
"NBNSYS0000029858","01","06","31","07"
"NBNSYS0000030012","01","05","30","09"
"NBNSYS0000030011","01","04","31","08"
"NBNSYS0000030009","01","05","30","09"
"NBNSYS0100005790","01","05","31","10"
"NBNSYS0000029879","01","05","30","09"
"NBNSYS0000029860","01","04","30","09"
"NBNSYS0000029849","01","05","30","09"
"NBNSYS0100005140","01","05","31","08"
"NBNSYS0000029926","01","06","30","09"
"NBNSYS0100005137","01","06","31","08"
"NBNSYS0000029922","01","05","31","07"
"NBNSYS0100005136","01","05","30","09"
"NBNSYS0000029971","01","04","31","08"
"NHMSYS0021007932","01","06","31","07"
"NBNSYS0000029968","01","06","31","08"
"NBNSYS0000029851","01","08","31","08"
"NBNSYS0000029943","01","06","31","08"
"NBNSYS0000029942","01","06","30","09"
"NBNSYS0100004360","01","04","31","10"
"NBNSYS0100004358","01","06","31","08"
"NBNSYS0100004357","01","05","31","08"
"NBNSYS0100004356","01","06","31","07"
"NBNSYS0100004355","01","06","31","07"
"NHMSYS0021007923","01","05","30","09"
"NBNSYS0000029920","01","05","31","08"
"NBNSYS0000029919","01","05","31","08"
"NBNSYS0000029918","01","05","30","09"
"NBNSYS0000029916","01","05","31","10"
"NBNSYS0000029915","01","04","31","10"
"NBNSYS0000029914","01","05","30","09"
"NBNSYS0000029912","01","04","31","10"
"NBNSYS0000029911","01","05","31","07"
"NHMSYS0021007905","01","05","30","09"
"NBNSYS0000029910","01","06","30","09"
"NBNSYS0000029909","01","04","31","08"
"NBNSYS0100004201","01","05","31","08"
"NBNSYS0100004200","01","05","31","07"
"NBNSYS0100004049","01","05","30","09"
"NBNSYS0100004007","01","06","31","08"
"NBNSYS0000029960","01","05","31","07"
"NBNSYS0000029958","01","05","31","08"
"NBNSYS0000029957","01","06","30","09"
"NBNSYS0000029956","01","05","31","08"
"NBNSYS0000029955","01","06","31","07"
"NBNSYS0000029954","01","06","31","07"
"NBNSYS0100004006","01","06","31","08"
"NHMSYS0021122907","01","06","31","07"
"NBNSYS0000029952","01","05","30","09"
"NBNSYS0100004005","01","07","31","08"
"NBNSYS0000029951","01","07","31","08"
"NBNSYS0000029948","01","06","30","09"
"NBNSYS0100004003","01","06","31","07"
"NBNSYS0000029946","01","07","31","08"
