"organism_key","taxon","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNORG0000042048","Gelechia sabinellus",28,8,1971,31,8,1978
"NBNORG0000057443","Anarsia lineatella",1,1,1957,,,
"NBNORG0000058250","Gelechia senticetella",6,8,1988,,,
"NBNORG0000058487","Metzneria neuropterella",1,1,1981,,,
"NBNORG0000058955","Scrobipalpa clintoni",1,1,1965,,,
