"organism_key","taxon","stage","code"
"NBNORG0000008900","Monochroa moyses","mature",5
"NBNORG0000008908","Scrobipalpa pauperella","mature",5
"NBNORG0000008909","Prolita sexpunctella","mature",3
"NBNORG0000018488","Metzneria littorella","mature",4
"NBNORG0000018489","Monochroa cytisella","mature",3
"NBNORG0000018490","Prolita solutella","mature",4
"NBNORG0000041027","Acompsia schmidtiellus","mature",3
"NBNORG0000041072","Altenia scriptella","mature",3
"NBNORG0000041375","Carpatolechia alburnella","mature",3
"NBNORG0000041376","Carpatolechia decorella","mature",3
"NBNORG0000041377","Carpatolechia fugitivella","mature",4
"NBNORG0000041378","Carpatolechia notatella","mature",4
"NBNORG0000041379","Carpatolechia proximella","mature",3
"NBNORG0000041381","Caryocolum blandelloides","mature",4
"NBNORG0000041598","Coleotechnites piceaella","mature",4
"NBNORG0000041773","Dichomeris alacella","mature",4
"NBNORG0000042048","Gelechia sabinellus","mature",4
"NBNORG0000042123","Helcystogramma lutatella","mature",4
"NBNORG0000042124","Helcystogramma rufescens","mature",2
"NBNORG0000042874","Phthorimaea operculella","mature",4
"NBNORG0000043075","Pseudotelphusa paripunctella","mature",3
"NBNORG0000043476","Thiotricha subocellea","mature",2
"NBNORG0000057268","Acompsia cinerella","mature",2
"NBNORG0000057390","Apodia bifractella","mature",2
"NBNORG0000057403","Aproaerema anthyllidella","mature",3
"NBNORG0000057436","Anacampsis blattariella","mature",4
"NBNORG0000057437","Anacampsis populella","mature",4
"NBNORG0000057439","Anacampsis temerella","mature",3
"NBNORG0000057443","Anarsia lineatella","mature",3
"NBNORG0000057444","Anarsia spartiella","mature",3
"NBNORG0000057503","Argolamprotes micella","mature",2
"NBNORG0000057537","Aristotelia brizella","mature",2
"NBNORG0000057538","Aristotelia ericinella","mature",2
"NBNORG0000057539","Aristotelia subdecurtella","mature",4
"NBNORG0000057540","Aroga velocella","mature",3
"NBNORG0000057548","Athrips mouffetella","mature",2
