"tvk","start_day","start_month","end_day","end_month"
"NHMSYS0020705973","01","05","31","10"
"NHMSYS0020705959","01","06","31","10"
"NHMSYS0020705968","01","05","30","09"
"NHMSYS0020442475","01","06","30","09"
"NHMSYS0020705181","01","06","31","10"
"NHMSYS0020705334","01","05","31","08"
"NHMSYS0020705960","01","06","30","09"
"NHMSYS0020705957","01","05","31","10"
"NHMSYS0020442473","01","05","31","07"
"NHMSYS0020705646","01","06","31","12"
"NHMSYS0020705645","01","06","30","11"
"NHMSYS0020705633","01","06","31","10"
"NHMSYS0020705932","01","05","31","08"
"NHMSYS0020705933","01","05","31","10"
"NHMSYS0020705926","01","04","31","07"
"NHMSYS0020745854","01","08","31","10"
"NHMSYS0020705924","01","04","30","09"
"NHMSYS0020442470","01","04","31","08"
"NHMSYS0020442469","01","04","31","08"
"NHMSYS0020705917","01","07","31","10"
"NHMSYS0020705916","01","07","31","10"
"NHMSYS0020705914","01","06","31","10"
"NHMSYS0020705913","01","04","31","08"
"NHMSYS0020705912","01","06","31","10"
"NHMSYS0020442467","01","05","31","08"
"NHMSYS0020705910","01","05","31","08"
"NHMSYS0020705904","01","07","31","10"
"NHMSYS0020442466","01","06","30","09"
"NHMSYS0020705901","01","04","31","08"
"NHMSYS0020705896","01","07","31","10"
"NHMSYS0020705894","01","07","30","09"
"NHMSYS0020705887","01","05","31","10"
"NHMSYS0020705885","01","06","30","09"
"NHMSYS0020442461","01","04","30","09"
"NHMSYS0020442460","01","04","31","08"
"NBNSYS0000010768","01","05","31","08"
"NHMSYS0020442459","01","05","31","08"
"NHMSYS0020705882","01","05","30","11"
"NHMSYS0020924687","01","05","31","12"
"NHMSYS0020705880","01","05","30","09"
"NHMSYS0020705879","01","05","30","11"
"NHMSYS0020705878","01","06","31","08"
"NHMSYS0020705876","01","06","31","10"
"NHMSYS0020705874","01","06","31","10"
"NHMSYS0020705791","01","05","31","10"
"NHMSYS0020705789","01","06","31","10"
"NHMSYS0020705772","01","06","31","08"
"NHMSYS0020705867","01","06","31","10"
