"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNSYS0000005644",,,,"31","12","1800"
"NBNSYS0000005650","01","01","1965",,,
"NHMSYS0000344190",,,,"31","12","1800"
"NBNSYS0000005648",,,,"31","12","1800"
"NBNSYS0000005649",,,,"31","12","1800"
"NBNSYS0000005651","01","01","1941",,,
"NBNSYS0000005618",,,,"31","12","1800"
"NHMSYS0021009106",,,,"31","12","1800"
"NHMSYS0000532481",,,,"31","12","1800"
"NBNSYS0000005642",,,,"31","12","1800"
"NBNSYS0000005636",,,,"31","12","1800"
"NBNSYS0000005640","01","01","1955",,,
"NHMSYS0000344182",,,,"31","12","1800"
"NBNSYS0000005638","01","01","1965",,,
"NBNSYS0000005637","01","01","1947",,,
"NHMSYS0000532531",,,,"31","12","1800"
"NHMSYS0020546892","01","01","1914",,,
"NBNSYS0000005612","01","01","2002",,,
"NHMSYS0021123700",,,,"31","12","1800"
"NHMSYS0000532361",,,,"31","12","1800"
"NBNSYS0000005620","01","01","1951",,,
"NHMSYS0000344177","01","01","1999",,,
"NHMSYS0021123706",,,,"31","12","1800"
"NBNSYS0000005643",,,,"31","12","1800"
"NBNSYS0000005621","01","01","1953",,,
"NBNSYS0000005604","01","01","1946",,,
"NBNSYS0000005605","01","01","1965",,,
"NBNSYS0000005603","01","01","1949",,,
"NBNSYS0000005609",,,,"31","12","1800"
"NBNSYS0000005607","01","01","1914",,,
"NBNSYS0000005608","01","01","1905","31","12","1957"
"NHMSYS0021009068","01","01","1979",,,
"NBNSYS0000005611","01","01","1965",,,
"NBNSYS0000005616","01","01","1965",,,
"NBNSYS0000005622","01","01","1901",,,
"NHMSYS0000344169","01","01","1996",,,
"NHMSYS0000344168",,,,"31","12","1800"
"NHMSYS0021009098","01","01","1903",,,
"NBNSYS0000005627","01","01","1939",,,
"NHMSYS0020546806","01","01","2010",,,
