"tvk","value_code","taxon"
"NBNSYS0000005070","1","Lacerta agilis"
"NHMSYS0000080153","2","Salamandra salamandra"
"NHMSYS0000080155","2","Triturus carnifex"
"NHMSYS0000080166","2","Xenopus laevis"
"NHMSYS0000080232","2","Natrix tessellata"
"NHMSYS0000332360","1","Coronella austriaca"
"NHMSYS0000375719","2","Podarcis sicula"
"NHMSYS0000376071","2","Triturus marmoratus"
"NHMSYS0020194823","2","Pelophylax lessonae"
"NHMSYS0020194825","1","Epidalea calamita"
"NHMSYS0020194859","2","Lithobates catesbeianus"
