"tvk","start_day","start_month","end_day","end_month"
"NHMSYS0000876788","01","03","30","09"
"NHMSYS0000876782","01","02","31","12"
"NHMSYS0000876780","01","04","30","09"
"NHMSYS0000876767","01","06","30","06"
"NHMSYS0000876766","01","05","31","10"
"NHMSYS0000873272","01","03","31","12"
"NHMSYS0000876765","01","05","31","10"
"NHMSYS0000876764","01","05","31","10"
"NHMSYS0000876762","01","02","31","10"
"NHMSYS0000876758","01","04","30","09"
"NHMSYS0000876757","01","05","30","09"
"NHMSYS0000876751","01","03","30","11"
"NHMSYS0000876750","01","05","31","12"
"NHMSYS0000876742","01","04","31","10"
"NHMSYS0020936618","01","04","31","10"
"NHMSYS0000873270","01","05","31","07"
"NHMSYS0000876735","01","04","31","10"
"NHMSYS0000876732","01","05","31","08"
"NHMSYS0000876725","01","05","30","09"
"NHMSYS0000876724","01","05","31","08"
"NHMSYS0000876723","01","05","31","08"
"NBNSYS0100005641","01","05","30","09"
"NHMSYS0000876720","01","07","30","09"
"NHMSYS0000876717","01","05","31","10"
"NHMSYS0000876716","01","04","31","10"
"NBNSYS0100005585","01","02","31","12"
"NHMSYS0000876713","01","06","30","09"
"NHMSYS0000876712","01","05","30","09"
"NHMSYS0000876711","01","05","31","08"
"NHMSYS0000876709","01","06","30","09"
"NHMSYS0000876705","01","05","31","10"
"NHMSYS0000876704","01","05","30","09"
"NBNSYS0100005571","01","06","31","10"
"NHMSYS0000876702","01","05","31","10"
"NHMSYS0000876697","01","05","31","08"
"NHMSYS0000876694","01","04","30","09"
"NBNSYS0000009742","01","04","31","07"
"NHMSYS0000876692","01","03","31","10"
"NHMSYS0000876691","01","04","31","12"
"NHMSYS0000876688","01","03","31","12"
"NHMSYS0000876687","01","04","31","10"
"NHMSYS0000876686","01","03","31","10"
"NBNSYS0000009736","01","04","30","09"
"NHMSYS0000876684","01","04","31","10"
"NHMSYS0000876683","01","04","31","10"
"NHMSYS0000876682","01","03","31","10"
"NBNSYS0100005568","01","01","31","10"
"NHMSYS0000876681","01","04","30","09"
"NHMSYS0000876679","01","03","31","10"
"NBNSYS0000009728","01","03","30","09"
"NBNSYS0100005540","01","04","30","09"
"NHMSYS0000876664","01","03","30","09"
"NHMSYS0000876655","01","04","31","10"
"NHMSYS0000876657","01","06","31","08"
"NHMSYS0000876656","01","04","31","10"
"NBNSYS0100004936","01","04","31","08"
"NBNSYS0100004923","01","05","30","09"
"NBNSYS0100004922","01","05","30","09"
"NHMSYS0000876638","01","06","31","08"
"NHMSYS0000876635","01","05","30","09"
"NBNSYS0000009538","01","04","31","10"
"NHMSYS0000876634","01","04","30","09"
"NHMSYS0020936612","01","05","31","10"
"NBNSYS0000009412","01","04","31","08"
"NBNSYS0000009411","01","03","31","08"
"NBNSYS0000007950","01","04","31","08"
"NBNSYS0000009410","01","04","31","10"
"NBNSYS0000009409","01","04","30","11"
"NBNSYS0000009407","01","04","31","10"
"NBNSYS0000009406","01","06","31","10"
"NBNSYS0000009404","01","05","31","10"
"NBNSYS0000009403","01","04","31","10"
"NBNSYS0000009402","01","04","30","09"
"NBNSYS0000009401","01","05","31","10"
"NHMSYS0000876602","01","03","30","11"
"NBNSYS0000009413","01","05","31","10"
"NHMSYS0000876596","01","07","30","09"
"NHMSYS0000876591","01","03","30","09"
"NBNSYS0100004564","01","07","31","07"
"NHMSYS0000876577","01","05","31","10"
"NHMSYS0000876563","01","05","31","12"
"NHMSYS0000876564","01","05","30","09"
"NBNSYS0100004530","01","06","31","08"
"NBNSYS0000009551","01","05","31","10"
"NHMSYS0000876562","01","05","31","10"
"NBNSYS0100004491","01","05","30","09"
"NHMSYS0000876544","01","05","30","09"
"NHMSYS0000876542","01","06","30","09"
"NHMSYS0000876541","01","05","31","10"
"NHMSYS0000876539","01","04","30","09"
