"tvk","value_code","taxon"
"NHMSYS0001387233","2","Acanthoxyla prasina subsp. geisovii"
"NHMSYS0001387234","2","Acanthoxyla prasina subsp. inermis"
"NBNSYS0000006827","1","Acheta domesticus"
"NHMSYS0000377674","1","Anacridium aegyptium"
"NHMSYS0001387250","1","Anisolabis maritima"
"NHMSYS0001387259","1","Apterygida media"
"NHMSYS0001387264","1","Bacillus rossius"
"NBNSYS0000006854","1","Blatta orientalis"
"NBNSYS0000006856","1","Blattella germanica"
"NHMSYS0001387282","1","Carausius morosus"
"NHMSYS0001387286","2","Chorthippus albomarginatus"
"NBNSYS0000006842","2","Chorthippus brunneus"
"NBNSYS0000006843","2","Chorthippus parallelus"
"NHMSYS0001387288","2","Chorthippus vagans"
"NBNSYS0000006813","1","Clitarchus hookeri"
"NHMSYS0020784602","1","Colapteroblatta nigra"
"NBNSYS0000006824","1","Conocephalus dorsalis"
"NHMSYS0020752279","1","Conocephalus fuscus"
"NHMSYS0020978404","1","Cosmoderus maculatus"
"NBNSYS0000006818","1","Decticus verrucivorus"
"NHMSYS0001387299","2","Ectobius lapponicus"
"NHMSYS0001387300","2","Ectobius pallidus"
"NHMSYS0001387301","2","Ectobius panzeri"
"NHMSYS0001387304","1","Euborellia annulipes"
"NHMSYS0020784634","2","Euchorthippus elegantulus"
"NHMSYS0001387317","1","Forficula auricularia"
"NHMSYS0001387336","1","Forficula lesnei"
"NBNSYS0000006840","1","Gomphocerippus rufus"
"NHMSYS0001387359","2","Gryllotalpa"
"NBNSYS0000006830","4","Gryllotalpa gryllotalpa"
"NHMSYS0020978458","2","Gryllus assimilis"
"NHMSYS0000377677","1","Gryllus bimaculatus"
"NHMSYS0001387363","1","Gryllus campestris"
"NBNSYS0100003439","1","Henschoutedenia flexivitta"
"NHMSYS0020978470","1","Hiereoblatta cassidea"
"NHMSYS0020978416","1","Jamaicana subguttata"
"NHMSYS0001387382","1","Labia minor"
"NHMSYS0001387398","1","Labidura riparia"
"NBNSYS0000006825","1","Leptophyes punctatissima"
"NHMSYS0001693174","1","Loboptera decipiens"
"NHMSYS0020978434","1","Locusta cinerascens"
"NHMSYS0000377679","1","Locusta migratoria"
"NHMSYS0001387415","1","Marava arachidis"
"NHMSYS0020978428","1","Mastophyllum scabricolle"
"NHMSYS0020977729","1","Meconema meridionale"
"NHMSYS0001387418","1","Meconema thalassinum"
"NBNSYS0000006821","2","Metrioptera brachyptera"
"NBNSYS0000006822","1","Metrioptera roeselii"
"NBNSYS0000006839","1","Myrmeleotettix maculatus"
"NHMSYS0001387421","1","Nauphoeta cinerea"
"NBNSYS0000006828","1","Nemobius sylvestris"
"NHMSYS0020978476","1","Nyctibora brunnea"
"NHMSYS0020978488","1","Nyctibora noctivaga"
"NHMSYS0020973976","1","Oecanthus pellucens"
"NHMSYS0001387431","2","Omocestus rufipes"
"NBNSYS0000006838","2","Omocestus viridulus"
"NBNSYS0100004408","1","Panchlora nivea"
"NBNSYS0000006852","1","Periplaneta americana"
"NBNSYS0000006853","1","Periplaneta australasiae"
"NHMSYS0019998481","2","Phaneroptera falcata"
"NHMSYS0020978368","3","Phaneroptera nana"
"NHMSYS0001387435","1","Pholidoptera griseoaptera"
"NHMSYS0001387438","2","Platycleis albopunctata"
"NHMSYS0020973988","2","Pseudomogoplistes vicentae"
"NBNSYS0000006855","1","Pycnoscelus surinamensis"
"NHMSYS0020978506","1","Ramulus thaii"
"NHMSYS0020978386","3","Ruspolia nitidula"
"NHMSYS0000377682","1","Schistocerca gregaria"
"NBNSYS0000006835","2","Stenobothrus lineatus"
"NBNSYS0000006836","2","Stenobothrus stigmaticus"
"NBNSYS0000006834","1","Stethophyma grossum"
"NBNSYS0100005632","1","Supella longipalpa"
"NHMSYS0001387466","2","Tachycines asynamorus"
"NBNSYS0000006831","2","Tetrix ceperoi"
"NBNSYS0000006832","2","Tetrix subulata"
"NBNSYS0000006833","2","Tetrix undulata"
"NHMSYS0001387471","1","Tettigonia viridissima"
"NHMSYS0020978452","1","Zonocerus variegatus"
