"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NHMSYS0000464816","01","01","1838",,,
"NBNSYS0000004367","01","01","1794",,,
"NBNSYS0000003888","01","01","1894",,,
"NHMSYS0000461600","01","01","1933",,,
"NBNSYS0000003645","01","01","1777",,,
"NBNSYS0000004084","01","01","1824",,,
"NBNSYS0000003189","01","01","1855",,,
"NBNSYS0000002902","01","01","1805",,,
"NBNSYS0000003711","01","01","1828",,,
"NHMSYS0000458716","01","01","1886",,,
"NHMSYS0000458396","01","01","1904",,,
"NBNSYS0000004639","01","01","1956",,,
"NHMSYS0000456713","01","01","1922",,,
"NHMSYS0000456120","01","01","1870",,,
"NBNSYS0000004580","01","01","1870",,,
"NBNSYS0000003191","01","01","1632",,,
