"organism_key","taxon","code"
"NBNORG0000008780","Lacerta agilis",1
"NBNORG0000049683","Salamandra salamandra",2
"NBNORG0000049684","Triturus carnifex",2
"NBNORG0000049692","Xenopus laevis",2
"NBNORG0000049745","Natrix tessellata",2
"NBNORG0000051253","Coronella austriaca",1
"NBNORG0000052496","Podarcis sicula",2
"NBNORG0000052581","Triturus marmoratus",2
"NBNORG0000093847","Pelophylax lessonae",2
"NBNORG0000093849","Epidalea calamita",1
"NBNORG0000093855","Lithobates catesbeianus",2
