"organism_key","taxon","stage","code"
"NBNORG0000008779","Rana temporaria","mature",1
"NBNORG0000008780","Lacerta agilis","mature",2
"NBNORG0000008781","Anguis fragilis","mature",2
"NBNORG0000008782","Vipera berus","mature",2
"NBNORG0000049683","Salamandra salamandra","mature",1
"NBNORG0000049684","Triturus carnifex","mature",3
"NBNORG0000049685","Triturus cristatus","mature",2
"NBNORG0000049686","Bufo bufo","mature",2
"NBNORG0000049687","Alytes obstetricans","mature",2
"NBNORG0000049688","Bombina bombina","mature",2
"NBNORG0000049689","Bombina variegata","mature",2
"NBNORG0000049691","Hyla arborea","mature",2
"NBNORG0000049692","Xenopus laevis","mature",5
"NBNORG0000049738","Chrysemys picta","mature",3
"NBNORG0000049739","Emys orbicularis","mature",3
"NBNORG0000049741","Trachemys scripta","mature",3
"NBNORG0000049742","Podarcis muralis","mature",2
"NBNORG0000049745","Natrix tessellata","mature",3
"NBNORG0000051253","Coronella austriaca","mature",2
"NBNORG0000052496","Podarcis sicula","mature",5
"NBNORG0000052581","Triturus marmoratus","mature",2
"NBNORG0000086972","Zootoca vivipara","mature",2
"NBNORG0000093847","Pelophylax lessonae","mature",4
"NBNORG0000093849","Epidalea calamita","mature",2
"NBNORG0000093851","Lissotriton vulgaris","mature",3
"NBNORG0000093852","Lissotriton helveticus","mature",3
"NBNORG0000093855","Lithobates catesbeianus","mature",5
"NBNORG0000093856","Pelophylax ridibundus","mature",4
"NBNORG0000093857","Pelophylax esculentus","mature",4
"NBNORG0000095890","Lacerta bilineata","mature",1
"NBNORG0000103523","Ichthyosaura alpestris","mature",3
