"","organism_key","taxon","km100","km10","coord_system"
"1","NBNORG0000009644","Clitarchus hookeri","SV","81 91","OSGB"
"2","NBNORG0000009645","Decticus verrucivorus","SU","06","OSGB"
"3","NBNORG0000009645","Decticus verrucivorus","SY","98","OSGB"
"4","NBNORG0000009645","Decticus verrucivorus","TQ","30 40","OSGB"
"5","NBNORG0000009645","Decticus verrucivorus","TR","24","OSGB"
"6","NBNORG0000009646","Metrioptera brachyptera","NX","85","OSGB"
"7","NBNORG0000009646","Metrioptera brachyptera","NY","25 53 89","OSGB"
"8","NBNORG0000009646","Metrioptera brachyptera","SD","28 37 38 44 48","OSGB"
"9","NBNORG0000009646","Metrioptera brachyptera","SE","60 66 70 71 79 89 99","OSGB"
"10","NBNORG0000009646","Metrioptera brachyptera","SH","22 28 32","OSGB"
"11","NBNORG0000009646","Metrioptera brachyptera","SJ","43 56 62 69 91 92","OSGB"
"12","NBNORG0000009646","Metrioptera brachyptera","SK","01 80","OSGB"
"13","NBNORG0000009646","Metrioptera brachyptera","SM","82 92","OSGB"
"14","NBNORG0000009646","Metrioptera brachyptera","SN","31 56 69","OSGB"
"15","NBNORG0000009646","Metrioptera brachyptera","SO","67 88 89","OSGB"
"16","NBNORG0000009646","Metrioptera brachyptera","SP","18 50 89 91","OSGB"
"17","NBNORG0000009646","Metrioptera brachyptera","SR","99","OSGB"
"18","NBNORG0000009646","Metrioptera brachyptera","SS","31 41 43 48 59 98","OSGB"
"19","NBNORG0000009646","Metrioptera brachyptera","ST","01 21 43 44","OSGB"
"20","NBNORG0000009646","Metrioptera brachyptera","SU","00 01 10 11 20 21 30 31 32 37 40 41 46 47 66 72 73 75 76 77 82 83 84 85 86 91 93 94 95 96 97 98","OSGB"
"21","NBNORG0000009646","Metrioptera brachyptera","SW","75 85 95 96","OSGB"
"22","NBNORG0000009646","Metrioptera brachyptera","SX","69 77 86 87 88 98","OSGB"
"23","NBNORG0000009646","Metrioptera brachyptera","SY","08 09 39 67 78 79 88 89 98 99","OSGB"
"24","NBNORG0000009646","Metrioptera brachyptera","SZ","08 09 19 29 39 68","OSGB"
"25","NBNORG0000009646","Metrioptera brachyptera","TF","26 61","OSGB"
"26","NBNORG0000009646","Metrioptera brachyptera","TG","03 11 12 14 21","OSGB"
"27","NBNORG0000009646","Metrioptera brachyptera","TQ","01 05 14 16 23 25 27 31 32 33 36 42 43 52 53 57 66 81","OSGB"
"28","NBNORG0000009647","Roeseliana roeselii","SD","23 24 33 34 35 43 44 45","OSGB"
"29","NBNORG0000009647","Roeseliana roeselii","SE","30 40 50 71 72 73 74 80 81 82 83 84 90 91 92 93 94","OSGB"
"30","NBNORG0000009647","Roeseliana roeselii","SH","50 60 70","OSGB"
"31","NBNORG0000009647","Roeseliana roeselii","SJ","50 51 60 61 62 70 71 72 80 81 82 83 90 91 92 93","OSGB"
"32","NBNORG0000009647","Roeseliana roeselii","SK","00 01 02 03 10 11 12 13 20 21 22 23 24 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB"
"33","NBNORG0000009647","Roeseliana roeselii","SN","58 59 68 69 78 79 91 92 93","OSGB"
"34","NBNORG0000009647","Roeseliana roeselii","SO","01 02 03 11 12 13 20 21 22 23 30 31 32 33 40 41 42 43 45 46 47 50 51 52 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB"
