"tvk","start_day","start_month","end_day","end_month"
"NBNSYS0000159204","01","06","31","07"
"NBNSYS0000007848","01","06","30","06"
"NBNSYS0000007847","01","06","31","08"
"NBNSYS0000007846","01","05","30","06"
"NBNSYS0100006018","01","05","30","06"
"NBNSYS0100005964","01","07","31","08"
"NBNSYS0000158982","01","06","30","09"
"NBNSYS0000007946","01","06","31","08"
"NBNSYS0000007819","01","05","31","08"
"NBNSYS0000007945","01","05","30","09"
"NBNSYS0000007934","01","06","31","07"
"NBNSYS0000007933","01","05","31","07"
"NBNSYS0100005798","01","05","31","07"
"NBNSYS0000007931","01","05","30","09"
"NBNSYS0000007930","01","06","30","09"
"NBNSYS0000007929","01","07","31","08"
"NBNSYS0000007928","01","06","31","07"
"NBNSYS0100005797","01","07","31","07"
"NBNSYS0000007927","01","05","30","09"
"NBNSYS0000007889","01","06","30","09"
"NBNSYS0000007892","01","06","31","08"
"NBNSYS0000007891","01","05","31","07"
"NBNSYS0000007894","01","07","30","09"
"NBNSYS0000007893","01","06","31","08"
"NBNSYS0000007890","01","05","31","08"
"NBNSYS0000007888","01","06","30","06"
"NBNSYS0000007887","01","05","30","09"
"NBNSYS0000007857","01","05","31","08"
"NBNSYS0100020558","01","06","31","07"
"NBNSYS0000007840","01","05","30","09"
"NBNSYS0000007842","01","05","30","09"
"NBNSYS0000007841","01","05","31","07"
"NBNSYS0000007839","01","06","30","09"
"NBNSYS0000189495","01","05","31","08"
"NBNSYS0000007855","01","05","31","08"
"NBNSYS0000007845","01","05","30","06"
"NBNSYS0000007844","01","05","31","08"
"NBNSYS0000007937","01","05","31","07"
"NBNSYS0000007935","01","06","31","08"
"NBNSYS0000007831","01","05","30","09"
"NBNSYS0000007832","01","05","31","10"
"NBNSYS0000007830","01","06","30","09"
"NBNSYS0000007829","01","07","30","11"
"NBNSYS0000007866","01","05","30","09"
"NBNSYS0000007865","01","06","31","08"
"NBNSYS0100005063","01","05","31","08"
"NBNSYS0000007863","01","05","31","07"
"NBNSYS0000007862","01","05","30","09"
"NBNSYS0000007861","01","05","30","06"
"NBNSYS0000007907","01","06","31","08"
"NBNSYS0000007854","01","05","31","07"
"NBNSYS0100004993","01","05","30","06"
"NBNSYS0000007949","01","05","31","08"
"NBNSYS0000007906","01","05","31","10"
"NBNSYS0000173330","01","05","31","07"
"NBNSYS0000007905","01","05","31","08"
"NBNSYS0100020703","01","06","31","08"
"NBNSYS0000007820","01","05","31","08"
"NBNSYS0000007818","01","06","30","09"
"NBNSYS0000007817","01","06","31","07"
"NBNSYS0000007816","01","05","31","08"
"NBNSYS0000007815","01","05","31","08"
"NBNSYS0000007814","01","06","31","08"
"NHMSYS0020734187","01","05","31","08"
"NBNSYS0000007813","01","06","31","08"
"NBNSYS0000007812","01","06","31","07"
"NBNSYS0000007810","01","07","31","08"
"NBNSYS0000007809","01","06","31","07"
"NBNSYS0000007808","01","05","31","07"
"NBNSYS0000007838","01","05","31","08"
"NBNSYS0000007940","01","05","31","08"
"NBNSYS0000007939","01","06","31","08"
"NBNSYS0000007837","01","05","30","06"
"NBNSYS0100020744","01","04","31","07"
"NBNSYS0000007835","01","07","31","07"
"NBNSYS0000007834","01","04","30","06"
"NBNSYS0000007833","01","06","31","08"
"NBNSYS0100004215","01","06","31","08"
"NBNSYS0100004212","01","08","31","08"
"NBNSYS0000007904","01","05","31","10"
"NBNSYS0000007903","01","06","31","07"
"NBNSYS0000007807","01","06","30","09"
"NBNSYS0000007806","01","06","31","08"
"NBNSYS0000007805","01","05","31","08"
"NBNSYS0000007804","01","05","31","08"
"NBNSYS0000007828","01","03","31","10"
"NBNSYS0000007827","01","05","30","09"
"NBNSYS0000007826","01","05","30","09"
"NBNSYS0000007902","01","06","31","08"
"NHMSYS0020734171","01","06","31","08"
"NBNSYS0100003861","01","06","31","10"
"NBNSYS0000007901","01","05","31","10"
"NBNSYS0100003860","01","06","31","08"
"NBNSYS0000007912","01","06","30","09"
"NBNSYS0000007911","01","05","31","08"
"NBNSYS0100003706","01","06","31","08"
"NBNSYS0000007920","01","05","31","08"
"NBNSYS0000007921","01","04","31","08"
"NBNSYS0000007908","01","05","30","09"
"NBNSYS0100003576","01","06","31","08"
"NBNSYS0000148975","01","06","31","07"
"NBNSYS0100003522","01","06","31","08"
"NBNSYS0000007885","01","05","31","08"
"NBNSYS0000007884","01","05","30","06"
"NBNSYS0000007883","01","05","31","07"
"NBNSYS0000007882","01","07","31","08"
"NBNSYS0000007881","01","06","30","09"
"NBNSYS0000007880","01","06","31","08"
"NBNSYS0000007879","01","05","31","08"
"NBNSYS0000042531","01","06","31","07"
"NHMSYS0020734200","01","06","30","06"
"NHMSYS0020734199","01","08","31","08"
"NBNSYS0000007874","01","05","31","10"
"NBNSYS0000007873","01","06","31","08"
"NBNSYS0000007872","01","05","30","09"
"NBNSYS0000007871","01","07","31","08"
"NBNSYS0000007900","01","06","31","08"
"NBNSYS0000007824","01","05","31","07"
"NBNSYS0000007896","01","05","30","09"
"NBNSYS0000007919","01","05","31","08"
"NBNSYS0000007918","01","05","31","08"
"NBNSYS0000007917","01","05","31","08"
"NBNSYS0000007916","01","05","31","07"
"NBNSYS0000007915","01","05","31","08"
"NBNSYS0000007914","01","05","31","07"
"NBNSYS0000007922","01","05","31","07"
"NBNSYS0000189329","01","05","31","08"
"NBNSYS0000007870","01","05","30","09"
"NBNSYS0000007869","01","07","31","08"
"NBNSYS0000007868","01","05","30","09"
"NBNSYS0000007867","01","05","30","09"
"NBNSYS0000007852","01","07","31","07"
"NBNSYS0000007851","01","06","31","08"
"NBNSYS0000007850","01","05","31","08"
"NBNSYS0100020496","01","05","31","08"
"NBNSYS0000007802","01","05","30","09"
"NHMSYS0020734178","01","05","31","10"
"NBNSYS0100002379","01","05","30","09"
"NBNSYS0100002378","01","06","31","07"
"NBNSYS0000007825","01","05","31","08"
"NBNSYS0000007944","01","07","31","08"
"NBNSYS0000007943","01","03","30","06"
"NBNSYS0000007942","01","03","30","06"
"NBNSYS0000007941","01","05","31","08"
"NBNSYS0000007800","01","05","30","09"
"NBNSYS0000007799","01","05","30","09"
"NBNSYS0100020660","01","05","30","09"
"NBNSYS0000007797","01","05","30","09"
"NBNSYS0000007796","01","05","30","06"
"NBNSYS0000007795","01","04","30","09"
"NBNSYS0000007878","01","06","31","07"
"NBNSYS0000007877","01","06","31","07"
"NHMSYS0020734193","01","06","31","08"
"NBNSYS0000007875","01","06","31","08"
"NBNSYS0000007860","01","06","31","07"
"NBNSYS0000007858","01","05","31","07"
"NBNSYS0000007895","01","07","30","09"
"NBNSYS0100001416","01","05","31","08"
"NBNSYS0100027431","01","05","30","09"
