"","organism_key","taxon","km100","km10","coord_system"
"1","NBNORG0000010073","Beris chalybata","HP","50 51 60 61","OSGB"
"2","NBNORG0000010073","Beris chalybata","HU","32 34 35 37 41 42 43 44 45 54 56 69","OSGB"
"3","NBNORG0000010073","Beris chalybata","HX","62","OSGB"
"4","NBNORG0000010073","Beris chalybata","HY","20 21 22 30 31 32 33 34 40 41 42 43 44 45 50 51 53 54 55 60 61 62 63 64 73 74 75","OSGB"
"5","NBNORG0000010073","Beris chalybata","HZ","26 27","OSGB"
"6","NBNORG0000010073","Beris chalybata","NC","24 27 32 33 34 35 42 43 44 45 51 52 53 54 61 62 63 64 65 71 72 73 74 75 82 83 84 85 92 93 94 95","OSGB"
"7","NBNORG0000010073","Beris chalybata","ND","03 06 07 15 16 17 19 24 25 26 27 28 29 33 34 35 36 37 38 39 47 48 49","OSGB"
"8","NBNORG0000010073","Beris chalybata","NH","54 55 64 65 72 74 75 76 77 78 81 82 83 84 85 86 87 88 89 91 92 93 95 96 98","OSGB"
"9","NBNORG0000010073","Beris chalybata","NJ","01 02 03 04 05 06 11 12 13 14 15 16 17 21 22 23 24 25 26 27 30 31 32 33 34 35 36 41 42 43 44 45 46 54 55","OSGB"
"10","NBNORG0000010073","Beris chalybata","NN","40 50 51 52 60 62 63 70 71 72 74 75 80 81 82 84 85 86 90 91 93 94 95 96","OSGB"
"11","NBNORG0000010073","Beris chalybata","NO","00 01 02 03 04 06 10 12 13 14 15 16 20 21 22 23 24 25 30 31 32 33 34 35 36 39 40 41 42 44 45 46 49 50 51 52 54 55 56 57 65 66 67 69 79","OSGB"
"12","NBNORG0000010073","Beris chalybata","NR","44 45 50 51 60 61 62 63 64 65 70 71 72 73 74 75 76 82 83 84 85 86 92 95","OSGB"
"13","NBNORG0000010073","Beris chalybata","NS","01 02 03 05 10 31 32 39 49 50 58 59 60 69 70 72 79 81 82 89 90 91 92 96 97 98 99","OSGB"
"14","NBNORG0000010073","Beris chalybata","NT","00 01 02 06 07 08 09 10 11 12 13 16 17 18 19 20 21 22 26 27 28 29 30 31 32 34 35 36 37 39 40 41 46 47 48 49 53 54 56 57 58 60 67 68 70 71 74 75 76 77 81 84 85 87 94 95 96","OSGB"
"15","NBNORG0000010073","Beris chalybata","NW","95 97","OSGB"
"16","NBNORG0000010073","Beris chalybata","NX","07 08 09 19 30 40 49 59 69 85 91 92 93 95 96 97 99","OSGB"
"17","NBNORG0000010073","Beris chalybata","NY","00 01 02 03 04 05 06 09 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 66 67 68 69 70 71 76 79 80 86 90 91 95 96 97","OSGB"
"18","NBNORG0000010073","Beris chalybata","NZ","00 03 04 05 06 16 18 28 40 50 51 52 60 61 62 70 71 72 80 81 90 91","OSGB"
"19","NBNORG0000010073","Beris chalybata","SC","16 17 26 27 28 36 37 38 39 47 48 49","OSGB"
"20","NBNORG0000010073","Beris chalybata","SD","09 16 17 18 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB"
"21","NBNORG0000010073","Beris chalybata","SE","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB"
"22","NBNORG0000010073","Beris chalybata","SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 67 72 73 74 77 78 81 82 83 84 85 87 88 90 91 92 93 94 95 96 97","OSGB"
