"organism_key","taxon","code"
"NBNORG0000010079","Clitellaria ephippium",2
"NBNORG0000010086","Oxycera fallenii",2
"NBNORG0000010087","Oxycera leonina",2
"NBNORG0000010110","Stratiomys chamaeleon",2
"NBNORG0000010115","Solva varia",2
"NBNORG0000010118","Xylophagus junki",2
"NBNORG0000010122","Ptiolina obscura",2
"NBNORG0000010151","Tabanus bovinus",2
"NBNORG0000010164","Neoitamus cothurnatus",2
"NBNORG0000010172","Dasypogon diadema",2
"NBNORG0000023218","Oxycera varipes",2
"NBNORG0000026891","Hybomitra solstitialis",2
"NBNORG0000041510","Choerades gilvus",2
"NBNORG0000042612","Neomochtherus pallipes",2
"NBNORG0000043078","Ptiolina nigra",2
"NBNORG0000043573","Villa venusta",2
"NBNORG0000103038","Haematopota italica",2
"NBNORG0000103039","Haematopota sp. A",2
"NBNORG0000103040","Haematopota sp. B",2
"NBNORG0000103041","Tabanus spodopterus",2
