"organism_key","taxon","stage","code"
"NBNORG0000008783","Erinaceus europaeus","mature",1
"NBNORG0000008784","Talpa europaea","mature",1
"NBNORG0000008786","Sorex araneus","mature",4
"NBNORG0000008787","Sorex minutus","mature",4
"NBNORG0000008791","Lepus timidus","mature",3
"NBNORG0000008792","Castor fiber","mature",1
"NBNORG0000008793","Sciurus vulgaris","mature",1
"NBNORG0000008794","Mus musculus","mature",3
"NBNORG0000008795","Mustela erminea","mature",3
"NBNORG0000008796","Mustela nivalis","mature",3
"NBNORG0000008797","Mustela putorius","mature",3
"NBNORG0000008798","Lutra lutra","mature",3
"NBNORG0000008799","Phoca vitulina","mature",3
"NBNORG0000008800","Halichoerus grypus","mature",3
"NBNORG0000008801","Pagophilus groenlandicus","mature",5
"NBNORG0000008802","Erignathus barbatus","mature",5
"NBNORG0000008803","Sus scrofa","mature",3
"NBNORG0000008804","Cervus elaphus","mature",3
"NBNORG0000008805","Cervus nippon","mature",3
"NBNORG0000008806","Dama dama","mature",3
"NBNORG0000008807","Hydropotes inermis","mature",3
"NBNORG0000008811","Megaptera novaeangliae","mature",3
"NBNORG0000008812","Balaenoptera physalus","mature",3
"NBNORG0000008813","Balaenoptera borealis","mature",4
"NBNORG0000008814","Balaenoptera musculus","mature",4
"NBNORG0000008815","Kogia breviceps","mature",5
"NBNORG0000008816","Hyperoodon ampullatus","mature",5
"NBNORG0000008817","Mesoplodon bidens","mature",5
"NBNORG0000008818","Mesoplodon mirus","mature",5
"NBNORG0000008819","Phocoena phocoena","mature",3
"NBNORG0000008820","Orcinus orca","mature",3
"NBNORG0000008821","Pseudorca crassidens","mature",5
"NBNORG0000008822","Tursiops truncatus","mature",3
"NBNORG0000008823","Delphinus delphis","mature",3
"NBNORG0000008824","Rangifer tarandus","mature",3
"NBNORG0000024852","Mustela furo x putorius","mature",3
"NBNORG0000024868","Ondatra zibethicus","mature",3
"NBNORG0000028383","Physeter macrocephalus","mature",3
"NBNORG0000040622","Odobenus rosmarus","mature",5
"NBNORG0000040627","Cystophora cristata","mature",5
"NBNORG0000040629","Stenella coeruleoalba","mature",3
"NBNORG0000040642","Mesoplodon europaeus","mature",5
"NBNORG0000049694","Macropus rufogriseus","mature",3
"NBNORG0000049696","Crocidura suaveolens","mature",5
"NBNORG0000049697","Neomys fodiens","mature",3
"NBNORG0000049708","Vulpes vulpes","mature",1
"NBNORG0000049709","Felis catus","mature",1
"NBNORG0000049710","Martes martes","mature",3
"NBNORG0000049711","Meles meles","mature",1
"NBNORG0000049712","Balaenoptera acutorostrata","mature",3
"NBNORG0000049713","Globicephala melas","mature",3
"NBNORG0000049714","Grampus griseus","mature",3
"NBNORG0000049715","Lagenorhynchus acutus","mature",3
"NBNORG0000049716","Lagenorhynchus albirostris","mature",3
"NBNORG0000049718","Ziphius cavirostris","mature",4
"NBNORG0000049719","Capra hircus","mature",1
"NBNORG0000049720","Ovis aries","mature",3
"NBNORG0000049721","Capreolus capreolus","mature",3
"NBNORG0000049722","Muntiacus reevesi","mature",3
"NBNORG0000049723","Microtus agrestis","mature",4
"NBNORG0000049724","Microtus arvalis","mature",1
"NBNORG0000049725","Apodemus flavicollis","mature",4
"NBNORG0000049726","Apodemus sylvaticus","mature",3
"NBNORG0000049727","Micromys minutus","mature",3
"NBNORG0000049728","Rattus norvegicus","mature",1
"NBNORG0000049729","Rattus rattus","mature",3
"NBNORG0000049730","Muscardinus avellanarius","mature",3
"NBNORG0000049731","Glis glis","mature",3
"NBNORG0000049733","Myocastor coypus","mature",1
"NBNORG0000049734","Lepus europaeus","mature",3
"NBNORG0000049735","Oryctolagus cuniculus","mature",1
"NBNORG0000051256","Felis silvestris","mature",5
"NBNORG0000051260","Sciurus carolinensis","mature",1
"NBNORG0000052672","Eubalaena glacialis","mature",3
"NBNORG0000052725","Mesoplodon densirostris","mature",5
"NBNORG0000099271","Arvicola amphibius","mature",3
"NBNORG0000104206","Myodes glareolus","mature",4
"NBNORG0000104333","Neovison vison","mature",3
"NBNORG0000104338","Pusa hispida","mature",5
