"taxon","tvk","start_day","start_month","end_day","end_month","stage"
"Perla bipunctata","NBNSYS0000022443","01","04","30","06","Adult"
"Nemoura cinerea","NBNSYS0000022421","01","03","30","09","Adult"
"Taeniopteryx nebulosa","NBNSYS0000022416","01","02","31","05","Adult"
"Capnia vidua","NHMSYS0020316247","01","03","30","04","Adult"
"Rhabdiopteryx acuminata","NHMSYS0020316291","01","03","31","05","Adult"
"Leuctra moselyi","NBNSYS0000022432","01","07","31","08","Adult"
"Leuctra fusca","NBNSYS0000022428","01","06","31","12","Adult"
"Nemoura cambrica","NBNSYS0000022420","01","04","30","06","Adult"
"Capnia bifrons","NHMSYS0020316246","01","02","31","05","Adult"
"Protonemura montana","NBNSYS0000022426","01","08","30","09","Adult"
"Nemoura erratica","NBNSYS0000022423","01","02","30","09","Adult"
"Nemoura dubitans","NBNSYS0000022422","01","04","30","04","Adult"
"Chloroperla tripunctata","NBNSYS0000022446","01","05","31","07","Adult"
"Perlodes microcephalus auct. brit.","NHMSYS0020316281","01","03","31","07","Adult"
"Amphinemura standfussi","NHMSYS0020316239","01","06","30","09","Adult"
"Diura bicaudata","NHMSYS0020316254","01","04","30","06","Adult"
"Brachyptera putata","NBNSYS0000022413","01","02","31","08","Adult"
"Leuctra hippopus","NHMSYS0020316259","01","02","30","06","Adult"
"Leuctra geniculata","NBNSYS0000022429","01","08","30","11","Adult"
"Leuctra inermis","NHMSYS0020316260","01","04","31","08","Adult"
"Siphonoperla torrentium","NBNSYS0000156799","01","04","31","08","Adult"
"Isogenus nubecula","NBNSYS0000022438","01","03","30","04","Adult"
"Protonemura meyeri","NBNSYS0000022425","01","02","30","06","Adult"
"Capnia atra","NBNSYS0000022434","01","03","31","05","Adult"
"Protonemura praecox","NBNSYS0000022427","01","02","31","05","Adult"
"Isoperla obscura","NBNSYS0000022440","01","05","30","06","Adult"
"Nemoura avicularis","NBNSYS0000022419","01","03","31","08","Adult"
"Amphinemura sulcicollis","NHMSYS0020316240","01","04","30","09","Adult"
"Leuctra nigra","NBNSYS0000022433","01","04","31","08","Adult"
"Nemurella pictetii","NHMSYS0020316272","01","02","30","09","Adult"
"Brachyptera risi","NBNSYS0000022414","01","02","31","07","Adult"
"Isoperla grammatica","NBNSYS0000022439","01","04","31","08","Adult"
"Xanthoperla apicalis","NBNSYS0000159130","01","06","31","07","Adult"
"Dinocras cephalotes","NBNSYS0000022442","01","04","30","06","Adult"
