TVK,NAME,ID_DIFF,ADDITIONAL
NBNSYS0000005628,Aeshna affinis
NBNSYS0000005623,Aeshna caerulea,3
NHMSYS0000344168,Anax junius,,1
NBNSYS0000005642,Pantala flavescens,5,2
