"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000049921","Bryum archangelicum","mature",1,5,30,9
"NBNORG0000049927","Bryum creberrimum","mature",1,5,30,9
"NBNORG0000049948","Bryum salinum","mature",1,5,30,9
