"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000011321","Ameletus inopinatus","mature",1,5,31,8
"NBNORG0000011322","Siphlonurus alternatus","mature",1,5,30,9
"NBNORG0000011323","Siphlonurus armatus","mature",1,5,31,8
"NBNORG0000011324","Siphlonurus lacustris","mature",1,5,31,8
"NBNORG0000011325","Baetis buceratus","mature",1,4,31,10
"NBNORG0000011326","Baetis scambus","mature",1,2,30,11
"NBNORG0000011327","Baetis vernus","mature",1,4,31,10
"NBNORG0000011328","Cloeon simile","mature",1,3,30,11
"NBNORG0000011329","Procloeon bifidum","mature",1,4,31,10
"NBNORG0000011330","Arthroplea congener","mature",1,5,30,6
"NBNORG0000011331","Ecdyonurus dispar","mature",1,6,31,10
"NBNORG0000011332","Ecdyonurus insignis","mature",1,5,31,10
"NBNORG0000011333","Ecdyonurus torrentis","mature",1,3,30,9
"NBNORG0000011334","Ecdyonurus venosus","mature",1,4,31,10
"NBNORG0000011335","Rhithrogena germanica","mature",1,3,31,5
"NBNORG0000011336","Rhithrogena semicolorata","mature",1,4,30,9
"NBNORG0000011337","Habrophlebia fusca","mature",1,5,30,9
"NBNORG0000011338","Leptophlebia vespertina","mature",1,4,31,8
"NBNORG0000011339","Paraleptophlebia cincta","mature",1,5,31,8
"NBNORG0000011340","Paraleptophlebia submarginata","mature",1,4,31,7
"NBNORG0000011341","Paraleptophlebia werneri","mature",1,5,30,6
"NBNORG0000011342","Ephemerella notata","mature",1,5,30,6
"NBNORG0000011343","Potamanthus luteus","mature",1,5,31,10
"NBNORG0000011344","Ephemera lineata","mature",1,7,31,7
"NBNORG0000011345","Ephemera vulgata","mature",1,5,31,8
"NBNORG0000011346","Brachycercus harrisella","mature",1,7,31,7
"NBNORG0000011347","Caenis macrura","mature",1,5,31,8
"NBNORG0000011348","Caenis rivulorum","mature",1,5,30,9
"NBNORG0000011349","Caenis robusta","mature",1,6,31,7
"NBNORG0000041043","Baetis muticus","mature",1,4,31,10
"NBNORG0000041346","Caenis beskidensis","mature",1,7,30,9
"NBNORG0000041872","Electrogena affinis","mature",1,7,31,8
"NBNORG0000041873","Electrogena lateralis","mature",1,5,30,9
"NBNORG0000042238","Kageronia fuscogrisea","mature",1,5,30,6
"NBNORG0000042249","Baetis atrebatinus","mature",1,5,31,10
"NBNORG0000042639","Baetis digitatus","mature",1,5,30,9
"NBNORG0000042640","Baetis niger","mature",1,4,31,10
"NBNORG0000043272","Serratella ignita","mature",1,4,30,9
"NBNORG0000047983","Baetis fuscatus","mature",1,5,31,10
"NBNORG0000047985","Centroptilum luteolum","mature",1,4,30,11
"NBNORG0000047986","Cloeon dipterum","mature",1,5,31,10
"NBNORG0000047987","Procloeon pennulatum","mature",1,5,31,10
"NBNORG0000047988","Caenis horaria","mature",1,5,30,9
"NBNORG0000047989","Caenis luctuosa","mature",1,7,30,9
"NBNORG0000047990","Caenis pseudorivulorum","mature",1,7,31,10
"NBNORG0000047991","Caenis pusilla","mature",1,6,31,7
"NBNORG0000047992","Ephemera danica","mature",1,4,30,11
"NBNORG0000047993","Heptagenia longicauda","mature",1,5,30,6
"NBNORG0000047994","Heptagenia sulphurea","mature",1,5,31,10
"NBNORG0000047995","Leptophlebia marginata","mature",1,4,30,6
