"organism_key","taxon","stage","code"
"NBNORG0000010529","Rhyacophila dorsalis","mature",3
"NBNORG0000010530","Rhyacophila munda","mature",3
"NBNORG0000010531","Rhyacophila obliterata","mature",3
"NBNORG0000010532","Glossosoma boltoni","mature",3
"NBNORG0000010533","Glossosoma intermedium","mature",3
"NBNORG0000010534","Agapetus delicatulus","mature",3
"NBNORG0000010535","Agapetus fuscipes","mature",3
"NBNORG0000010536","Agapetus ochripes","mature",3
"NBNORG0000010537","Agraylea multipunctata","mature",3
"NBNORG0000010538","Agraylea sexmaculata","mature",3
"NBNORG0000010539","Allotrichia pallicornis","mature",3
"NBNORG0000010540","Hydroptila angulata","mature",3
"NBNORG0000010541","Hydroptila cornuta","mature",4
"NBNORG0000010542","Hydroptila forcipata","mature",3
"NBNORG0000010543","Hydroptila lotensis","mature",4
"NBNORG0000010544","Hydroptila martini","mature",4
"NBNORG0000010545","Hydroptila occulta","mature",4
"NBNORG0000010546","Hydroptila pulchricornis","mature",4
"NBNORG0000010547","Hydroptila simulans","mature",3
"NBNORG0000010548","Hydroptila sparsa","mature",3
"NBNORG0000010549","Hydroptila sylvestris","mature",4
"NBNORG0000010550","Hydroptila tigurina","mature",4
"NBNORG0000010551","Hydroptila tineoides","mature",3
"NBNORG0000010552","Hydroptila valesiaca","mature",4
"NBNORG0000010553","Hydroptila vectis","mature",4
"NBNORG0000010554","Oxyethira distinctella","mature",4
"NBNORG0000010555","Oxyethira falcata","mature",3
"NBNORG0000010556","Oxyethira flavicornis","mature",6
"NBNORG0000010557","Oxyethira frici","mature",3
"NBNORG0000010558","Oxyethira mirabilis","mature",4
"NBNORG0000010559","Oxyethira sagittifera","mature",3
"NBNORG0000010560","Oxyethira simplex","mature",3
"NBNORG0000010561","Oxyethira tristella","mature",4
"NBNORG0000010562","Tricholeiochiton fagesii","mature",4
"NBNORG0000010563","Ithytrichia clavata","mature",4
"NBNORG0000010564","Ithytrichia lamellaris","mature",3
