"tvk","start_day","start_month","end_day","end_month"
"NHMSYS0000568349","01","06","30","09"
"NBNSYS0000178169","01","04","30","09"
"NHMSYS0000568347","01","05","30","09"
"NBNSYS0000178034","01","05","30","09"
"NHMSYS0000377614","01","06","30","09"
"NBNSYS0000188766","01","11","30","04"
"NBNSYS0000188765","01","04","30","09"
"NHMSYS0000568113","01","06","31","08"
"NHMSYS0000568111","01","05","30","11"
"NBNSYS0000176585","01","07","31","10"
"NBNSYS0000184426","01","05","30","09"
"NBNSYS0000184419","01","06","30","09"
"NHMSYS0000568030","01","07","30","09"
"NBNSYS0000184417","01","06","30","09"
"NBNSYS0000184416","01","05","30","09"
"NHMSYS0000568028","01","06","31","10"
"NHMSYS0000568204","01","06","30","09"
"NHMSYS0000377570","01","04","30","11"
"NBNSYS0000174715","01","04","30","09"
"NHMSYS0000377561","01","04","31","10"
"NHMSYS0000567910","01","06","30","11"
"NHMSYS0000567891","01","06","30","09"
"NBNSYS0000180543","01","06","30","09"
"NBNSYS0000173960","01","06","30","09"
"NHMSYS0000567771","01","09","30","11"
"NHMSYS0000567770","01","05","31","10"
"NBNSYS0000173597","01","06","30","09"
