"taxon","tvk","start_day","start_month","end_day","end_month","stage"
"Anser brachyrhynchus","NHMSYS0000530150","02","06","14","09","Adult"
"Phalaropus lobatus","NBNSYS0000000172","10","05","30","08","Adult"
"Phoenicurus phoenicurus","NHMSYS0000530745","05","04","15","11","Adult"
"Stercorarius parasiticus","NBNSYS0000000341","15","03","31","10","Adult"
"Jynx torquilla","NHMSYS0000530418","10","04","25","10","Adult"
"Phylloscopus trochilus","NHMSYS0000530759","20","03","01","11","Adult"
"Sterna dougallii","NBNSYS0000000364","25","04","20","09","Adult"
"Anser albifrons albifrons","NHMSYS0000532791","26","04","30","09","Adult"
"Calidris alba","NBNSYS0000000152","01","06","30","06","Adult"
"Clangula hyemalis","NBNSYS0000000194","21","05","09","09","Adult"
"Larus sabini","NHMSYS0000530432","10","05","30","10","Adult"
"Calidris temminckii","NBNSYS0000000174","25","04","01","11","Adult"
"Calidris minuta","NBNSYS0000000163","10","04","20","11","Adult"
"Branta leucopsis","NBNSYS0000000214","26","04","14","09","Adult"
"Phalaropus fulicarius","NBNSYS0000000165","01","06","30","06","Adult"
"Crex crex","NHMSYS0000530322","15","04","01","11","Adult"
