organism_key,taxon,error_location,file,notes
NBNORG0000072221,Bombus (Bombus) terrestris,"Bees, Wasps and Ants Recording Scheme/BWARS",id_difficulty.csv,Bombus terrestris and Bombus (Bombus) terrestris are both preferred_names linked to this organism key. Bt picked (https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?txtSearch=bombus+terrestris)
NBNORG0000072221,Bombus terrestris,"Bees, Wasps and Ants Recording Scheme/BWARS",id_difficulty.csv,Bombus terrestris and Bombus (Bombus) terrestris are both preferred_names linked to this organism key. Bt picked (https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?txtSearch=bombus+terrestris)
NBNORG0000007460,Ficaria verna,Botanical Society of Britain and Ireland/BSBI,id_difficulty.csv,Ranunculus ficaria and Ficaria verna both attached as preferred names to this org key. Ficaria verna used to coincide with https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?txtSearch=ranunculus+ficaria
NBNORG0000055006,Lamiastrum galeobdolon,Botanical Society of Britain and Ireland/BSBI,id_difficulty.csv,As above - UKSI uses Lamiastrum
NBNORG0000055006,Lamium galeobdolon,Botanical Society of Britain and Ireland/BSBI,id_difficulty.csv,As above - UKSI uses Lamiastrum
NBNORG0000090199,Primula veris x vulgaris = P. x polyantha,Botanical Society of Britain and Ireland/BSBI,id_difficulty.csv,"Primula vulgaris x veris = P. x polyantha is not in the UKSI, Primula veris x vulgaris = P. x polyantha used"
NBNORG0000090199,Primula vulgaris x veris = P. x polyantha,Botanical Society of Britain and Ireland/BSBI,id_difficulty.csv,"Primula vulgaris x veris = P. x polyantha is not in the UKSI, Primula veris x vulgaris = P. x polyantha used"
NBNORG0000007460,Ranunculus ficaria,Botanical Society of Britain and Ireland/BSBI,id_difficulty.csv,Ranunculus ficaria and Ficaria verna both attached as preferred names to this org key. Ficaria verna used to coincide with https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?txtSearch=ranunculus+ficaria
NBNORG0000123293,Acarospora privigna,British Lichen Society/BLS,id_difficulty.csv,None of the organism keys are allowed for data entry with Polysporina. NBNORG0000123293 is allowed with the name Acarospora privigna
NBNORG0000123293,Acarospora privigna,British Lichen Society/BLS,tenkm.csv,None of the organism keys are allowed for data entry with Polysporina. NBNORG0000123293 is allowed with the name Acarospora privigna
NBNORG0000013984,Arthopyrenia cinereopruinosa,British Lichen Society/BLS,id_difficulty.csv,Correct answer unclear: https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?selSearchType=b&txtSearch=Arthopyrenia+cinereopruinosa
NBNORG0000117685,Arthopyrenia cinereopruinosa,British Lichen Society/BLS,id_difficulty.csv,Correct answer unclear: https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?selSearchType=b&txtSearch=Arthopyrenia+cinereopruinosa
NBNORG0000123271,Arthopyrenia cinereopruinosa,British Lichen Society/BLS,id_difficulty.csv,Correct answer unclear: https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?selSearchType=b&txtSearch=Arthopyrenia+cinereopruinosa
NBNORG0000013984,Arthopyrenia cinereopruinosa,British Lichen Society/BLS,tenkm.csv,Correct answer unclear: https://uksi-sandbox.nhm.ac.uk/taxonbrowser.php?selSearchType=b&txtSearch=Arthopyrenia+cinereopruinosa
