organism_key,taxon,km100,km10,coord_system
NBNORG0000008960,Platycnemis pennipes,SJ,11 20 21 22 30 31 32 40 41 43 45 50 51 53 54 60 61 64 65 70 72 92,OSGB
NBNORG0000008960,Platycnemis pennipes,SK,20 30 51 60 61 71 72 80 81 90,OSGB
NBNORG0000008960,Platycnemis pennipes,SO,05 06 13 14 19 24 30 34 41 43 44 50 51 52 53 54 56 60 61 66 67 70 71 72 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 93 94 95 96 97,OSGB
NBNORG0000008960,Platycnemis pennipes,SP,04 05 06 07 15 16 17 23 24 25 26 29 30 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 54 55 56 57 58 59 62 64 65 66 67 68 69 71 72 73 74 75 76 77 78 79 81 83 84 85 86 87 88 89 91 92 93 95 96 97 98 99,OSGB
NBNORG0000008960,Platycnemis pennipes,SS,51 90,OSGB
NBNORG0000008960,Platycnemis pennipes,ST,14 22 32 33 34 41 42 43 44 51 52 53 54 60 66 67 71 72 74 75 76 80 81 85 86 90 96,OSGB
NBNORG0000008960,Platycnemis pennipes,SU,00 09 10 19 20 28 29 30 39 49 56 58 59 66 67 68 69 75 76 77 78 84 85 86 88 91 92 93 94 95 96 98,OSGB
NBNORG0000008960,Platycnemis pennipes,SX,29 38 39 47 49 98 99,OSGB
NBNORG0000008960,Platycnemis pennipes,SY,08 09 29 99,OSGB
NBNORG0000008960,Platycnemis pennipes,SZ,09 19 39,OSGB
NBNORG0000008960,Platycnemis pennipes,TF,00,OSGB
NBNORG0000008960,Platycnemis pennipes,TL,02 03 04 05 08 09 13 14 15 16 19 26 30 34 35 37 38 41 44 45 51 70 71 72 74 80 83 84 93 94,OSGB
NBNORG0000008960,Platycnemis pennipes,TM,03 04,OSGB
NBNORG0000008960,Platycnemis pennipes,TQ,01 02 03 04 05 06 11 12 13 14 15 16 21 22 23 24 25 31 32 33 34 35 37 41 42 43 44 45 46 49 50 51 52 53 54 55 56 61 62 63 64 65 70 71 72 73 74 75 79 81 82 83 84 91 92 93 94,OSGB
NBNORG0000008960,Platycnemis pennipes,TR,03 04,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,HU,46,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,HY,10 20 21 22 30 31 32 33 40 41 50,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NB,00 10 13 14 23 24 33 34 43 53 54 90,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NC,01 02 10 11 12 13 14 21 22 23 24 30 31 32 33 35 36 41 44 46 51 54 61 64 65 66 70 73 74 76 80 81 82 83 84 85 91 96,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,ND,02 03 04 05 06 07 12 13 14 15 16 19 23 24 26 27 29 36 39 49,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NF,60 70 71 72 73 74 75 83 85 86 87,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NG,09 14 19 20 24 25 30 33 34 35 40 41 42 43 44 45 46 50 51 52 53 54 56 60 61 62 63 71 72 73 74 77 78 80 81 82 83 84 85 86 87 88 89 90 92 93 94 95 96 97 98 99,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NH,00 02 03 04 05 06 07 08 09 10 12 14 15 17 18 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 51 52 53 54 55 56 57 58 59 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 84 85 86 89 90 91 92 93 94 95 96 98,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NJ,01 02 03 04 05 06 11 12 13 14 15 25 26 31 34 35 36 40 41 44 46 50 51 54 55 56 60 61 62 70 71 74 75 80 83 84 85 90 91 93 95,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NK,03 05 14,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NL,94,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NM,04 15 22 25 26 31 32 34 35 39 40 43 44 45 46 47 48 49 52 53 54 55 56 57 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000008961,Pyrrhosoma nymphula,NN,00 01 02 03 04 05 06 07 08 09 10 11 12 14 15 16 17 18 19 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 39 40 43 44 45 46 47 48 49 50 51 53 54 55 57 58 59 60 61 63 67 68 69 70 72 74 75 76 78 79 80 81 84 85 86 88 89 92 94 95 96 98,OSGB
