"taxon","tvk","start_day","start_month","end_day","end_month","stage"
"Agenioideus cinctellus","NBNSYS0000009414","01","05","30","09","Adult"
"Agenioideus sericeus","NHMSYS0000875032","01","06","31","08","Adult"
"Allepyris microneurus","NHMSYS0020936521","01","07","31","10","Adult"
"Ammophila pubescens","NHMSYS0000875038","01","05","30","09","Adult"
"Ammophila sabulosa","NHMSYS0000875039","01","04","31","10","Adult"
"Ancistrocerus antilope","NHMSYS0000875042","01","05","30","06","Adult"
"Ancistrocerus gazella","NHMSYS0000875045","01","03","31","10","Adult"
"Ancistrocerus nigricornis","NHMSYS0000875046","01","01","31","10","Adult"
"Ancistrocerus oviventris","NBNSYS0000009451","01","04","30","11","Adult"
"Ancistrocerus parietinus","NHMSYS0000875049","01","01","31","10","Adult"
"Ancistrocerus parietum","NHMSYS0000875050","01","03","31","10","Adult"
"Ancistrocerus scoticus","NHMSYS0000875053","01","04","30","09","Adult"
"Ancistrocerus trifasciatus","NHMSYS0000875054","01","04","31","10","Adult"
"Andrena (Micrandrena) proxima","NHMSYS0000875115","01","03","31","07","Adult"
"Andrena (Plastandrena) pilipes","NHMSYS0000875126","01","04","31","12","Adult"
"Andrena alfkenella","NHMSYS0000875157","01","03","30","09","Adult"
"Andrena angustior","NHMSYS0000875161","01","03","31","08","Adult"
"Andrena apicata","NHMSYS0000875162","01","03","30","06","Adult"
"Andrena argentata","NHMSYS0000875164","01","06","30","09","Adult"
"Andrena barbilabris","NHMSYS0000875170","01","03","30","09","Adult"
"Andrena bicolor","NHMSYS0000875171","01","02","30","09","Adult"
"Andrena bimaculata","NHMSYS0000875172","01","02","31","08","Adult"
"Andrena bucephala","NHMSYS0000875173","01","03","30","06","Adult"
"Andrena carantonica misident.","NHMSYS0020936534","01","02","30","11","Adult"
"Andrena chrysosceles","NHMSYS0000875176","01","02","31","12","Adult"
"Andrena cineraria","NHMSYS0000875177","01","01","31","10","Adult"
"Andrena clarkella","NHMSYS0000875179","01","02","31","08","Adult"
"Andrena coitana","NHMSYS0000875181","01","04","30","09","Adult"
"Andrena congruens","NBNSYS0000009676","01","04","30","09","Adult"
"Andrena denticulata","NHMSYS0000875192","01","06","30","09","Adult"
"Andrena dorsata","NHMSYS0000875195","01","03","30","11","Adult"
"Andrena falsifica","NHMSYS0000875199","01","04","31","08","Adult"
"Andrena ferox","NHMSYS0000875201","01","04","30","06","Adult"
"Andrena flavipes","NHMSYS0000875202","01","02","30","11","Adult"
"Andrena florea","NHMSYS0000875203","01","04","31","08","Adult"
"Andrena fucata","NHMSYS0000875206","01","03","31","08","Adult"
"Andrena fulva","NHMSYS0000875207","01","02","31","12","Adult"
"Andrena fulvago","NHMSYS0000875208","01","04","31","12","Adult"
"Andrena fuscipes","NHMSYS0000875212","01","04","30","11","Adult"
"Andrena gravida","NHMSYS0000875213","01","03","30","06","Adult"
"Andrena haemorrhoa","NHMSYS0000875215","01","01","30","09","Adult"
"Andrena hattorfiana","NHMSYS0000875216","01","06","30","09","Adult"
"Andrena helvola","NHMSYS0000875217","01","03","31","08","Adult"
"Andrena humilis","NHMSYS0000875218","01","04","31","08","Adult"
"Andrena labialis","NHMSYS0000875221","01","03","31","08","Adult"
"Andrena labiata","NHMSYS0000875222","01","04","31","07","Adult"
"Andrena lapponica","NHMSYS0000875224","01","03","31","08","Adult"
"Andrena lathyri","NHMSYS0000875226","01","04","31","07","Adult"
"Andrena lepida","NHMSYS0000875227","01","07","31","08","Adult"
"Andrena marginata","NHMSYS0000875232","01","06","31","10","Adult"
"Andrena minutula","NHMSYS0000875234","01","03","31","10","Adult"
"Andrena minutuloides","NHMSYS0000875235","01","03","30","09","Adult"
"Andrena nana","NHMSYS0000875238","01","04","31","07","Adult"
"Andrena nigriceps","NHMSYS0000875241","01","06","31","08","Adult"
"Andrena nigroaenea","NHMSYS0000875243","01","03","30","09","Adult"
"Andrena nigrospina","NHMSYS0000875244","01","04","31","08","Adult"
"Andrena nitida preocc. [Genus inferred]","NHMSYS0000875245","01","02","31","07","Adult"
"Andrena nitidiuscula","NBNSYS0100001525","01","06","30","09","Adult"
"Andrena niveata","NHMSYS0000875247","01","05","31","07","Adult"
"Andrena ovatula","NHMSYS0000875249","01","03","31","12","Adult"
"Andrena pilipes sensu lato","NHMSYS0020936540","01","04","30","09","Adult"
"Andrena polita","NHMSYS0000875256","01","07","31","07","Adult"
"Andrena praecox","NHMSYS0000875257","01","03","31","07","Adult"
"Andrena rosae","NHMSYS0000875262","01","04","31","08","Adult"
"Andrena ruficrus","NHMSYS0000875264","01","03","30","06","Adult"
"Andrena semilaevis","NHMSYS0000875269","01","04","30","09","Adult"
"Andrena similis","NHMSYS0000875273","01","03","31","07","Adult"
"Andrena simillima","NHMSYS0000875274","01","06","30","09","Adult"
"Andrena subopaca","NHMSYS0000875279","01","03","31","10","Adult"
"Andrena synadelpha","NHMSYS0000875280","01","03","30","09","Adult"
"Andrena tarsata","NHMSYS0000875281","01","06","30","09","Adult"
"Andrena thoracica","NHMSYS0000875282","01","03","30","09","Adult"
"Andrena tibialis","NHMSYS0000875283","01","03","31","07","Adult"
"Andrena tridentata","NHMSYS0000875284","01","07","31","08","Adult"
"Andrena trimmerana","NHMSYS0000875285","01","03","31","12","Adult"
"Andrena vaga","NHMSYS0000875286","01","04","30","04","Adult"
"Andrena varians","NHMSYS0000875287","01","03","31","07","Adult"
"Andrena wilkella","NHMSYS0000875290","01","03","31","12","Adult"
"Anergates atratulus","NHMSYS0000875294","01","04","30","09","Adult"
"Anoplius caviventris","NHMSYS0000875304","01","04","30","09","Adult"
