"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNSYS0000010862","01","01","1870",,,
"NBNSYS0000010861","01","01","1870",,,
"NBNSYS0000010860","01","01","1913",,,
"NBNSYS0100005496","01","01","1761",,,
"NBNSYS0000010887","01","01","1834",,,
"NBNSYS0000010886","01","01","1932",,,
"NHMSYS0000066965","01","01","1870",,,
"NBNSYS0000010876","01","01","1912",,,
"NBNSYS0000010896","01","01","1834",,,
"NBNSYS0000010893","01","01","1919",,,
"NBNSYS0000010892","01","01","1835",,,
"NBNSYS0000010891","01","01","1783",,,
"NBNSYS0100004260","01","01","1761",,,
"NBNSYS0100004259","01","01","1939",,,
"NBNSYS0000010890","01","01","1758",,,
"NHMSYS0000066974","01","01","1767",,,
"NBNSYS0100003648","01","01","1870",,,
"NBNSYS0100003631","01","01","1783",,,
"NHMSYS0000066973","01","01","1776",,,
"NHMSYS0000066972","01","01","1835","31","12","1930"
"NBNSYS0000010888","01","01","1834",,,
"NBNSYS0000010895","01","01","1887",,,
"NBNSYS0000010899","01","01","1758",,,
"NBNSYS0000010898","01","01","1870",,,
"NHMSYS0000066970","01","01","1764",,,
"NBNSYS0100002944","01","01","1834",,,
"NBNSYS0100002943","01","01","1988",,,
"NBNSYS0000010881","01","01","1775",,,
"NBNSYS0000010880","01","01","1942",,,
"NBNSYS0000010879","01","01","1870",,,
"NBNSYS0000010878","01","01","1834",,,
"NBNSYS0000010875","01","01","1870",,,
"NHMSYS0000066964","01","01","1761",,,
"NHMSYS0000066963","01","01","1776",,,
"NBNSYS0000010905","01","01","1951",,,
"NBNSYS0000010904","01","01","1884",,,
"NHMSYS0000066969","01","01","1980",,,
"NHMSYS0000066968","01","01","1994",,,
"NBNSYS0000010903","01","01","1835",,,
"NHMSYS0000066967","01","01","1941",,,
"NHMSYS0000066966","01","01","1835",,,
"NBNSYS0100002144","01","01","1984",,,
"NBNSYS0000010900","01","01","1834",,,
"NBNSYS0000010871","01","01","1834",,,
"NBNSYS0000010870","01","01","1870",,,
"NHMSYS0000066962","01","01","1844",,,
"NHMSYS0000066961","01","01","1761",,,
"NBNSYS0000010864","01","01","1870",,,
"NBNSYS0000010877","01","01","1920","31","12","1920"
"NBNSYS0000010859","01","01","1898",,,
"NBNSYS0100001448","01","01","1758",,,
