organism_key,taxon,km100,km10,coord_system
NBNORG0000006869,Hesperocorixa linnaei,NF,60 70 80,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NG,70 80 81 90 91,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NH,00 10 11 12 20 21 22 23 25 30 31 32 33 34 35 36 40 41 42 43 44 45 51 52 53 54 55 59 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 98,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NJ,01 02 03 04 05 06 12 13 14 15 16 17 24 25 26 27 35 36 46 56,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NL,69 93 94,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NM,04 05 15 16 21 22 23 24 25 26 31 32 33 34 35 40 41 42 43 44 45 46 51 52 53 54 55 56 60 61 62 66 70 71 72 73 76 77 78 79 80 81 82 83 84 85 87 88 89 93 94 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NN,00 01 02 03 04 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 38 39 40 41 42 48 50 51 52 53 59 60 62 63 69 70 71 72 73 79 80 81 82 86 90 91 92 94 95,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NO,00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 57 58 60 61 63 64 65 66 67 69 74 75 76,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NR,15 16 24 25 26 27 34 35 36 37 38 39 46 48 49 50 51 56 57 59 60 61 62 63 64 65 67 69 70 71 72 73 75 76 77 78 79 82 83 84 86 89 92 93 94 95 96,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NS,00 02 03 04 05 06 07 08 09 10 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 64 65 66 67 68 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NT,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 35 36 37 39 42 44 45 46 47 48 49 50 55 57 58 59 60 65 66 67 68 69 70 77 80 81 87 90 96,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NU,04 05 10 13 14 20 21 22 23,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NW,95 96 97,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NX,03 04 05 06 07 08 13 14 15 16 17 18 19 24 25 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NY,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 38 39 40 41 42 43 44 45 46 48 51 52 53 54 55 56 58 59 60 61 62 67 68 69 70 71 75 77 78 79 85 86 87 88 89 90 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,NZ,00 01 02 03 04 05 06 07 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SC,16 26 27 28 36 37 38 39 47 48 49,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SD,08 09 16 17 18 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 61 62 63 67 68 69 70 71 72 75 76 77 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SE,00 01 02 03 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SH,12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 71 72 73 74 75 76 77 78 82 83 84 85 87 88 93 95 97 98,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SJ,06 07 08 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SK,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SM,50 62 70 71 72 73 80 82 84 90 93,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SN,00 04 10 14 15 20 30 31 40 50 58 59 69,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SO,19 30 33 34 35 36 39 43 44 45 46 47 48 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SP,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SR,89 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SS,09 11 14 19 38 39 43 44 48 49 58 59 68 69 78 79 84 87 88 90 94 96,OSGB
NBNORG0000006869,Hesperocorixa linnaei,ST,00 01 02 03 04 06 10 11 12 13 14 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SU,00 01 02 03 04 05 06 07 08 09 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 36 37 38 39 40 41 42 46 47 48 49 50 51 56 57 58 59 60 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SV,81 91,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SW,32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 84 86 87 93 94 95 96 97 98,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SX,03 04 06 08 14 16 17 18 26 27 28 45 46 55 64 73 74 84 85 86 87 88 89 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SY,07 08 09 18 19 28 29 39 48 49 58 59 66 67 68 77 78 87 88 89 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,SZ,07 08 09 19 29 38 39 47 48 49 57 58 59 68 69 79 89 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TA,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 30 31 32 33 40 41,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TF,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 55 56 57 58 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TM,00 01 02 03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 33 34 35 36 37 38 39 44 45 46 47 48 49 57 58 59,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TQ,00 01 02 03 04 05 06 07 08 09 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 48 49 50 51 52 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TR,01 02 03 04 05 06 07 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47,OSGB
NBNORG0000006869,Hesperocorixa linnaei,TV,49 59 69,OSGB
NBNORG0000044125,Gerris paludum,ST,90,OSGB
NBNORG0000044125,Gerris paludum,SP,40 42 43 50 52 55 60 61 62 63 64 70 71 72 73 74 76 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98,OSGB
NBNORG0000044125,Gerris paludum,SZ,08 09 19 29 38 39 48 49 57 58 59 68 69 79 89,OSGB
NBNORG0000044125,Gerris paludum,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 31 32 33 34 35 36 37 38 41 42 43 44 45 46 54 60 61 65 70 71 72 80 81 82 83 85 86 91 92 93 94 95 96 97,OSGB
