tvk,start_day,start_month,end_day,end_month,stage,allow_org_key,rtvk,organism_key,taxon
NHMSYS0020309408,1,6,31,10,mature,allow,NHMSYS0020309408,NBNORG0000011310,Macrosaldula scotica
NHMSYS0000583218,1,9,30,9,mature,allow,NHMSYS0000583218,NBNORG0000064634,Naucoris maculatus
NHMSYS0020309408,1,6,31,10,mature,allow,NHMSYS0020309408,NBNORG0000095251,Macrosaldula scotica
NHMSYS0020309454,1,3,30,11,mature,allow,NHMSYS0020309454,NBNORG0000095297,Micronecta (Dichaetonecta) scholtzi
NHMSYS0020309456,1,3,30,11,mature,allow,NHMSYS0020309456,NBNORG0000095299,Micronecta (Micronecta) griseola
NHMSYS0020309457,1,3,30,11,mature,allow,NHMSYS0020309457,NBNORG0000095300,Micronecta (Micronecta) minutissima
NHMSYS0020309458,1,3,30,11,mature,allow,NHMSYS0020309458,NBNORG0000095301,Micronecta (Micronecta) poweri
NHMSYS0020309784,1,6,30,9,mature,allow,NHMSYS0020309784,NBNORG0000095626,Salda morio
NHMSYS0020309785,1,6,30,9,mature,allow,NHMSYS0020309785,NBNORG0000095627,Salda muelleri
NHMSYS0020309795,1,4,30,9,mature,allow,NHMSYS0020309795,NBNORG0000095637,Saldula opacula
