"organism_key","taxon","code"
"NBNORG0000011311","Saldula setulosa",1
"NBNORG0000044125","Gerris paludum",1
"NBNORG0000060543","Aquarius paludum",1
"NBNORG0000060550","Corixa iberica",3
"NBNORG0000060560","Hydrometra gracilenta",1
"NBNORG0000060563","Limnoporus rufoscutellatus",1
"NBNORG0000064634","Naucoris maculatus",2
"NBNORG0000091388","Cymatia rogenhoferi",2
"NBNORG0000094753","Aepophilus bonnairei",1
"NBNORG0000094962","Pachycoleus waltli",1
"NBNORG0000095136","Hebrus (Hebrus) pusillus",1
"NBNORG0000095294","Micracanthia marginalis",1
"NBNORG0000095299","Micronecta (Micronecta) griseola",2
"NBNORG0000095300","Micronecta (Micronecta) minutissima",1
"NBNORG0000095307","Microvelia (Microvelia) buenoi",1
"NBNORG0000095633","Saldula arenicola",1
"NBNORG0000095635","Saldula fucicola",1
"NBNORG0000095636","Saldula melanoscela",1
"NBNORG0000095671","Sigara (Sigara) striata",1
"NBNORG0000095677","Sigara (Subsigara) iactans",2
"NBNORG0000095678","Sigara (Subsigara) longipalis",2
