"organism_key","taxon","code"
"NBNORG0000105443","Acanella arbuscula",1
"NBNORG0000105445","Acanthogorgia armata",1
"NBNORG0000105446","Acanthogorgia hirsuta",1
"NBNORG0000105447","Acanthogorgia truncata",1
"NBNORG0000105448","Anomocora fecunda",1
"NBNORG0000105449","Anthothela grandiflora",1
"NBNORG0000105450","Antipathes dichotoma",1
"NBNORG0000105451","Antipathes erinaceus",1
"NBNORG0000105452","Antipathes virgata",1
"NBNORG0000105453","Aulocyathus atlanticus",1
"NBNORG0000105454","Balanophyllia (Balanophyllia) thalassae",1
"NBNORG0000105455","Bathypathes patula",1
"NBNORG0000105456","Bebryce mollis",1
"NBNORG0000105457","Callogorgia verticillata",1
"NBNORG0000105458","Calyptrophora josephinae",1
"NBNORG0000105459","Candidella imbricata",1
"NBNORG0000105460","Caryophyllia (Caryophyllia) abyssorum",1
"NBNORG0000105461","Caryophyllia (Caryophyllia) alberti",1
"NBNORG0000105462","Caryophyllia (Caryophyllia) ambrosia",1
"NBNORG0000105463","Caryophyllia (Caryophyllia) atlantica",1
"NBNORG0000105464","Caryophyllia (Caryophyllia) calveri",1
"NBNORG0000105465","Caryophyllia (Caryophyllia) cyathus",1
"NBNORG0000105466","Caryophyllia (Caryophyllia) foresti",1
"NBNORG0000105467","Caryophyllia (Caryophyllia) sarsiae",1
"NBNORG0000105468","Caryophyllia (Caryophyllia) seguenzae",1
"NBNORG0000105469","Chelidonisis aurantiaca",1
"NBNORG0000105470","Chrysogorgia elegans",1
"NBNORG0000105471","Chrysogorgia pentasticha",1
"NBNORG0000105472","Cladocora debilis",1
"NBNORG0000105473","Coenocyathus anthophyllites",1
"NBNORG0000105474","Concentrotheca laevigata",1
"NBNORG0000105475","Corallium johnsoni",1
"NBNORG0000105476","Corallium niobe",1
"NBNORG0000105477","Corallium tricolor",1
"NBNORG0000105478","Dasmosmilia lymani",1
"NBNORG0000105479","Dasmosmilia variegata",1
"NBNORG0000105480","Deltocyathus eccentricus",1
"NBNORG0000105481","Deltocyathus italicus",1
"NBNORG0000105482","Deltocyathus moseleyi",1
"NBNORG0000105483","Dendrophyllia alternata",1
"NBNORG0000105484","Dentomuricea meteor",1
"NBNORG0000105485","Desmophyllum dianthus",1
"NBNORG0000105486","Eguchipsammia gaditana",1
"NBNORG0000105488","Enallopsammia rostrata",1
"NBNORG0000105489","Eunicella dubia",1
"NBNORG0000105490","Flabellum (Flabellum) chunii",1
"NBNORG0000105491","Flabellum (Ulocyathus) alabastrum",1
"NBNORG0000105492","Fungiacyathus (Bathyactis) crispus",1
"NBNORG0000105493","Fungiacyathus (Bathyactis) marenzelleri",1
"NBNORG0000105494","Fungiacyathus (Fungiacyathus) fragilis",1
"NBNORG0000105495","Isidella elongata",1
"NBNORG0000105496","Javania cailleti",1
"NBNORG0000105497","Javania pseudoalabastra",1
"NBNORG0000105498","Keratoisis grandis",1
"NBNORG0000105499","Keratoisis grayi",1
"NBNORG0000105500","Keratoisis palmae",1
"NBNORG0000105501","Leiopathes glaberrima",1
"NBNORG0000105502","Leiopathes grimaldii",1
"NBNORG0000105503","Leptopsammia formosa",1
"NBNORG0000105504","Madracis profunda",1
"NBNORG0000105505","Metallogorgia melanotrichos",1
"NBNORG0000105507","Muriceides lepida",1
"NBNORG0000105508","Muriceides paucituberculata",1
"NBNORG0000105509","Narella allmani",1
"NBNORG0000105510","Narella bellissima",1
"NBNORG0000105511","Narella versluysi",1
"NBNORG0000105512","Nicella granifera",1
"NBNORG0000105513","Paracyathus arcuatus",1
"NBNORG0000105514","Paracyathus pulchellus",1
"NBNORG0000105515","Paramuricea candida",1
"NBNORG0000105516","Paramuricea grayi",1
"NBNORG0000105517","Parantipathes hirondelle",1
"NBNORG0000105519","Peponocyathus folliculus",1
"NBNORG0000105520","Placogorgia coronata",1
"NBNORG0000105521","Placogorgia intermedia",1
"NBNORG0000105522","Placogorgia massiliensis",1
"NBNORG0000105523","Placogorgia terceira",1
"NBNORG0000105525","Premocyathus cornuformis",1
"NBNORG0000105526","Radicipes challengeri",1
"NBNORG0000105527","Schizocyathus fissilis",1
"NBNORG0000105528","Stephanocyathus (Odontocyathus) nobilis",1
"NBNORG0000105529","Stephanocyathus (Stephanocyathus) crassus",1
"NBNORG0000105530","Stephanocyathus (Stephanocyathus) moseleyanus",1
"NBNORG0000105531","Stichopathes abyssicola",1
"NBNORG0000105532","Stichopathes dissimilis",1
"NBNORG0000105533","Stichopathes richardi",1
"NBNORG0000105534","Swiftia dubia",1
"NBNORG0000105535","Tanacetipathes squamosa",1
"NBNORG0000105536","Tethocyathus variabilis",1
"NBNORG0000105537","Thesea talismani",1
"NBNORG0000105538","Thouarella (Euthouarella) hilgendorfi",1
"NBNORG0000105539","Thouarella (Thouarella) variabilis",1
"NBNORG0000105540","Titanideum obscurum",1
"NBNORG0000105541","Trochocyathus (Trochocyathus) spinosocostatus",1
"NBNORG0000105542","Vaughanella concinna",1
"NBNORG0000105544","Villogorgia bebrycoides",1
"NBNORG0000105550","Ellisella flagellum",1
"NBNORG0000105551","Stauropathes punctata",1
