"organism_key","taxon","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNORG0000017112","Isogenus nubecula",,,,31,12,1995
"NBNORG0000017114","Isoperla obscura",1,1,1913,31,12,1913
"NBNORG0000027128","Xanthoperla apicalis",,,,31,12,1900
