"organism_key","taxon","stage","code"
"NBNORG0000017095","Brachyptera putata","mature",3
"NBNORG0000017096","Brachyptera risi","mature",3
"NBNORG0000017097","Taeniopteryx nebulosa","mature",3
"NBNORG0000017098","Nemoura avicularis","mature",3
"NBNORG0000017099","Nemoura cambrica","mature",3
"NBNORG0000017100","Nemoura cinerea","mature",3
"NBNORG0000017101","Nemoura dubitans","mature",4
"NBNORG0000017102","Nemoura erratica","mature",3
"NBNORG0000017103","Protonemura meyeri","mature",3
"NBNORG0000017104","Protonemura montana","mature",3
"NBNORG0000017105","Protonemura praecox","mature",3
"NBNORG0000017106","Leuctra fusca","mature",3
"NBNORG0000017107","Leuctra geniculata","mature",3
"NBNORG0000017108","Leuctra moselyi","mature",3
"NBNORG0000017109","Leuctra nigra","mature",3
"NBNORG0000017110","Capnia atra","mature",3
"NBNORG0000017111","Capnia vidua subsp. anglica","mature",3
"NBNORG0000017112","Isogenus nubecula","mature",5
"NBNORG0000017113","Isoperla grammatica","mature",3
"NBNORG0000017114","Isoperla obscura","mature",5
"NBNORG0000017115","Dinocras cephalotes","mature",3
"NBNORG0000017116","Perla bipunctata","mature",3
"NBNORG0000017117","Chloroperla tripunctata","mature",3
"NBNORG0000027080","Siphonoperla torrentium","mature",3
"NBNORG0000027128","Xanthoperla apicalis","mature",5
"NBNORG0000095820","Amphinemura standfussi","mature",3
"NBNORG0000095821","Amphinemura sulcicollis","mature",3
"NBNORG0000095827","Zwicknia bifrons","mature",3
"NBNORG0000095828","Capnia vidua","mature",3
"NBNORG0000095834","Diura bicaudata","mature",3
"NBNORG0000095839","Leuctra hippopus","mature",3
"NBNORG0000095840","Leuctra inermis","mature",3
"NBNORG0000095846","Nemurella pictetii","mature",3
"NBNORG0000095850","Perlodes mortoni","mature",1
"NBNORG0000095855","Rhabdiopteryx acuminata","mature",5
"NBNORG0000104370","Taeniopteryx nebulosa subsp. britannica","mature",3
