"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000017095","Brachyptera putata","mature",1,2,31,8
"NBNORG0000017096","Brachyptera risi","mature",1,2,31,7
"NBNORG0000017097","Taeniopteryx nebulosa","mature",1,2,31,5
"NBNORG0000017098","Nemoura avicularis","mature",1,3,31,8
"NBNORG0000017099","Nemoura cambrica","mature",1,4,30,6
"NBNORG0000017100","Nemoura cinerea","mature",1,3,30,9
"NBNORG0000017101","Nemoura dubitans","mature",1,4,30,4
"NBNORG0000017102","Nemoura erratica","mature",1,2,30,9
"NBNORG0000017103","Protonemura meyeri","mature",1,2,30,6
"NBNORG0000017104","Protonemura montana","mature",1,8,30,9
"NBNORG0000017105","Protonemura praecox","mature",1,2,31,5
"NBNORG0000017106","Leuctra fusca","mature",1,6,31,12
"NBNORG0000017107","Leuctra geniculata","mature",1,8,30,11
"NBNORG0000017108","Leuctra moselyi","mature",1,7,31,8
"NBNORG0000017109","Leuctra nigra","mature",1,4,31,8
"NBNORG0000017110","Capnia atra","mature",1,3,31,5
"NBNORG0000017112","Isogenus nubecula","mature",1,3,30,4
"NBNORG0000017113","Isoperla grammatica","mature",1,4,31,8
"NBNORG0000017114","Isoperla obscura","mature",1,5,30,6
"NBNORG0000017115","Dinocras cephalotes","mature",1,4,30,6
"NBNORG0000017116","Perla bipunctata","mature",1,4,30,6
"NBNORG0000017117","Chloroperla tripunctata","mature",1,5,31,7
"NBNORG0000027080","Siphonoperla torrentium","mature",1,4,31,8
"NBNORG0000027128","Xanthoperla apicalis","mature",1,6,31,7
"NBNORG0000095820","Amphinemura standfussi","mature",1,6,30,9
"NBNORG0000095821","Amphinemura sulcicollis","mature",1,4,30,9
"NBNORG0000095827","Zwicknia bifrons","mature",1,2,31,5
"NBNORG0000095828","Capnia vidua","mature",1,3,30,4
"NBNORG0000095834","Diura bicaudata","mature",1,4,30,6
"NBNORG0000095839","Leuctra hippopus","mature",1,2,30,6
"NBNORG0000095840","Leuctra inermis","mature",1,4,31,8
"NBNORG0000095846","Nemurella pictetii","mature",1,2,30,9
"NBNORG0000095850","Perlodes mortoni","mature",1,3,31,7
"NBNORG0000095855","Rhabdiopteryx acuminata","mature",1,3,31,5
