"","organism_key","taxon","km100","km10","coord_system"
"1","NBNORG0000017095","Brachyptera putata","NC","00 01 10 11 12 20 21 22 24 25 26 30 31 32 33 34 35 36 43 44 45 46 53 54 55 56 60 61 62 63 64 65 66 70 71 72 74 75 76 80 81 82 95 96","OSGB"
"2","NBNORG0000017095","Brachyptera putata","ND","05 06 07 15 16 17","OSGB"
"3","NBNORG0000017095","Brachyptera putata","NG","90 92 93 94 95 96","OSGB"
"4","NBNORG0000017095","Brachyptera putata","NH","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 32 40 41 42 50 51 52 60 70 71 80 81 90 91 92 93 94 95 96","OSGB"
"5","NBNORG0000017095","Brachyptera putata","NJ","00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 23 24 25 30 31 32 33 34 35 40 41 42 43 44 50 51 52 53 54 55 60 61 62 63 64 65 70 71 72 73 74 75 80 81 82 83 90 91 92","OSGB"
"6","NBNORG0000017095","Brachyptera putata","NM","98 99","OSGB"
"7","NBNORG0000017095","Brachyptera putata","NN","08 09 18 19 29 39 48 49 57 58 59 67 68 69 77 78 79 89 97 98 99","OSGB"
"8","NBNORG0000017095","Brachyptera putata","NO","06 07 08 09 16 17 18 19 26 27 28 29 38 39 48 49 68 69 78 79 88 89 99","OSGB"
"9","NBNORG0000017095","Brachyptera putata","NS","24 25 26 34 35 36 44 45 46","OSGB"
"10","NBNORG0000017095","Brachyptera putata","NT","70 80 90","OSGB"
"11","NBNORG0000017095","Brachyptera putata","NY","25 26 27 30 31 35 36 37 40 41 45 46 47 50 51 76 77 78 79 86 87 88 89 95 96 97 98 99","OSGB"
"12","NBNORG0000017095","Brachyptera putata","NZ","05 06 07 15 16 17","OSGB"
"13","NBNORG0000017095","Brachyptera putata","SD","38 39 48 49 58 59 90 91 92","OSGB"
"14","NBNORG0000017095","Brachyptera putata","SE","00 01 02 10 11 12 67 68 69 77 78 79 87 88 89","OSGB"
"15","NBNORG0000017095","Brachyptera putata","SJ","00 10 20","OSGB"
"16","NBNORG0000017095","Brachyptera putata","SO","08 09 18 19 28 29","OSGB"
"17","NBNORG0000017095","Brachyptera putata","SS","30 31 40 41 50 51 62 63 64 72 73 74 82 83 84","OSGB"
"18","NBNORG0000017095","Brachyptera putata","SX","39 49 54 55 56 59 64 65 66 74 75 76","OSGB"
"19","NBNORG0000017096","Brachyptera risi","HY","20 21 22 30 31 32 40 41 42","OSGB"
"20","NBNORG0000017096","Brachyptera risi","NB","90 91","OSGB"
"21","NBNORG0000017096","Brachyptera risi","NC","00 01 02 10 11 12 13 14 22 23 24 32 33 34","OSGB"
"22","NBNORG0000017096","Brachyptera risi","NH","11 12 13 21 22 23 31 32 33 41 42 43 80 81 90 91","OSGB"
