"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNSYS0100005876","01","01","1910",,,
"NHMSYS0001720305","01","01","1934",,,
"NHMSYS0001720304","01","01","1924",,,
"NHMSYS0001720303","01","01","1934",,,
"NHMSYS0001720160","01","01","1901","13","12","1901"
"NBNSYS0000007313",,,,"13","12","1979"
"NHMSYS0001720084",,,,"13","12","1980"
"NHMSYS0001719794","01","01","1990",,,
"NHMSYS0001719793","01","01","1990",,,
"NHMSYS0001719782",,,,"13","12","1973"
"NHMSYS0001719778","01","01","1916",,,
"NHMSYS0001719676",,,,"13","12","1863"
"NBNSYS0000007342","01","01","1950",,,
"NHMSYS0001719334","01","01","2001","13","12","1886"
"NHMSYS0001719333","01","01","1912",,,
"NHMSYS0001719331","01","01","1912",,,
"NHMSYS0001719330",,,,"13","12","1989"
"NHMSYS0001719329","01","01","1912",,,
"NHMSYS0001719327","01","01","1912",,,
"NHMSYS0001719291","01","01","1971",,,
"NBNSYS0000007162","01","01","1908",,,
"NBNSYS0000007161","01","01","1908",,,
"NHMSYS0001719105","01","01","1922",,,
"NHMSYS0001719104","01","01","1922",,,
"NHMSYS0001719101","01","01","1950",,,
"NBNSYS0000007479","01","01","1997",,,
"NBNSYS0000007478","01","01","1997",,,
"NHMSYS0001718801","01","01","1942",,,
"NHMSYS0001718730",,,,"13","12","1883"
"NHMSYS0001718729",,,,"13","12","1864"
"NHMSYS0001718679","01","01","1902",,,
"NHMSYS0001718677","01","01","1902",,,
"NHMSYS0001718359",,,,"13","12","1957"
"NBNSYS0100003352","01","01","1898",,,
"NHMSYS0001718352","01","01","1898",,,
"NBNSYS0100003339",,,,"13","12","1914"
"NHMSYS0001718035","01","01","1913",,,
"NHMSYS0001718034",,,,"13","12","1887"
"NHMSYS0001718033","01","01","1913",,,
"NHMSYS0001718007","01","01","1933",,,
"NHMSYS0001718004",,,,"13","12","1940"
"NHMSYS0001718003","01","01","1933",,,
"NHMSYS0001717971","01","01","1908",,,
"NHMSYS0001717794","01","01","1982",,,
"NHMSYS0001717793","01","01","1982",,,
"NBNSYS0000007452",,,,"13","12","1930"
"NHMSYS0001717533",,,,"13","12","1836"
"NHMSYS0001717505",,,,"13","12","1826"
"NBNSYS0000007144",,,,"13","12","1997"
"NHMSYS0001717463",,,,"13","12","1953"
"NHMSYS0001717449","01","01","1989",,,
"NHMSYS0001717446","01","01","1989",,,
"NBNSYS0000007424","01","01","1913",,,
"NHMSYS0001717396","01","01","1972",,,
"NBNSYS0000007421","01","01","1913",,,
"NHMSYS0001717394","01","01","1972",,,
"NHMSYS0001717389","01","01","1902",,,
"NHMSYS0001717388","01","01","1902","13","12","2003"
"NHMSYS0001717194","01","01","1895",,,
"NHMSYS0001717185","01","01","1999",,,
"NBNSYS0100001977","01","01","1895",,,
"NHMSYS0001717178","01","01","1893",,,
"NBNSYS0100001972","01","01","1893",,,
"NBNSYS0100001948",,,,"13","12","1851"
"NBNSYS0100001934","01","01","1926",,,
"NHMSYS0001717148","01","01","1926",,,
"NHMSYS0001717147","01","01","1989","13","12","2009"
"NHMSYS0001717146","01","01","1926",,,
"NBNSYS0100001928","01","01","1976",,,
"NHMSYS0001717115","01","01","1955",,,
"NHMSYS0001717114","01","01","1955",,,
"NHMSYS0001717113","01","01","1955",,,
"NHMSYS0001717110","01","01","1972",,,
"NBNSYS0000007207","01","01","1986",,,
"NBNSYS0000007204","01","01","1986",,,
"NBNSYS0000007203","01","01","1986",,,
"NHMSYS0001716742","01","01","1953","13","12","1953"
"NHMSYS0001716730","01","01","1950",,,
"NHMSYS0001716726","01","01","1896",,,
"NHMSYS0001716721","01","01","1905",,,
"NHMSYS0001716609",,,,"13","12","1985"
"NHMSYS0001716597","01","01","1985",,,
"NHMSYS0001716596",,,,"13","12","1987"
"NHMSYS0001716593",,,,"13","12","1914"
"NHMSYS0001716499","01","01","2003",,,
"NHMSYS0001716498","01","01","2003",,,
"NBNSYS0000007436",,,,"13","12","1952"
"NBNSYS0000007303","01","01","1913","13","12","1913"
