"taxon","tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"Incertella antennata","NBNSYS0100003591","01","01","1946",,,
"Colliniella meijerei","NHMSYS0021007807","01","01","1932",,,
"Rhopalopterum femorale","NBNSYS0100005140","01","01","1946",,,
"Dicraeus scibilis","NBNSYS0000029890","01","01","1946",,,
"Meromyza athletica","NHMSYS0021007942","01","01","1974",,,
"Lasiosina herpini","NBNSYS0100003675","01","01","1977",,,
"Oscinisoma gilvipes","NBNSYS0100004361","01","01","1976",,,
"Meromyza pluriseta","NBNSYS0000029955","01","01","1961",,,
"Elachiptera diastema","NBNSYS0000029932","01","01","1946",,,
"Meromyza rufa","NBNSYS0000029957","01","01","1962",,,
"Cetema neglectum","NBNSYS0100002276","01","01","1921",,,
"Oscinimorpha arcuata","NBNSYS0100004356","01","01","1932",,,
"Thaumatomyia hallandica","NBNSYS0000030009","01","01","1966",,,
"Calamoncosis glyceriae","NBNSYS0000029847","01","01","1958",,,
"Meromyza sibirica","NHMSYS0021007759","01","01","1961",,,
"Oscinella ventricosi","NHMSYS0021007765","01","01","1956",,,
"Dicraeus napaeus","NBNSYS0000029888","01","01","1946",,,
"Dicraeus fennicus","NBNSYS0000029886","01","01","1932",,,
"Cetema transversum","NBNSYS0100002279","01","01","1966",,,
"Aphanotrigonum brunneum","NBNSYS0100001605","01","01","1946",,,
"Elachiptera austriaca","NBNSYS0100002925","01","01","1932",,,
"Aphanotrigonum inerme","NBNSYS0100001608","01","01","1946",,,
"Rhopalopterum fasciola","NBNSYS0000029926","01","01","1946",,,
"Chlorops rossicus","NBNSYS0100002369","01","01","1955",,,
"Aphanotrigonum nigripes","NBNSYS0000029872","01","01","2013",,,
"Oscinella cariciphila","NBNSYS0000029911","01","01","1946",,,
"Neohaplegis tarsata","NBNSYS0100004201","01","01","1933",,,
"Incertella zuercheri","NBNSYS0100003593","01","01","1933",,,
"Oscinimorpha albisetosa","NBNSYS0100004355","01","01","1932",,,
"Lasiambia coxalis","NBNSYS0100003665","01","01","2000",,,
"Cetema elongatum","NBNSYS0100002274","01","01","1985",,,
"Incertella nigrifrons","NHMSYS0020706108","01","01","1933",,,
"Calamoncosis aspistylina","NBNSYS0000029845","01","01","1935",,,
"Lipara pullitarsis","NHMSYS0021007882","01","10","2014",,,
"Meromyza depressa misident.","NBNSYS0100004003","01","01","1981",,,
"Meromyza hispanica","NBNSYS0000029949","01","01","1971",,,
"Conioscinella mimula","NBNSYS0000029880","01","01","1946",,,
"Meromyza curvinervis","NBNSYS0000029946","01","01","1981",,,
"Meromyza sp. nr. depressa","NHMSYS0021122907","01","01","1981",,,
"Oscinisoma cognatum","NBNSYS0100004359","01","01","1976",,,
"Gaurax flavomaculatus","NHMSYS0021007863","01","01","1980",,,
"Speccafrons halophila","NBNSYS0000029879","01","01","1933",,,
"Meromyza femorata","NBNSYS0000029948","01","01","1981",,,
"Oscinella trochanterata","NBNSYS0000029919","01","01","1946",,,
"Lasiosina intermedia","NBNSYS0100003676","01","01","1977",,,
"Meromyza bohemica","NBNSYS0000029944","01","01","1962",,,
"Meromyza nigriseta","NBNSYS0100004005","01","01","1960",,,
"Homalura tarsata","NHMSYS0021007777","01","01","2007",,,
"Chloropsina pulicaria","NBNSYS0100002376","01","01","1999",,,
"Rhopalopterum crucicarinatum","NBNSYS0100005139","01","01","1987",,,
"Lasiambia parcepilosa","NBNSYS0100003667","01","01","1946",,,
"Lasiosina chandleri","NBNSYS0100027422","01","01","2001",,,
"Elachiptera rufifrons","NBNSYS0000029935","01","01","1932",,,
"Meromyza mosquensis","NBNSYS0000029951","01","01","1960",,,
"Meromyza rohdendorfi","NHMSYS0021007753","01","01","1974",,,
"Oscinella angularis","NBNSYS0000029909","01","01","1946",,,
"Trachysiphonella carinifacies misident.","NBNSYS0100005865","01","01","1964",,,
"Chloropsina varleyi","NBNSYS0100002377","01","01","1999",,,
"Meromyza zachvatkini","NBNSYS0100004007","01","01","1960",,,
"Meromyza palposa","NBNSYS0000029954","01","01","1960",,,
"Oscinisoma germanicum","NBNSYS0100004360","01","01","1932",,,
"Incertella scotica","NBNSYS0000029907","01","01","1946",,,
"Meromyza nigriventris","NBNSYS0000029952","01","01","1961",,,
"Aphanotrigonum brachypterum","NBNSYS0100024189","01","01","1946",,,
"Lasiambia brevibucca","NBNSYS0100003664","01","01","1932",,,
"Meromyza ornata","NBNSYS0100004006","01","01","1962",,,
"Rhopalopterum brunneipenne","NBNSYS0100005138","01","01","1987",,,
"Neohaplegis glabra","NBNSYS0100004200","01","01","1933",,,
"Microcercis trigonella","NBNSYS0100004049","01","01","1933",,,
"Elachiptera sp. nr cornuta","NHMSYS0021008020","01","01","1975",,,
"Oscinella angustipennis","NBNSYS0000029910","01","01","1932",,,
"Cryptonevra consimilis","NBNSYS0000029963","01","01","1932",,,
"Lasiambia baliola","NBNSYS0100003663","01","01","1946",,,
"Aphanotrigonum femorellum","NBNSYS0100001607","01","01","1946",,,
"Conioscinella zetterstedti","NBNSYS0000029882","01","01","1966",,,
"Cetema simile","NBNSYS0100002278","01","01","1985",,,
"Cryptonevra nigritarsis","NBNSYS0000029965","01","01","1933",,,
"Lipara rufitarsis","NBNSYS0000029842","01","10","2014",,,
"Meromyza triangulina","NBNSYS0000029960","01","01","1960",,,
