"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NHMSYS0020977859","01","01","2005",,,
"NBNSYS0000011397","27","04","1983",,,
"NHMSYS0020784896","08","02","1976",,,
"NBNSYS0000008553","01","01","1934",,,
"NBNSYS0000008552","01","01","1911",,,
"NBNSYS0000011349","01","06","1984",,,
"NBNSYS0000011374","01","01","1916",,,
"NHMSYS0020108490","01","01","1814",,,
"NBNSYS0000008558","01","01","1907",,,
"NHMSYS0000377500","07","08","1986",,,
"NBNSYS0000011362","01","01","1922",,,
"NHMSYS0020752183","01","01","1960",,,
"NHMSYS0020302572","01","03","1974",,,
"NHMSYS0020977763","18","04","2010",,,
"NHMSYS0020302571","01","01","1908",,,
"NBNSYS0000011447","01","01","1907",,,
"NHMSYS0000570601","01","01","1946",,,
"NHMSYS0000570600","01","10","1943",,,
"NHMSYS0020500692","01","01","1968",,,
"NHMSYS0020977793","01","01","1986",,,
"NHMSYS0020302570","01","01","1947",,,
"NHMSYS0020977817","28","05","2004",,,
"NHMSYS0020977723","17","04","2009",,,
"NBNSYS0000011380","01","01","1901",,,
"NBNSYS0000011366","01","03","1975",,,
"NBNSYS0000188496","01","01","1925",,,
"NHMSYS0020108484","21","04","1985",,,
"NHMSYS0020108483","01","01","1920",,,
"NBNSYS0000011347","01","01","1814",,,
"NBNSYS0000011371","01","01","1903",,,
"NBNSYS0000011370","01","01","1906",,,
"NBNSYS0000011368","01","01","1901",,,
"NHMSYS0020108482","01","01","1903",,,
"NHMSYS0000356296","24","02","1995",,,
"NBNSYS0000011367","01","01","1814",,,
"NHMSYS0020108481","11","05","2005",,,
"NBNSYS0000011406","01","01","1960",,,
"NBNSYS0000011363","01","01","1902",,,
"NBNSYS0000011382","01","01","1942",,,
"NHMSYS0000356287","01","01","1918",,,
"NBNSYS0000011385","01","01","1814",,,
"MM0001Z1ZT0011Z1","01","01","1940",,,
"NBNSYS0000011379","01","04","1988",,,
"NBNSYS0000011373","01","01","1912",,,
"NHMSYS0020108477","01","01","1814",,,
"NHMSYS0020302567","01","01","1911",,,
"NHMSYS0020302566","01","01","1965",,,
"NBNSYS0000008550","01","01","1971",,,
"NBNSYS0000008549","01","01","1908",,,
"NBNSYS0000008548","01","01","1979",,,
"NBNSYS0000039488","01","06","1939",,,
"NHMSYS0000356277","09","01","1988",,,
"NHMSYS0020108475","01","01","1916",,,
"NBNSYS0000011355","01","01","1957",,,
"NBNSYS0000011364","01","01","1912",,,
"NHMSYS0020977847","17","04","2010",,,
"NHMSYS0020500678","01","01","1965",,,
"NHMSYS0020500677","01","01","1913",,,
"NHMSYS0020500674","01","01","1986",,,
"NHMSYS0020500670","20","05","1986",,,
"NHMSYS0020500669","20","05","1986",,,
"NBNSYS0000008543","01","01","1873",,,
"NBNSYS0000011384","27","01","1934",,,
"NBNSYS0000011383","01","01","1922",,,
"NBNSYS0000011381","01","01","1814",,,
"NHMSYS0000356254","30","03","1976",,,
"NHMSYS0001593599","01","01","1858",,,
"NBNSYS0000011348","01","01","1814",,,
"NBNSYS0000011413","01","01","1961",,,
"NBNSYS0000011414","01","08","1974",,,
"NBNSYS0000147735","01","01","1961",,,
"NHMSYS0000356252","01","01","1957",,,
"NHMSYS0020977805","02","05","2003",,,
"NHMSYS0020977769","17","04","2009",,,
"NHMSYS0020108917","01","04","1970",,,
"NBNSYS0000011388","01","01","1972",,,
"NHMSYS0020977835","01","01","1975",,,
"NBNSYS0000011420","01","01","1913",,,
"NBNSYS0000011391","01","01","1975",,,
"NBNSYS0000011395","01","01","1957",,,
"NHMSYS0000356246","02","11","1987",,,
"NBNSYS0000011392","01","01","1815",,,
"NBNSYS0000011396","01","01","1918",,,
"NBNSYS0000011390","01","01","1815",,,
"NBNSYS0000011393","01","01","1845",,,
"NBNSYS0000033245","31","12","1899",,,
"NBNSYS0000011394","01","01","1906",,,
"NHMSYS0020108471","01","01","1986",,,
"NHMSYS0020977872","01","04","2007",,,
"NHMSYS0020500657","11","05","2005",,,
"NHMSYS0020108469","01","01","1814",,,
"NBNSYS0000008557","01","01","1907",,,
"NHMSYS0000356235","01","01","1972",,,
"NBNSYS0000011353","01","01","1964",,,
"NHMSYS0000356233","01","01","1912",,,
"NHMSYS0020977829","11","05","2005",,,
"NHMSYS0020302559","01","01","1962",,,
"NHMSYS0020302558","01","01","1947",,,
"NBNSYS0000008545","01","01","1981",,,
"NBNSYS0000011387","01","01","1815",,,
"NHMSYS0020977697","17","04","2009",,,
"NBNSYS0000011372","01","01","1901",,,
"NHMSYS0020108466","01","01","1918",,,
"NBNSYS0000011358","01","01","1917",,,
"NBNSYS0000011357","01","01","1911",,,
"NBNSYS0000011377","01","01","1918",,,
"NBNSYS0000011375","01","01","1814",,,
"NBNSYS0000008570","01","01","1917",,,
"NHMSYS0020977823","11","05","2005",,,
"NBNSYS0000008567","01","01","1906",,,
"MM0001Z1ZT0011ZZ","01","01","1940",,,
"NBNSYS0000011376","01","01","1920",,,
"NHMSYS0000356226","18","10","1983",,,
"NHMSYS0020108462","01","12","2011",,,
"NHMSYS0020977691","17","04","2009",,,
"NHMSYS0000356224","01","01","1917",,,
"NHMSYS0000356222","16","04","2004",,,
