"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NHMSYS0020978452","01","01","1932",,,
"NHMSYS0001387471","01","01","1800",,,
"NBNSYS0000006833","01","01","1800",,,
"NBNSYS0000006832","01","01","1800",,,
"NBNSYS0000006831","01","01","1800",,,
"NHMSYS0001387466","01","01","1800",,,
"NBNSYS0100005632","01","01","1918",,,
"NBNSYS0000006834","01","01","1800",,,
"NBNSYS0000006836","01","01","1960",,,
"NBNSYS0000006835","01","01","1800",,,
"NHMSYS0000377682","01","01","1994",,,
"NHMSYS0020978386","01","01","2003",,,
"NHMSYS0020978506","01","01","2001",,,
"NBNSYS0000006855","01","01","1800",,,
"NHMSYS0020973988","01","01","1940",,,
"NHMSYS0001387438","01","01","1800",,,
"NHMSYS0001387435","01","01","1800",,,
"NHMSYS0020978368","01","01","1900",,,
"NHMSYS0019998481","01","01","2007",,,
"NBNSYS0000006853","01","01","1800",,,
"NBNSYS0000006852","01","01","1800",,,
"NBNSYS0100004408","01","01","1924",,,
"NBNSYS0000006838","01","01","1800",,,
"NHMSYS0001387431","01","01","1800",,,
"NHMSYS0020973976","01","01","2000",,,
"NHMSYS0020978488","01","01","1928",,,
"NHMSYS0020978482","01","01","1931",,,
"NBNSYS0000006828","01","01","1800",,,
"NHMSYS0001387421","01","01","1900",,,
"NBNSYS0000006839","01","01","1800",,,
"NBNSYS0000006822","01","01","1800",,,
"NBNSYS0000006821","01","01","1800",,,
"NHMSYS0001387418","01","01","1800",,,
"NHMSYS0020977729","01","01","2001",,,
"NHMSYS0020978428","01","01","1964",,,
"NHMSYS0001387415","01","01","1800",,,
"NHMSYS0000377679","01","01","1846",,,
"NHMSYS0020978434","01","01","1925",,,
"NHMSYS0001693174","01","01","1997",,,
"NBNSYS0000006825","01","01","1800",,,
"NHMSYS0001387398","01","01","1903",,,
"NHMSYS0001387382","01","01","1800",,,
"NHMSYS0020978416","01","01","1956",,,
"NHMSYS0020978470","01","01","1932",,,
"NBNSYS0100003439","01","01","1954",,,
"NHMSYS0001387363","01","01","1800",,,
"NHMSYS0000377677","01","01","1968",,,
"NHMSYS0020978458","01","01","2004",,,
"NHMSYS0001387359","01","01","1900",,,
"NBNSYS0000006830","01","01","1800",,,
"NBNSYS0000006840","01","01","1800",,,
"NHMSYS0001387336","01","01","1800",,,
"NHMSYS0001387317","01","01","1800",,,
"NHMSYS0020784634","01","01","1900",,,
"NHMSYS0001387304","01","01","1800",,,
"NHMSYS0001387301","01","01","1800",,,
"NHMSYS0001387300","01","01","1800",,,
"NHMSYS0001387299","01","01","1800",,,
"NBNSYS0000006818","01","01","1800",,,
"NHMSYS0020978404","01","01","1941",,,
"NHMSYS0020752279","01","01","1800",,,
"NBNSYS0000006824","01","01","1800",,,
"NHMSYS0020784602","01","01","1969",,,
"NBNSYS0000006813","01","01","1949",,,
"NHMSYS0001387288","01","01","1800",,,
"NBNSYS0000006843","01","01","1800",,,
"NBNSYS0000006842","01","01","1800",,,
"NHMSYS0001387286","01","01","1800",,,
"NHMSYS0001387282","01","01","1990",,,
"NBNSYS0000006856","01","01","1800",,,
"NBNSYS0000006854","01","01","1800",,,
"NHMSYS0001387264","01","01","1987",,,
"NHMSYS0001387259","01","01","1904",,,
"NHMSYS0001387250","01","01","1900",,,
"NHMSYS0000377674","01","01","1934",,,
"NBNSYS0000006827","01","01","1800",,,
"NHMSYS0001387234","01","01","1920",,,
"NHMSYS0001387233","01","01","1903",,,
